planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,bottleneck,classic_bottleneck_high,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,bottleneck,classic_bottleneck_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,bottleneck,classic_bottleneck_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,cross_trap,classic_cross_trap_high,3,0.0000,0.3333,0.0000,0.0000,0.0000,11.0000,1.0000,1.0000,0.2011,,'-0.3018
goal,goal,cross_trap,classic_cross_trap_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,11.3333,1.0000,1.0000,0.0189,,'-0.2092
goal,goal,cross_trap,classic_cross_trap_medium,3,0.0000,0.3333,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0143,,'-0.2143
goal,goal,doorway,classic_doorway_high,3,0.0000,1.0000,0.0000,0.0000,0.0000,14.6667,1.0000,1.0000,0.0161,,'-0.4170
goal,goal,doorway,classic_doorway_low,3,0.0000,1.0000,0.0000,0.0000,0.0000,3.3333,1.0000,1.0000,0.0246,,'-0.2362
goal,goal,doorway,classic_doorway_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0135,,'-0.2286
goal,goal,group_crossing,classic_group_crossing_high,3,0.0000,0.6667,0.0000,0.0000,0.0000,15.3333,1.0000,1.0000,0.0289,,'-0.3088
goal,goal,group_crossing,classic_group_crossing_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0067,,'-0.0997
goal,goal,group_crossing,classic_group_crossing_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.0000,1.0000,0.0300,,'-0.2259
goal,goal,head_on_corridor,classic_head_on_corridor_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0083,,'-0.1253
goal,goal,head_on_corridor,classic_head_on_corridor_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0358,,'-0.1639
goal,goal,merging,classic_merging_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0678,,'-0.1494
goal,goal,merging,classic_merging_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0333,,'-0.1372
goal,goal,overtaking,classic_overtaking_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0500,,'-0.3645
goal,goal,overtaking,classic_overtaking_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0250,,'-0.3716
goal,goal,bottleneck,classic_realworld_double_bottleneck_high,3,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,,'-0.1096
goal,goal,station_platform,classic_station_platform_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.0000,1.0000,0.0097,,'-0.2338
goal,goal,t_intersection,classic_t_intersection_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0283,,'-0.1092
goal,goal,t_intersection,classic_t_intersection_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0567,,'-0.1540
goal,goal,crossing,classic_urban_crossing_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.1170
goal,goal,accompanying_peer,francis2023_accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1023
goal,goal,blind_corner,francis2023_blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1111
goal,goal,circular_crossing,francis2023_circular_crossing,3,0.0000,0.3333,0.0000,0.0000,0.0000,1.3333,1.0000,1.0000,0.1856,,'-0.1639
goal,goal,crowd_navigation,francis2023_crowd_navigation,3,0.0000,0.3333,0.0000,0.0000,0.0000,7.6667,1.0000,1.0000,0.0822,,'-0.2773
goal,goal,down_path,francis2023_down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1005
goal,goal,entering_elevator,francis2023_entering_elevator,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.9067,1.0000,0.0000,,0.0409
goal,goal,entering_room,francis2023_entering_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,exiting_elevator,francis2023_exiting_elevator,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0000,,'-0.1928
goal,goal,exiting_room,francis2023_exiting_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,following_human,francis2023_following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0100,,'-0.1463
goal,goal,frontal_approach,francis2023_frontal_approach,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_no_gesture,francis2023_intersection_no_gesture,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_proceed,francis2023_intersection_proceed,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_wait,francis2023_intersection_wait,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,join_group,francis2023_join_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,0.0118,,'-0.1733
goal,goal,leading_human,francis2023_leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1023
goal,goal,leave_group,francis2023_leave_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.3333,1.0000,1.0000,0.0000,,'-0.1732
goal,goal,narrow_doorway,francis2023_narrow_doorway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,narrow_hallway,francis2023_narrow_hallway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-0.0999
goal,goal,parallel_traffic,francis2023_parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0667,,'-0.1723
goal,goal,pedestrian_obstruction,francis2023_pedestrian_obstruction,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,pedestrian_overtaking,francis2023_pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0633,,'-0.1138
goal,goal,perpendicular_traffic,francis2023_perpendicular_traffic,3,0.0000,0.3333,0.0000,0.0000,0.0000,4.6667,1.0000,1.0000,0.0097,,'-0.1732
goal,goal,robot_crowding,francis2023_robot_crowding,3,0.0000,1.0000,0.0000,0.0000,0.0000,7.6667,1.0000,1.0000,0.2034,,'-0.3136
goal,goal,robot_overtaking,francis2023_robot_overtaking,3,0.0000,1.0000,0.0000,0.0000,0.0000,9.3333,1.0000,1.0000,0.0726,,'-0.2511
orca,orca,bottleneck,classic_bottleneck_high,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1212
orca,orca,bottleneck,classic_bottleneck_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,bottleneck,classic_bottleneck_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2083
orca,orca,cross_trap,classic_cross_trap_high,3,0.0000,0.3333,0.0000,0.0000,0.0000,5.6667,1.0000,1.0000,0.2028,,'-0.2477
orca,orca,cross_trap,classic_cross_trap_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.3333,1.0000,1.0000,0.0200,,'-0.1495
orca,orca,cross_trap,classic_cross_trap_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,1.0000,1.0000,0.0129,,'-0.2121
orca,orca,doorway,classic_doorway_high,3,0.0000,0.0000,0.0000,0.0000,0.0000,19.3333,1.0000,1.0000,0.0081,,'-0.7786
orca,orca,doorway,classic_doorway_low,3,0.3333,0.3333,0.0000,0.0000,0.0000,16.3333,0.9600,1.0000,0.0227,,'-1.2102
orca,orca,doorway,classic_doorway_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.6667,1.0000,1.0000,0.0061,,'-0.2696
orca,orca,group_crossing,classic_group_crossing_high,3,0.6667,0.0000,0.0000,0.0000,0.0000,12.0000,0.8667,1.0000,0.0178,,'-0.1908
orca,orca,group_crossing,classic_group_crossing_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8967,1.0000,0.0077,,0.1026
orca,orca,group_crossing,classic_group_crossing_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.8767,1.0000,0.0327,,0.0572
orca,orca,head_on_corridor,classic_head_on_corridor_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.6667,1.0000,1.0000,0.0083,,'-0.1374
orca,orca,head_on_corridor,classic_head_on_corridor_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0358,,'-0.2198
orca,orca,merging,classic_merging_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0678,,'-0.2460
orca,orca,merging,classic_merging_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0333,,'-0.4348
orca,orca,overtaking,classic_overtaking_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0500,,'-0.2077
orca,orca,overtaking,classic_overtaking_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0250,,'-0.3894
orca,orca,bottleneck,classic_realworld_double_bottleneck_high,3,0.0000,0.0000,0.0000,0.0000,0.0000,17.6667,1.0000,1.0000,0.0000,,'-0.3401
orca,orca,station_platform,classic_station_platform_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,19.3333,1.0000,1.0000,0.0085,,'-0.3997
orca,orca,t_intersection,classic_t_intersection_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0283,,'-0.1684
orca,orca,t_intersection,classic_t_intersection_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0567,,'-0.1881
orca,orca,crossing,classic_urban_crossing_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.1035
orca,orca,accompanying_peer,francis2023_accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,blind_corner,francis2023_blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0987
orca,orca,circular_crossing,francis2023_circular_crossing,3,0.6667,0.3333,0.0000,0.0000,0.0000,1.0000,0.7667,1.0000,0.1975,,'-0.0403
orca,orca,crowd_navigation,francis2023_crowd_navigation,3,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,1.0000,1.0000,0.0833,,'-0.8878
orca,orca,down_path,francis2023_down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,entering_elevator,francis2023_entering_elevator,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9367,1.0000,0.0000,,'-0.1581
orca,orca,entering_room,francis2023_entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7400,1.0000,0.0000,,0.1202
orca,orca,exiting_elevator,francis2023_exiting_elevator,3,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,1.0000,1.0000,0.0000,,'-0.6476
orca,orca,exiting_room,francis2023_exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8967,1.0000,0.0000,,0.0797
orca,orca,following_human,francis2023_following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,frontal_approach,francis2023_frontal_approach,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,intersection_no_gesture,francis2023_intersection_no_gesture,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.0311
orca,orca,intersection_proceed,francis2023_intersection_proceed,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.0311
orca,orca,intersection_wait,francis2023_intersection_wait,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.0311
orca,orca,join_group,francis2023_join_group,3,1.0000,0.0000,0.0000,0.0000,0.0000,21.3333,0.6367,1.0000,0.0798,,'-0.2552
orca,orca,leading_human,francis2023_leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,leave_group,francis2023_leave_group,3,0.6667,0.3333,0.0000,0.0000,0.0000,21.3333,0.7533,1.0000,0.0847,,'-0.2678
orca,orca,narrow_doorway,francis2023_narrow_doorway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.4117
orca,orca,narrow_hallway,francis2023_narrow_hallway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-1.0093
orca,orca,parallel_traffic,francis2023_parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0696,,'-0.2708
orca,orca,pedestrian_obstruction,francis2023_pedestrian_obstruction,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,pedestrian_overtaking,francis2023_pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0800,,'-0.1192
orca,orca,perpendicular_traffic,francis2023_perpendicular_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0081,,'-0.1470
orca,orca,robot_crowding,francis2023_robot_crowding,3,0.0000,0.3333,0.0000,0.0000,0.0000,29.0000,1.0000,1.0000,0.1807,,'-1.2204
orca,orca,robot_overtaking,francis2023_robot_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,11.6667,1.0000,1.0000,0.0000,,'-0.2662
