planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,bottleneck,classic_bottleneck_high,3,0.0000,1.0000,0.0000,0.0000,0.0000,4.0000,1.0000,1.0000,0.0000,,'-0.1536
goal,goal,bottleneck,classic_bottleneck_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,bottleneck,classic_bottleneck_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,4.0000,1.0000,1.0000,0.0000,,'-0.1536
goal,goal,cross_trap,classic_cross_trap_high,3,0.0000,1.0000,0.0000,0.0000,0.0000,12.0000,1.0000,1.0000,0.1987,,'-0.3225
goal,goal,cross_trap,classic_cross_trap_low,3,0.0000,1.0000,0.0000,0.0000,0.0000,11.3333,1.0000,1.0000,0.0111,,'-0.2121
goal,goal,cross_trap,classic_cross_trap_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0116,,'-0.2203
goal,goal,doorway,classic_doorway_high,3,0.0000,1.0000,0.0000,0.0000,0.0000,14.6667,1.0000,1.0000,0.0161,,'-0.4170
goal,goal,doorway,classic_doorway_low,3,0.0000,1.0000,0.0000,0.0000,0.0000,3.3333,1.0000,1.0000,0.0246,,'-0.2362
goal,goal,doorway,classic_doorway_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0135,,'-0.2286
goal,goal,group_crossing,classic_group_crossing_high,3,0.3333,0.6667,0.0000,0.0000,0.0000,15.3333,0.9799,1.0000,0.0265,,'-0.2444
goal,goal,group_crossing,classic_group_crossing_low,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0045,,'-0.0971
goal,goal,group_crossing,classic_group_crossing_medium,3,0.3333,0.0000,0.0000,0.0000,0.0000,18.3333,0.9704,1.0000,0.0260,,'-0.2564
goal,goal,head_on_corridor,classic_head_on_corridor_low,3,0.0000,0.3333,0.0000,0.0000,0.0000,7.0000,1.0000,1.0000,0.0032,,'-0.2001
goal,goal,head_on_corridor,classic_head_on_corridor_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,17.3333,1.0000,1.0000,0.0203,,'-0.3527
goal,goal,merging,classic_merging_low,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0551,,'-0.1430
goal,goal,merging,classic_merging_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0259,,'-0.1358
goal,goal,overtaking,classic_overtaking_low,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0178,,'-0.1833
goal,goal,overtaking,classic_overtaking_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0089,,'-0.2838
goal,goal,bottleneck,classic_realworld_double_bottleneck_high,3,0.6667,0.3333,0.0000,0.0000,0.0000,66.6667,0.8843,1.0000,0.0061,,'-0.2583
goal,goal,station_platform,classic_station_platform_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,29.3333,1.0000,1.0000,0.0133,,'-0.4339
goal,goal,t_intersection,classic_t_intersection_low,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0190,,'-0.2046
goal,goal,t_intersection,classic_t_intersection_medium,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0403,,'-0.2276
goal,goal,crossing,classic_urban_crossing_medium,3,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,1.0000,0.0059,,'-0.2067
goal,goal,accompanying_peer,francis2023_accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0047,,'-0.0957
goal,goal,blind_corner,francis2023_blind_corner,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.6667,1.0000,1.0000,0.0000,,'-0.2217
goal,goal,circular_crossing,francis2023_circular_crossing,3,0.3333,0.3333,0.0000,0.0000,0.0000,1.3333,0.9968,1.0000,0.1848,,'-0.0999
goal,goal,crowd_navigation,francis2023_crowd_navigation,3,0.0000,1.0000,0.0000,0.0000,0.0000,12.6667,1.0000,1.0000,0.0797,,'-0.3414
goal,goal,down_path,francis2023_down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,entering_elevator,francis2023_entering_elevator,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.8954,1.0000,0.0000,,0.0420
goal,goal,entering_room,francis2023_entering_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,exiting_elevator,francis2023_exiting_elevator,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0000,,'-0.1928
goal,goal,exiting_room,francis2023_exiting_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,following_human,francis2023_following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0047,,'-0.1398
goal,goal,frontal_approach,francis2023_frontal_approach,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,0.0000,,'-0.1683
goal,goal,intersection_no_gesture,francis2023_intersection_no_gesture,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_proceed,francis2023_intersection_proceed,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_wait,francis2023_intersection_wait,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,join_group,francis2023_join_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,0.0118,,'-0.1733
goal,goal,leading_human,francis2023_leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0047,,'-0.0957
goal,goal,leave_group,francis2023_leave_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.3333,1.0000,1.0000,0.0000,,'-0.1732
goal,goal,narrow_doorway,francis2023_narrow_doorway,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,narrow_hallway,francis2023_narrow_hallway,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,0.0149,,'-0.1724
goal,goal,parallel_traffic,francis2023_parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,20.6667,1.0000,1.0000,0.0375,,'-0.2736
goal,goal,pedestrian_obstruction,francis2023_pedestrian_obstruction,3,0.0000,0.6667,0.0000,0.0000,0.0000,8.3333,1.0000,1.0000,0.0165,,'-0.2249
goal,goal,pedestrian_overtaking,francis2023_pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0285,,'-0.1076
goal,goal,perpendicular_traffic,francis2023_perpendicular_traffic,3,0.3333,0.3333,0.0000,0.0000,0.0000,11.6667,0.9984,1.0000,0.0069,,'-0.2069
goal,goal,robot_crowding,francis2023_robot_crowding,3,0.0000,1.0000,0.0000,0.0000,0.0000,7.6667,1.0000,1.0000,0.2034,,'-0.3136
