planner_key,scenario_id,scenario_family,mechanism,interpretation,evidence_level,trace_evidence_required_for_waiting_claim,base_success,candidate_success,success_delta,base_unfinished,candidate_unfinished,unfinished_delta,collision_delta,near_miss_delta,snqi_delta,candidate_time_to_goal_norm,base_episodes,candidate_episodes
orca,classic_bottleneck_low,bottleneck,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2266,0.6193,3,3
orca,classic_head_on_corridor_low,head_on_corridor,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2317,0.5573,3,3
orca,classic_urban_crossing_medium,crossing,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2208,0.6814,3,3
orca,francis2023_accompanying_peer,accompanying_peer,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2199,0.6961,3,3
orca,francis2023_down_path,down_path,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2193,0.6961,3,3
orca,francis2023_exiting_elevator,exiting_elevator,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2561,0.3938,3,3
orca,francis2023_following_human,following_human,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2199,0.6961,3,3
orca,francis2023_leading_human,leading_human,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2199,0.6961,3,3
orca,francis2023_pedestrian_overtaking,pedestrian_overtaking,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.222,0.7072,3,3
orca,francis2023_perpendicular_traffic,perpendicular_traffic,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2375,0.5048,3,3
orca,francis2023_robot_overtaking,robot_overtaking,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2202,0.6556,3,3
ppo,classic_bottleneck_low,bottleneck,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2173,0.6364,3,3
ppo,classic_overtaking_low,overtaking,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2636,0.4828,3,3
