scenario_matrix,scenario_matrix_hash,scenario_count,planner_key,algo,human_model_variant,human_model_source,planner_group,benchmark_profile,observation_mode,kinematics,seed_policy.mode,seed_policy.seed_set,resolved_seeds,repeats,horizon_mode,horizon,scenario_horizons_path,paper_facing,paper_profile_version,observation_noise.profile,observation_noise.enabled,observation_noise_hash,config_hash,git_commit,campaign_id,created_at_utc
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,goal,goal,,,core,baseline-safe,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,orca,orca,,,core,baseline-safe,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,social_force,social_force,,,core,baseline-safe,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_local_planner,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_local_planner,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,ppo,ppo,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,prediction_planner,prediction_planner,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,sacadrl,sacadrl,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,scenario_adaptive_hybrid_orca_v1,hybrid_rule_local_planner,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,scenario_adaptive_hybrid_orca_v2_collision_guard,hybrid_rule_local_planner,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
configs/scenarios/classic_interactions_francis2023.yaml,8973cf0d26dd,48,socnav_sampling,socnav_sampling,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,scenario_horizons,,configs/policy_search/scenario_horizons_h500.yaml,False,paper-matrix-v1,none,False,c71dd80adab5,b5a3a8b80493c728,4941ac48f1f4e65053bbfcbbc94a55a336fad9ea,issue1454-s10-h500-candidates,2026-05-22T14:48:37.106517Z
