planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,bottleneck,classic_bottleneck_high,10,0.0000,1.0000,0.9000,0.1000,1.0000,3.4000,1.0000,1.0000,0.0000,,'-0.2511
goal,goal,bottleneck,classic_bottleneck_low,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.0000,1.0000,1.0000,0.0000,,'-0.1068
goal,goal,bottleneck,classic_bottleneck_medium,10,0.0000,1.0000,0.9000,0.1000,1.0000,3.9000,1.0000,1.0000,0.0000,,'-0.2584
goal,goal,cross_trap,classic_cross_trap_high,10,0.0000,1.0000,0.4000,0.6000,1.0000,11.2000,1.0000,1.0000,0.1686,,'-0.3747
goal,goal,cross_trap,classic_cross_trap_low,10,0.0000,1.0000,0.0000,1.0000,1.0000,6.5000,1.0000,1.0000,0.0145,,'-0.2807
goal,goal,cross_trap,classic_cross_trap_medium,10,0.0000,1.0000,0.3000,0.7000,1.0000,10.9000,1.0000,1.0000,0.1124,,'-0.3598
goal,goal,doorway,classic_doorway_high,10,0.1000,0.9000,0.5000,0.4000,0.9000,12.2000,0.9477,1.0000,0.0137,,'-0.4052
goal,goal,doorway,classic_doorway_low,10,0.1000,0.9000,0.5000,0.4000,0.9000,8.4000,0.9300,1.0000,0.0337,,'-0.3808
goal,goal,doorway,classic_doorway_medium,10,0.0000,1.0000,0.4000,0.6000,1.0000,6.8000,1.0000,1.0000,0.0159,,'-0.3603
goal,goal,group_crossing,classic_group_crossing_high,10,0.3000,0.3000,0.3000,0.0000,0.3000,6.5000,0.9952,1.0000,0.0140,,'-0.1793
goal,goal,group_crossing,classic_group_crossing_low,10,0.0000,0.2000,0.2000,0.0000,0.2000,2.8000,1.0000,1.0000,0.0068,,'-0.1635
goal,goal,group_crossing,classic_group_crossing_medium,10,0.3000,0.3000,0.3000,0.0000,0.3000,7.4000,0.9899,1.0000,0.0167,,'-0.1903
goal,goal,head_on_corridor,classic_head_on_corridor_low,10,0.0000,0.4000,0.3000,0.1000,0.4000,5.8000,1.0000,1.0000,0.0038,,'-0.2320
goal,goal,head_on_corridor,classic_head_on_corridor_medium,10,0.1000,0.8000,0.7000,0.1000,0.8000,8.3000,0.9964,1.0000,0.0543,,'-0.3085
goal,goal,merging,classic_merging_low,10,0.0000,1.0000,0.1000,0.9000,1.0000,8.9000,1.0000,0.9990,0.0051,,'-0.4458
goal,goal,merging,classic_merging_medium,10,0.0000,1.0000,0.3000,0.7000,1.0000,25.7000,1.0000,0.9938,0.0090,,'-0.5264
goal,goal,overtaking,classic_overtaking_low,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0142,,'-0.2902
goal,goal,overtaking,classic_overtaking_medium,10,0.0000,1.0000,0.1000,0.9000,1.0000,6.5000,1.0000,1.0000,0.0093,,'-0.3744
goal,goal,bottleneck,classic_realworld_double_bottleneck_high,10,0.7000,0.3000,0.3000,0.0000,0.3000,73.1000,0.8875,1.0000,0.0075,,'-0.3035
goal,goal,station_platform,classic_station_platform_medium,10,0.0000,1.0000,1.0000,0.0000,1.0000,9.9000,1.0000,1.0000,0.0935,,'-0.4097
goal,goal,t_intersection,classic_t_intersection_low,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0172,,'-0.3180
goal,goal,t_intersection,classic_t_intersection_medium,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0339,,'-0.3338
goal,goal,crossing,classic_urban_crossing_medium,10,0.0000,0.3000,0.3000,0.0000,0.3000,6.5000,1.0000,1.0000,0.0055,,'-0.2249
goal,goal,accompanying_peer,francis2023_accompanying_peer,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0047,,'-0.0957
goal,goal,blind_corner,francis2023_blind_corner,10,0.0000,1.0000,1.0000,0.0000,1.0000,5.3000,1.0000,1.0000,0.0000,,'-0.3259
goal,goal,circular_crossing,francis2023_circular_crossing,10,0.0000,0.1000,0.1000,0.0000,0.1000,0.4000,1.0000,1.0000,0.0830,,'-0.1398
goal,goal,crowd_navigation,francis2023_crowd_navigation,10,0.1000,0.9000,0.9000,0.0000,0.9000,19.0000,0.9699,1.0000,0.0942,,'-0.4440
goal,goal,down_path,francis2023_down_path,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,entering_elevator,francis2023_entering_elevator,10,0.5000,0.3000,0.0000,0.3000,0.3000,0.0000,0.9686,1.0000,0.0000,,'-0.0282
goal,goal,entering_room,francis2023_entering_room,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0000,,'-0.1264
goal,goal,exiting_elevator,francis2023_exiting_elevator,10,0.0000,1.0000,0.7000,0.3000,1.0000,7.1000,1.0000,1.0000,0.0000,,'-0.3103
goal,goal,exiting_room,francis2023_exiting_room,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0000,,'-0.1264
goal,goal,following_human,francis2023_following_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0047,,'-0.1398
goal,goal,frontal_approach,francis2023_frontal_approach,10,0.0000,1.0000,1.0000,0.0000,1.0000,5.1000,1.0000,1.0000,0.0000,,'-0.2746
goal,goal,intersection_no_gesture,francis2023_intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_proceed,francis2023_intersection_proceed,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_wait,francis2023_intersection_wait,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,join_group,francis2023_join_group,10,0.0000,1.0000,1.0000,0.0000,1.0000,5.1000,1.0000,1.0000,0.0104,,'-0.2789
goal,goal,leading_human,francis2023_leading_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0047,,'-0.0957
goal,goal,leave_group,francis2023_leave_group,10,0.0000,1.0000,1.0000,0.0000,1.0000,5.6000,1.0000,1.0000,0.0000,,'-0.2868
goal,goal,narrow_doorway,francis2023_narrow_doorway,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1997
goal,goal,narrow_hallway,francis2023_narrow_hallway,10,0.0000,1.0000,1.0000,0.0000,1.0000,4.9000,1.0000,1.0000,0.0148,,'-0.2758
goal,goal,parallel_traffic,francis2023_parallel_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,23.6000,1.0000,1.0000,0.0340,,'-0.3543
goal,goal,pedestrian_obstruction,francis2023_pedestrian_obstruction,10,0.0000,0.7000,0.7000,0.0000,0.7000,6.8000,1.0000,1.0000,0.0145,,'-0.2748
goal,goal,pedestrian_overtaking,francis2023_pedestrian_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0288,,'-0.1077
goal,goal,perpendicular_traffic,francis2023_perpendicular_traffic,10,0.1000,0.4000,0.4000,0.0000,0.4000,11.9000,0.9990,1.0000,0.0119,,'-0.2920
goal,goal,robot_crowding,francis2023_robot_crowding,10,0.0000,1.0000,1.0000,0.0000,1.0000,8.9000,1.0000,1.0000,0.2489,,'-0.4467
goal,goal,robot_overtaking,francis2023_robot_overtaking,10,0.0000,0.9000,0.9000,0.0000,0.9000,11.3000,1.0000,1.0000,0.0758,,'-0.3682
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,bottleneck,classic_bottleneck_high,10,0.9000,0.0000,0.0000,0.0000,0.0000,58.1000,0.7586,1.0000,0.0000,,'-0.1811
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,bottleneck,classic_bottleneck_low,10,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7233,1.0000,0.0000,,0.0827
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,bottleneck,classic_bottleneck_medium,10,0.9000,0.0000,0.0000,0.0000,0.0000,35.5000,0.6024,1.0000,0.0000,,'-0.1794
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,cross_trap,classic_cross_trap_high,10,0.0000,0.3000,0.3000,0.0000,0.3000,23.7000,1.0000,1.0000,0.1611,,'-0.3211
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,cross_trap,classic_cross_trap_low,10,0.1000,0.0000,0.0000,0.0000,0.0000,6.9000,0.9560,0.9946,0.0033,,'-0.1875
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,cross_trap,classic_cross_trap_medium,10,0.0000,0.2000,0.2000,0.0000,0.2000,10.5000,1.0000,1.0000,0.1032,,'-0.2267
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,doorway,classic_doorway_high,10,0.3000,0.0000,0.0000,0.0000,0.0000,64.2000,0.8762,1.0000,0.0048,,'-0.4363
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,doorway,classic_doorway_low,10,0.6000,0.0000,0.0000,0.0000,0.0000,21.9000,0.5320,1.0000,0.0117,,'-0.2796
hybrid_rule_v3_fast_progress,hybrid_rule_local_planner,doorway,classic_doorway_medium,10,0.6000,0.0000,0.0000,0.0000,0.0000,13.6000,0.7550,1.0000,0.0070,,'-0.2378
