planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,bottleneck,classic_bottleneck_high,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.0000,1.0000,1.0000,0.0000,,'-0.1129
goal,goal,bottleneck,classic_bottleneck_low,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.0000,1.0000,1.0000,0.0000,,'-0.1129
goal,goal,bottleneck,classic_bottleneck_medium,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.0000,1.0000,1.0000,0.0000,,'-0.1129
goal,goal,cross_trap,classic_cross_trap_high,10,0.0000,0.4000,0.4000,0.0000,0.4000,1.8000,1.0000,1.0000,0.1687,,'-0.2135
goal,goal,cross_trap,classic_cross_trap_low,10,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,1.0000,1.0000,0.0127,,'-0.1338
goal,goal,cross_trap,classic_cross_trap_medium,10,0.0000,0.3000,0.3000,0.0000,0.3000,1.5000,1.0000,1.0000,0.1117,,'-0.1827
goal,goal,doorway,classic_doorway_high,10,0.0000,0.8000,0.5000,0.3000,0.8000,10.7000,1.0000,1.0000,0.0141,,'-0.4113
goal,goal,doorway,classic_doorway_low,10,0.0000,0.7000,0.5000,0.2000,0.7000,7.3000,1.0000,1.0000,0.0340,,'-0.3695
goal,goal,doorway,classic_doorway_medium,10,0.0000,1.0000,0.4000,0.6000,1.0000,6.8000,1.0000,1.0000,0.0159,,'-0.3603
goal,goal,group_crossing,classic_group_crossing_high,10,0.0000,0.3000,0.3000,0.0000,0.3000,5.1000,1.0000,1.0000,0.0206,,'-0.2235
goal,goal,group_crossing,classic_group_crossing_low,10,0.0000,0.2000,0.2000,0.0000,0.2000,2.8000,1.0000,1.0000,0.0094,,'-0.1693
goal,goal,group_crossing,classic_group_crossing_medium,10,0.0000,0.3000,0.3000,0.0000,0.3000,6.0000,1.0000,1.0000,0.0263,,'-0.2372
goal,goal,head_on_corridor,classic_head_on_corridor_low,10,0.0000,0.1000,0.0000,0.1000,0.1000,1.0000,1.0000,1.0000,0.0095,,'-0.1648
goal,goal,head_on_corridor,classic_head_on_corridor_medium,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.9000,1.0000,1.0000,0.0578,,'-0.1733
goal,goal,merging,classic_merging_low,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0092,,'-0.1035
goal,goal,merging,classic_merging_medium,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0160,,'-0.1197
goal,goal,overtaking,classic_overtaking_low,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0223,,'-0.3655
goal,goal,overtaking,classic_overtaking_medium,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0145,,'-0.3666
goal,goal,bottleneck,classic_realworld_double_bottleneck_high,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,1.0000,1.0000,0.0000,,'-0.0993
goal,goal,station_platform,classic_station_platform_medium,10,0.0000,0.4000,0.4000,0.0000,0.4000,0.2000,1.0000,1.0000,0.0917,,'-0.1882
