planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,accompanying_peer,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1048
goal,goal,blind_corner,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1227
goal,goal,bottleneck,40,0.0000,0.0750,0.0000,0.0750,0.0750,0.0750,1.0000,1.0000,0.0000,,'-0.1095
goal,goal,circular_crossing,10,0.0000,0.1000,0.1000,0.0000,0.1000,0.4000,1.0000,1.0000,0.0837,,'-0.1399
goal,goal,cross_trap,30,0.0000,0.2333,0.2333,0.0000,0.2333,1.9333,1.0000,1.0000,0.0977,,'-0.1767
goal,goal,crossing,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0082,,'-0.1140
goal,goal,crowd_navigation,10,0.0000,0.0000,0.0000,0.0000,0.0000,4.5000,1.0000,1.0000,0.1112,,'-0.2440
goal,goal,doorway,30,0.0000,0.8333,0.4667,0.3667,0.8333,8.2667,1.0000,1.0000,0.0213,,'-0.3804
goal,goal,down_path,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1030
goal,goal,entering_elevator,10,0.3000,0.3000,0.0000,0.3000,0.3000,0.0000,0.9780,1.0000,0.0000,,'-0.0671
goal,goal,entering_room,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0000,,'-0.1264
goal,goal,exiting_elevator,10,0.0000,1.0000,0.7000,0.3000,1.0000,7.1000,1.0000,1.0000,0.0000,,'-0.3103
goal,goal,exiting_room,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0000,,'-0.1264
goal,goal,following_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0100,,'-0.1488
goal,goal,frontal_approach,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,group_crossing,30,0.0000,0.2667,0.2667,0.0000,0.2667,4.6333,1.0000,1.0000,0.0188,,'-0.2100
goal,goal,head_on_corridor,20,0.0000,0.1000,0.0000,0.1000,0.1000,0.9500,1.0000,1.0000,0.0336,,'-0.1690
goal,goal,intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
