scenario_id,scenario_family,core_success_mean,candidate_success_mean,candidate_success_delta,core_collision_mean,candidate_collision_mean,candidate_collision_delta,core_near_misses_mean,candidate_near_misses_mean,candidate_near_miss_delta,core_time_to_goal_norm_mean,candidate_time_to_goal_norm_mean,candidate_time_to_goal_norm_delta,core_comfort_exposure_mean,candidate_comfort_exposure_mean,candidate_comfort_exposure_delta,taxonomy
classic_bottleneck_high,bottleneck,0.114286,0.98,0.865714,0.614286,0.0,-0.614286,20.957143,58.8,37.842857,0.967557,0.73766,-0.229897,0.0001,0.0,-0.0001,candidate_specific_improvement
francis2023_robot_crowding,robot_crowding,0.2,1.0,0.8,0.8,0.0,-0.8,20.4,155.34,134.94,0.857929,0.62894,-0.228989,0.227914,0.08166,-0.146254,candidate_specific_improvement
francis2023_narrow_hallway,narrow_hallway,0.114286,0.9,0.785714,0.871429,0.0,-0.871429,12.557143,63.98,51.422857,0.944629,0.66076,-0.283869,0.018143,0.00962,-0.008523,candidate_specific_improvement
classic_realworld_double_bottleneck_high,bottleneck,0.3,1.0,0.7,0.557143,0.0,-0.557143,39.542857,19.78,-19.762857,0.899957,0.63492,-0.265037,0.006171,0.00048,-0.005691,candidate_specific_improvement
classic_bottleneck_medium,bottleneck,0.285714,0.98,0.694286,0.542857,0.0,-0.542857,9.642857,29.76,20.117143,0.848514,0.58444,-0.264074,0.000571,0.0,-0.000571,candidate_specific_improvement
francis2023_pedestrian_obstruction,pedestrian_obstruction,0.328571,1.0,0.671429,0.628571,0.0,-0.628571,8.142857,14.26,6.117143,0.878729,0.6881,-0.190629,0.016457,0.0,-0.016457,candidate_specific_improvement
francis2023_following_human,following_human,0.342857,1.0,0.657143,0.442857,0.0,-0.442857,1.857143,0.0,-1.857143,0.911886,0.74908,-0.162806,0.0542,0.00618,-0.04802,candidate_specific_improvement
francis2023_blind_corner,blind_corner,0.257143,0.9,0.642857,0.685714,0.0,-0.685714,4.214286,15.24,11.025714,0.914786,0.79832,-0.116466,7.1e-05,0.0,-7.1e-05,candidate_specific_improvement
francis2023_parallel_traffic,parallel_traffic,0.371429,1.0,0.628571,0.257143,0.0,-0.257143,17.185714,0.24,-16.945714,0.8952,0.754,-0.1412,0.046829,0.0399,-0.006929,candidate_specific_improvement
francis2023_robot_overtaking,robot_overtaking,0.371429,1.0,0.628571,0.428571,0.0,-0.428571,11.471429,4.78,-6.691429,0.887129,0.7521,-0.135029,0.039429,0.0,-0.039429,candidate_specific_improvement
