scenario_id,planner_key,planner_group,seed_count,success_mean,success_std,success_range,collision_mean,collision_std,near_misses_mean,near_misses_std,time_to_goal_norm_mean,time_to_goal_norm_std,snqi_mean,snqi_std
classic_bottleneck_medium,orca,core,10,0.5,0.5,1.0,0.5,0.5,11.6,6.81469,0.795468,0.204953,-1.161412,0.157803
classic_doorway_high,prediction_planner,core,10,0.5,0.5,1.0,0.5,0.5,35.7,23.195043,0.726923,0.27405,-0.455494,0.207429
classic_doorway_low,prediction_planner,core,10,0.5,0.5,1.0,0.5,0.5,23.6,20.991427,0.616949,0.383662,-0.351565,0.240956
classic_doorway_medium,prediction_planner,core,10,0.5,0.5,1.0,0.5,0.5,25.4,20.20495,0.789444,0.22029,-0.298235,0.12318
classic_group_crossing_medium,socnav_sampling,core,10,0.5,0.5,1.0,0.5,0.5,2.1,2.91376,0.763905,0.237446,-0.099054,0.213078
classic_merging_low,socnav_sampling,core,10,0.5,0.5,1.0,0.5,0.5,3.5,3.801316,0.874107,0.126049,-0.216135,0.191099
classic_realworld_double_bottleneck_high,ppo,core,10,0.5,0.5,1.0,0.5,0.5,23.7,11.31415,0.758007,0.242041,-0.569178,0.134987
classic_realworld_double_bottleneck_high,prediction_planner,core,10,0.5,0.5,1.0,0.5,0.5,88.0,38.77886,0.840925,0.159233,-0.38422,0.169696
francis2023_leading_human,socnav_sampling,core,10,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.850698,0.149337,-0.040394,0.163099
francis2023_entering_elevator,goal,core,10,0.5,0.5,1.0,0.3,0.458258,0.0,0.0,0.968627,0.040612,-0.028155,0.13467
classic_merging_low,prediction_planner,core,10,0.5,0.5,1.0,0.1,0.3,32.0,45.290176,0.971875,0.036517,-0.319265,0.223275
francis2023_leave_group,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.5,0.5,1.0,0.0,0.0,100.9,28.133432,0.834118,0.166374,-0.483132,0.073652
classic_doorway_low,orca,core,10,0.4,0.489898,1.0,0.5,0.5,17.1,10.866922,0.715738,0.361204,-0.842221,0.533805
classic_doorway_medium,ppo,core,10,0.4,0.489898,1.0,0.5,0.5,9.6,9.728309,0.806111,0.285887,-0.739654,0.355603
francis2023_parallel_traffic,social_force,core,10,0.4,0.489898,1.0,0.5,0.5,24.0,12.473973,0.9612,0.048102,-1.106346,0.128253
classic_cross_trap_high,ppo,core,10,0.6,0.489898,1.0,0.4,0.489898,27.0,36.671515,0.693574,0.250848,-0.347078,0.152742
classic_cross_trap_medium,orca,core,10,0.4,0.489898,1.0,0.6,0.489898,22.3,19.005526,0.81283,0.232359,-0.367835,0.180996
classic_group_crossing_high,socnav_sampling,core,10,0.4,0.489898,1.0,0.6,0.489898,4.9,4.908156,0.800602,0.244454,-0.215611,0.201363
classic_group_crossing_low,socnav_sampling,core,10,0.6,0.489898,1.0,0.4,0.489898,0.3,0.9,0.751678,0.204824,-0.028242,0.18195
classic_head_on_corridor_low,socnav_sampling,core,10,0.6,0.489898,1.0,0.4,0.489898,1.6,2.289105,0.732061,0.219741,-0.042215,0.179694
classic_head_on_corridor_medium,prediction_planner,core,10,0.6,0.489898,1.0,0.4,0.489898,18.0,17.216271,0.861314,0.117221,-0.228019,0.230661
classic_head_on_corridor_medium,socnav_sampling,core,10,0.6,0.489898,1.0,0.4,0.489898,1.3,1.734935,0.741971,0.211717,-0.06291,0.168636
classic_merging_medium,orca,core,10,0.6,0.489898,1.0,0.4,0.489898,59.5,34.997857,0.831167,0.143823,-0.559858,0.148776
classic_realworld_double_bottleneck_high,orca,core,10,0.4,0.489898,1.0,0.6,0.489898,53.4,23.09199,0.813345,0.228616,-0.470605,0.266049
classic_t_intersection_low,prediction_planner,core,10,0.6,0.489898,1.0,0.4,0.489898,10.7,21.661256,0.711677,0.23791,-0.087013,0.265387
