review_reason,scenario_id,planner_key,planner_group,seed,episode_id,status,termination_reason,success,collisions,near_misses,clearing_distance_min,time_to_goal_norm,summary_observation,mechanism_claim,support_status,source_episode_file
weak_spot,francis2023_narrow_doorway,hybrid_rule_v3_fast_progress,candidate,111,francis2023_narrow_doorway--111--287807bdcdca3b3e,failure,terminated,false,0,0,1.190788,1.000000,"terminated outcome with success=False, collisions=0, near_misses=0; summary metrics show the weak cell but do not identify the behavior that caused it.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress__differential_drive/episodes.jsonl
weak_spot,francis2023_narrow_doorway,hybrid_rule_v3_fast_progress_static_escape,candidate,111,francis2023_narrow_doorway--111--07720d55d013d6a9,failure,terminated,false,0,0,1.190788,1.000000,"terminated outcome with success=False, collisions=0, near_misses=0; summary metrics show the weak cell but do not identify the behavior that caused it.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape__differential_drive/episodes.jsonl
weak_spot,classic_station_platform_medium,hybrid_rule_v3_fast_progress,candidate,114,classic_station_platform_medium--114--d04001464f9e1f06,failure,terminated,false,0,158,2.139427,1.000000,"terminated outcome with success=False, collisions=0, near_misses=158; summary metrics show the weak cell but do not identify the behavior that caused it.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress__differential_drive/episodes.jsonl
weak_spot,classic_station_platform_medium,hybrid_rule_v3_fast_progress_static_escape,candidate,114,classic_station_platform_medium--114--4ef833b6b0a127b6,failure,terminated,false,0,158,2.139427,1.000000,"terminated outcome with success=False, collisions=0, near_misses=158; summary metrics show the weak cell but do not identify the behavior that caused it.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape__differential_drive/episodes.jsonl
near_miss_heavy_win,francis2023_robot_crowding,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,117,francis2023_robot_crowding--117--dd2078d55e0979a2,success,success,true,0,281,3.099785,0.890805,"success outcome with success=True, collisions=0, near_misses=281; summary metrics show near-miss exposure but not whether the planner waited, yielded, squeezed, or took risk.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape_continuous__differential_drive/episodes.jsonl
near_miss_heavy_win,francis2023_robot_crowding,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,120,francis2023_robot_crowding--120--9a72a2457aae83dd,success,success,true,0,265,3.369329,0.971264,"success outcome with success=True, collisions=0, near_misses=265; summary metrics show near-miss exposure but not whether the planner waited, yielded, squeezed, or took risk.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape_continuous__differential_drive/episodes.jsonl
near_miss_heavy_win,francis2023_narrow_hallway,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,111,francis2023_narrow_hallway--111--6f97bba44d9ae706,success,success,true,0,116,1.418914,0.811146,"success outcome with success=True, collisions=0, near_misses=116; summary metrics show near-miss exposure but not whether the planner waited, yielded, squeezed, or took risk.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape_continuous__differential_drive/episodes.jsonl
near_miss_heavy_win,francis2023_narrow_hallway,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,118,francis2023_narrow_hallway--118--9285d52a7aea7191,success,success,true,0,116,1.401201,0.764706,"success outcome with success=True, collisions=0, near_misses=116; summary metrics show near-miss exposure but not whether the planner waited, yielded, squeezed, or took risk.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape_continuous__differential_drive/episodes.jsonl
optional_large_success_gain,classic_bottleneck_high,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,114,classic_bottleneck_high--114--bbe76e28d5a50087,success,success,true,0,121,1.233230,0.967857,"success outcome with success=True, collisions=0, near_misses=121; summary metrics show near-miss exposure but not whether the planner waited, yielded, squeezed, or took risk.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress_static_escape_continuous__differential_drive/episodes.jsonl
optional_large_success_gain,classic_bottleneck_high,hybrid_rule_v3_fast_progress,candidate,118,classic_bottleneck_high--118--1f5f0f5372edd204,success,success,true,0,108,1.174910,0.910714,"success outcome with success=True, collisions=0, near_misses=108; summary metrics show near-miss exposure but not whether the planner waited, yielded, squeezed, or took risk.",waiting/yielding/hesitation/squeezing/risk-taking,not_resolved_summary_only_no_trace_or_video,runs/hybrid_rule_v3_fast_progress__differential_drive/episodes.jsonl
