scenario_matrix,scenario_matrix_hash,scenario_count,scenario_candidates,synthetic_actuation_profile,planner_key,algo,human_model_variant,human_model_source,planner_group,benchmark_profile,observation_mode,kinematics,seed_policy.mode,seed_policy.seed_set,resolved_seeds,repeats,horizon_mode,horizon,scenario_horizons_path,paper_facing,paper_profile_version,observation_noise.profile,observation_noise.enabled,observation_noise_hash,config_hash,git_commit,campaign_id,created_at_utc
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,goal,goal,,,core,baseline-safe,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,goal,goal,,,core,baseline-safe,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,goal,goal,,,core,baseline-safe,,holonomic,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,orca,orca,,,core,baseline-safe,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,orca,orca,,,core,baseline-safe,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,orca,orca,,,core,baseline-safe,,holonomic,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,social_force,social_force,,,core,baseline-safe,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,social_force,social_force,,,core,baseline-safe,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,social_force,social_force,,,core,baseline-safe,,holonomic,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,ppo,ppo,,,experimental,experimental,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,ppo,ppo,,,experimental,experimental,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,ppo,ppo,,,experimental,experimental,,holonomic,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,prediction_planner,prediction_planner,,,experimental,experimental,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,prediction_planner,prediction_planner,,,experimental,experimental,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,prediction_planner,prediction_planner,,,experimental,experimental,,holonomic,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,sacadrl,sacadrl,,,experimental,experimental,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,sacadrl,sacadrl,,,experimental,experimental,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,sacadrl,sacadrl,,,experimental,experimental,,holonomic,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,socnav_sampling,socnav_sampling,,,experimental,experimental,,bicycle_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
configs/scenarios/sets/cross_kinematics_v1.yaml,ab8352ea8083,1,[],,socnav_sampling,socnav_sampling,,,experimental,experimental,,differential_drive,fixed-list,,[111],1,fixed,80,,False,,none,False,c71dd80adab5,f1c0cdc42134a4f9,f35fb3b5d47c217594a7d6e923b14bc22772ab5f,issue_1484_broader_cross_kinematics_issue1484-broader-cross-kinematics-20260528-gf35fb3b5_20260528_172441,2026-05-28T15:24:41.783271Z
