episode_id,scenario_id,planner_key,kinematics,algo,seed,repeat_index,success,collision,near_miss,time_to_goal,snqi
classic_cross_trap_low--111--09382346cc55165a,classic_cross_trap_low,goal,bicycle_drive,goal,111,0,0.0,0.0,26.0,1.0,-0.429660865607279
classic_cross_trap_low--111--9f1d88d5b7078207,classic_cross_trap_low,goal,differential_drive,goal,111,0,0.0,0.0,25.0,1.0,-0.4126535486592599
classic_cross_trap_low--111--06070a24c7b1fd98,classic_cross_trap_low,goal,holonomic,goal,111,0,0.0,0.0,0.0,1.0,-0.10834588948566656
classic_cross_trap_low--111--8904759b488ad3ae,classic_cross_trap_low,orca,bicycle_drive,orca,111,0,0.0,0.0,0.0,1.0,-0.11486736792187859
classic_cross_trap_low--111--f191a400aa502d6b,classic_cross_trap_low,orca,differential_drive,orca,111,0,0.0,0.0,5.0,1.0,-0.17537249117335946
classic_cross_trap_low--111--a816e67da919ad42,classic_cross_trap_low,orca,holonomic,orca,111,0,0.0,0.0,12.0,1.0,-0.5054352687555362
classic_cross_trap_low--111--85b3060b84dae29f,classic_cross_trap_low,ppo,bicycle_drive,ppo,111,0,0.0,0.0,0.0,1.0,-0.40168950119545055
classic_cross_trap_low--111--338b6eac725cb170,classic_cross_trap_low,ppo,differential_drive,ppo,111,0,0.0,0.0,6.0,1.0,-0.36489649272443586
classic_cross_trap_low--111--a69731a2bbde9791,classic_cross_trap_low,ppo,holonomic,ppo,111,0,0.0,0.0,8.0,1.0,-0.29142105055583606
classic_cross_trap_low--111--f27dca8e99dbfa12,classic_cross_trap_low,prediction_planner,bicycle_drive,prediction_planner,111,0,0.0,0.0,0.0,1.0,-0.10232213653698202
classic_cross_trap_low--111--4d83b79917410f42,classic_cross_trap_low,prediction_planner,differential_drive,prediction_planner,111,0,0.0,0.0,0.0,1.0,-0.09998383103973885
classic_cross_trap_low--111--c5ab208782bf4f5b,classic_cross_trap_low,prediction_planner,holonomic,prediction_planner,111,0,0.0,0.0,0.0,1.0,-0.10039033325596686
classic_cross_trap_low--111--0f583388688a8701,classic_cross_trap_low,sacadrl,bicycle_drive,sacadrl,111,0,0.0,0.0,41.0,1.0,-0.4925880178596274
classic_cross_trap_low--111--7cad223de2f9fbd1,classic_cross_trap_low,sacadrl,differential_drive,sacadrl,111,0,0.0,0.0,40.0,1.0,-0.46226609684403575
classic_cross_trap_low--111--ed3bb622492e06ce,classic_cross_trap_low,sacadrl,holonomic,sacadrl,111,0,0.0,0.0,31.0,1.0,-0.40917822487994254
classic_cross_trap_low--111--d4befcbbf6b5f1bc,classic_cross_trap_low,social_force,bicycle_drive,social_force,111,0,0.0,0.0,0.0,1.0,-0.12896830062809556
classic_cross_trap_low--111--f53cab001957b7c7,classic_cross_trap_low,social_force,differential_drive,social_force,111,0,0.0,0.0,10.0,1.0,-0.2663483342611581
classic_cross_trap_low--111--182a6de9158971af,classic_cross_trap_low,social_force,holonomic,social_force,111,0,0.0,0.0,14.0,1.0,-0.41206322959262204
classic_cross_trap_low--111--4df220050238f5c9,classic_cross_trap_low,socnav_sampling,bicycle_drive,socnav_sampling,111,0,0.0,0.0,0.0,1.0,-0.10853146985401904
classic_cross_trap_low--111--6cdb459bd81e731b,classic_cross_trap_low,socnav_sampling,differential_drive,socnav_sampling,111,0,0.0,1.0,5.0,1.0,-0.28103524279580777
classic_cross_trap_low--111--e9d3dbd47ba9b5f2,classic_cross_trap_low,socnav_sampling,holonomic,socnav_sampling,111,0,0.0,0.0,0.0,1.0,-0.09998383103973885
