scenario_id,classification,seed_count,planner_count,mean_success,min_seed_success,max_seed_success,seed_success_range,hard_seeds,easy_seeds,most_brittle_planner,most_brittle_planner_success_range,missing_cell_count
classic_cross_trap_high,seed_sensitive,10,4,0.7000,0.0000,1.0000,1.0000,111 112 115,113 114 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_cross_trap_medium,seed_sensitive,10,4,0.8000,0.0000,1.0000,1.0000,111 115,112 113 114 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_doorway_high,seed_sensitive,10,4,0.6750,0.0000,1.0000,1.0000,112 113 117 118,111 114 115 116 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_doorway_low,seed_sensitive,10,4,0.8500,0.0000,1.0000,1.0000,111,112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_doorway_medium,seed_sensitive,10,4,0.6250,0.0000,1.0000,1.0000,114 115 117 118,111 112 113 116 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_group_crossing_high,seed_sensitive,10,4,0.8250,0.0000,1.0000,1.0000,117 119,111 112 113 114 115 116 118 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_group_crossing_low,seed_sensitive,10,4,0.9000,0.0000,1.0000,1.0000,117,111 112 113 114 115 116 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_head_on_corridor_low,seed_sensitive,10,4,0.9000,0.0000,1.0000,1.0000,116,111 112 113 114 115 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_head_on_corridor_medium,seed_sensitive,10,4,0.9000,0.0000,1.0000,1.0000,116,111 112 113 114 115 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
classic_merging_low,seed_sensitive,10,4,0.7000,0.0000,1.0000,1.0000,111 117 119,112 113 114 115 116 118 120,scenario_adaptive_hybrid_orca_v2_collision_guard,1.0000,0
