scenario_id,seed,classification,mean_success,mean_collision,planner_count
classic_bottleneck_high,111,easy,1.0000,0.0000,4
classic_bottleneck_high,112,easy,1.0000,0.0000,4
classic_bottleneck_high,113,easy,1.0000,0.0000,4
classic_bottleneck_high,114,easy,1.0000,0.0000,4
classic_bottleneck_high,115,easy,1.0000,0.0000,4
classic_bottleneck_high,116,easy,1.0000,0.0000,4
classic_bottleneck_high,117,easy,1.0000,0.0000,4
classic_bottleneck_high,118,easy,1.0000,0.0000,4
classic_bottleneck_high,119,easy,1.0000,0.0000,4
classic_bottleneck_high,120,easy,1.0000,0.0000,4
classic_bottleneck_low,111,easy,1.0000,0.0000,4
classic_bottleneck_low,112,easy,1.0000,0.0000,4
classic_bottleneck_low,113,easy,1.0000,0.0000,4
classic_bottleneck_low,114,easy,1.0000,0.0000,4
classic_bottleneck_low,115,easy,1.0000,0.0000,4
classic_bottleneck_low,116,easy,1.0000,0.0000,4
classic_bottleneck_low,117,easy,1.0000,0.0000,4
classic_bottleneck_low,118,easy,1.0000,0.0000,4
classic_bottleneck_low,119,easy,1.0000,0.0000,4
classic_bottleneck_low,120,easy,1.0000,0.0000,4
classic_bottleneck_medium,111,easy,1.0000,0.0000,4
classic_bottleneck_medium,112,easy,1.0000,0.0000,4
classic_bottleneck_medium,113,easy,1.0000,0.0000,4
classic_bottleneck_medium,114,easy,1.0000,0.0000,4
classic_bottleneck_medium,115,easy,1.0000,0.0000,4
classic_bottleneck_medium,116,easy,1.0000,0.0000,4
classic_bottleneck_medium,117,easy,1.0000,0.0000,4
classic_bottleneck_medium,118,easy,1.0000,0.0000,4
classic_bottleneck_medium,119,easy,1.0000,0.0000,4
classic_bottleneck_medium,120,easy,1.0000,0.0000,4
classic_cross_trap_high,111,hard,0.0000,1.0000,4
classic_cross_trap_high,112,hard,0.0000,1.0000,4
classic_cross_trap_high,115,hard,0.0000,1.0000,4
classic_cross_trap_high,113,easy,1.0000,0.0000,4
classic_cross_trap_high,114,easy,1.0000,0.0000,4
classic_cross_trap_high,116,easy,1.0000,0.0000,4
classic_cross_trap_high,117,easy,1.0000,0.0000,4
classic_cross_trap_high,118,easy,1.0000,0.0000,4
classic_cross_trap_high,119,easy,1.0000,0.0000,4
classic_cross_trap_high,120,easy,1.0000,0.0000,4
classic_cross_trap_low,111,easy,1.0000,0.0000,4
classic_cross_trap_low,112,easy,1.0000,0.0000,4
classic_cross_trap_low,113,easy,1.0000,0.0000,4
classic_cross_trap_low,114,easy,1.0000,0.0000,4
classic_cross_trap_low,115,easy,1.0000,0.0000,4
classic_cross_trap_low,116,easy,1.0000,0.0000,4
classic_cross_trap_low,117,easy,1.0000,0.0000,4
classic_cross_trap_low,118,easy,1.0000,0.0000,4
classic_cross_trap_low,119,easy,1.0000,0.0000,4
classic_cross_trap_low,120,easy,1.0000,0.0000,4
classic_cross_trap_medium,111,hard,0.0000,1.0000,4
classic_cross_trap_medium,115,hard,0.0000,1.0000,4
classic_cross_trap_medium,112,easy,1.0000,0.0000,4
classic_cross_trap_medium,113,easy,1.0000,0.0000,4
classic_cross_trap_medium,114,easy,1.0000,0.0000,4
classic_cross_trap_medium,116,easy,1.0000,0.0000,4
classic_cross_trap_medium,117,easy,1.0000,0.0000,4
classic_cross_trap_medium,118,easy,1.0000,0.0000,4
classic_cross_trap_medium,119,easy,1.0000,0.0000,4
classic_cross_trap_medium,120,easy,1.0000,0.0000,4
classic_doorway_high,117,hard,0.0000,0.2500,4
classic_doorway_high,112,hard,0.2500,0.0000,4
classic_doorway_high,113,hard,0.2500,0.0000,4
classic_doorway_high,118,hard,0.2500,0.0000,4
classic_doorway_high,111,easy,1.0000,0.0000,4
classic_doorway_high,114,easy,1.0000,0.0000,4
classic_doorway_high,115,easy,1.0000,0.0000,4
classic_doorway_high,116,easy,1.0000,0.0000,4
classic_doorway_high,119,easy,1.0000,0.0000,4
classic_doorway_high,120,easy,1.0000,0.0000,4
classic_doorway_low,111,hard,0.0000,0.7500,4
classic_doorway_low,113,easy,0.7500,0.0000,4
classic_doorway_low,117,easy,0.7500,0.0000,4
classic_doorway_low,112,easy,1.0000,0.0000,4
classic_doorway_low,114,easy,1.0000,0.0000,4
classic_doorway_low,115,easy,1.0000,0.0000,4
classic_doorway_low,116,easy,1.0000,0.0000,4
classic_doorway_low,118,easy,1.0000,0.0000,4
classic_doorway_low,119,easy,1.0000,0.0000,4
classic_doorway_low,120,easy,1.0000,0.0000,4
classic_doorway_medium,115,hard,0.0000,0.0000,4
classic_doorway_medium,117,hard,0.0000,0.0000,4
classic_doorway_medium,118,hard,0.0000,0.0000,4
classic_doorway_medium,114,hard,0.2500,0.0000,4
classic_doorway_medium,111,easy,1.0000,0.0000,4
classic_doorway_medium,112,easy,1.0000,0.0000,4
classic_doorway_medium,113,easy,1.0000,0.0000,4
classic_doorway_medium,116,easy,1.0000,0.0000,4
