"step","topology_status","hypothesis_count","hypothesis_ids","selected_hypothesis_id","selected_score","primary_route_remaining_m","best_alternative_id","best_alternative_remaining_m","primary_minus_best_alternative_remaining_m","missing_trace_fields"
0,"insufficient_hypotheses",1,"primary_route","","",2.3313708846386088,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
1,"ok",3,"primary_route;masked_cell_63_95;masked_cell_61_103","","",14.948023296778425,"masked_cell_61_103",15.727922295722157,-0.7798989989437324,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
2,"ok",3,"primary_route;masked_cell_71_87;masked_cell_63_95","","",15.030866010487497,"masked_cell_71_87",15.568124318696315,-0.537258308208818,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
3,"ok",3,"primary_route;masked_cell_63_95;masked_cell_60_103","","",14.830866007507264,"masked_cell_63_95",15.816652459823532,-0.9857864523162672,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
4,"ok",3,"primary_route;masked_cell_71_87;masked_cell_63_95","","",14.46518057710889,"masked_cell_71_87",15.450967029425154,-0.9857864523162636,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
5,"ok",3,"primary_route;masked_cell_71_87;masked_cell_63_95","","",14.265180574128658,"masked_cell_71_87",15.250967026444922,-0.9857864523162636,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
6,"ok",3,"primary_route;masked_cell_71_86;masked_cell_63_94","","",14.182337860419583,"masked_cell_71_86",15.16812431273585,-0.9857864523162672,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
7,"ok",3,"primary_route;masked_cell_63_93;masked_cell_61_101","","",14.099495146710513,"masked_cell_61_101",14.879394145654247,-0.7798989989437342,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
8,"ok",3,"primary_route;masked_cell_63_93;masked_cell_61_101","","",13.899495143730281,"masked_cell_61_101",14.679394142674015,-0.7798989989437342,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
9,"ok",3,"primary_route;masked_cell_63_92;masked_cell_61_100","","",13.81665243002121,"masked_cell_61_100",14.596551428964942,-0.7798989989437324,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
