pair_id,baseline_candidate,intervention_candidate,scenario_id,seed,paired_row_status,classification,activation_count,first_activation_step,trace_changed,terminal_outcome_changed,baseline_success,intervention_success,baseline_steps,intervention_steps
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,classic_bottleneck_low,111,completed,comparator_already_solved_case,0,,false,false,true,true,125,125
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,classic_bottleneck_low,112,completed,comparator_already_solved_case,0,,false,false,true,true,112,112
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,classic_bottleneck_low,113,completed,mechanism_active_terminal_changed,4,7,true,true,false,true,500,122
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,classic_head_on_corridor_low,111,completed,comparator_already_solved_case,0,,false,false,true,true,186,186
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,classic_head_on_corridor_low,112,completed,comparator_already_solved_case,0,,false,false,true,true,165,165
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,classic_head_on_corridor_low,113,completed,comparator_already_solved_case,0,,false,false,true,true,160,160
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,narrow_passage,111,completed,comparator_already_solved_case,0,,false,false,true,true,107,107
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,narrow_passage,112,completed,comparator_already_solved_case,0,,false,false,true,true,105,105
static_recenter_only_h500_broader,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,narrow_passage,113,completed,comparator_already_solved_case,0,,false,false,true,true,106,106
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,classic_bottleneck_low,111,completed,comparator_already_solved_case,0,,false,false,true,true,125,125
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,classic_bottleneck_low,112,completed,comparator_already_solved_case,0,,false,false,true,true,112,112
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,classic_bottleneck_low,113,completed,mechanism_active_terminal_changed,4,7,true,true,false,true,500,122
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,classic_head_on_corridor_low,111,completed,comparator_already_solved_case,0,,false,false,true,true,186,186
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,classic_head_on_corridor_low,112,completed,comparator_already_solved_case,0,,false,false,true,true,165,165
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,classic_head_on_corridor_low,113,completed,comparator_already_solved_case,0,,false,false,true,true,160,160
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,narrow_passage,111,completed,comparator_already_solved_case,0,,false,false,true,true,107,107
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,narrow_passage,112,completed,comparator_already_solved_case,0,,false,false,true,true,105,105
escape_recenter_pair_h500_broader,issue_2170_static_escape_only,issue_2170_static_escape_recenter_no_transit,narrow_passage,113,completed,comparator_already_solved_case,0,,false,false,true,true,106,106
