campaign,scenario_id,scenario_family,planner_key,seed_count,success_mean,success_ci_low,success_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,snqi_mean,snqi_ci_low,snqi_ci_high
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_high,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.25106690896220885,-0.25776503281628355,-0.2421477461356328
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_low,,goal,10,0.0,0.0,0.0,0.1,0.0,0.3,-0.10680653918538881,-0.13059763483476527,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.25840639237462415,-0.2658017671528783,-0.24801933286556505
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_high,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.3747202844795202,-0.4615585867350868,-0.29048147833809845
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_low,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2807495620475827,-0.3802120753576176,-0.212214829465107
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.35981718617819514,-0.4535875112530967,-0.2748617855020315
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_high,,goal,10,0.1,0.0,0.3,0.9,0.7,1.0,-0.40518541756166393,-0.5117541365816297,-0.31988492611827735
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_low,,goal,10,0.1,0.0,0.3,0.9,0.7,1.0,-0.38076716632378144,-0.5064495142586091,-0.2795282459780695
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.3602738482913652,-0.43810013802266107,-0.2904065201964953
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_high,,goal,10,0.3,0.0,0.6,0.3,0.0,0.6,-0.17931428873454755,-0.28061330948103774,-0.06919486880073042
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_low,,goal,10,0.0,0.0,0.0,0.2,0.0,0.5,-0.1634529668172063,-0.245126106688326,-0.10084712458174053
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_medium,,goal,10,0.3,0.0,0.6,0.3,0.0,0.6,-0.19034684403813834,-0.2934083881672164,-0.07808980097988809
issue_1454_s10_h500_candidates_2026-05-23,classic_head_on_corridor_low,,goal,10,0.0,0.0,0.0,0.4,0.1,0.7,-0.23196598024217224,-0.2912734939422683,-0.17240190899911007
issue_1454_s10_h500_candidates_2026-05-23,classic_head_on_corridor_medium,,goal,10,0.1,0.0,0.3,0.8,0.5475000000000007,1.0,-0.30853338554398035,-0.35153723205954374,-0.2709679208107912
issue_1454_s10_h500_candidates_2026-05-23,classic_merging_low,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.44583205758049854,-0.531532168739684,-0.37108759009696674
issue_1454_s10_h500_candidates_2026-05-23,classic_merging_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.5263759565907691,-0.5949583224778495,-0.44667723571538664
issue_1454_s10_h500_candidates_2026-05-23,classic_overtaking_low,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2901534969066853,-0.3098952136025787,-0.2700168847116781
issue_1454_s10_h500_candidates_2026-05-23,classic_overtaking_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.37435806314557263,-0.4494016914732217,-0.3011754219995428
issue_1454_s10_h500_candidates_2026-05-23,classic_realworld_double_bottleneck_high,,goal,10,0.7,0.4,1.0,0.3,0.0,0.6,-0.30346313590130425,-0.3788776278700027,-0.2363037741624209
issue_1454_s10_h500_candidates_2026-05-23,classic_station_platform_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.4096994250299284,-0.46231608805457675,-0.3478787604824991
issue_1454_s10_h500_candidates_2026-05-23,classic_t_intersection_low,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.3179782354244993,-0.3424274640378886,-0.29558627099728657
issue_1454_s10_h500_candidates_2026-05-23,classic_t_intersection_medium,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.33383882949791266,-0.3563051581698805,-0.3104079544222331
issue_1454_s10_h500_candidates_2026-05-23,classic_urban_crossing_medium,,goal,10,0.0,0.0,0.0,0.3,0.04750000000000068,0.6,-0.22491211022124746,-0.3009507148884291,-0.1443814310187772
issue_1454_s10_h500_candidates_2026-05-23,francis2023_accompanying_peer,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09574741279157475,-0.09574741279157475,-0.09574741279157475
issue_1454_s10_h500_candidates_2026-05-23,francis2023_blind_corner,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.3258892580976974,-0.33480169041606705,-0.31661817612601245
issue_1454_s10_h500_candidates_2026-05-23,francis2023_circular_crossing,,goal,10,0.0,0.0,0.0,0.1,0.0,0.3,-0.1397541605543441,-0.1808797202860927,-0.11048498743253896
issue_1454_s10_h500_candidates_2026-05-23,francis2023_crowd_navigation,,goal,10,0.1,0.0,0.3,0.9,0.7,1.0,-0.44395034328645827,-0.5098218301276373,-0.3760221571167545
issue_1454_s10_h500_candidates_2026-05-23,francis2023_down_path,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_elevator,,goal,10,0.5,0.2,0.8,0.3,0.0,0.6,-0.02815478991870566,-0.1175797062207904,0.06225017623234963
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_room,,goal,10,0.0,0.0,0.0,0.3,0.0,0.6,-0.1263616188848325,-0.15781224640896438,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_elevator,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.31030460929634035,-0.3501540721504869,-0.2706671711458682
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_room,,goal,10,0.0,0.0,0.0,0.3,0.0,0.6,-0.1263616188848325,-0.15781224640896438,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_following_human,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.1397843132660668,-0.19633503295872695,-0.09574741279157475
issue_1454_s10_h500_candidates_2026-05-23,francis2023_frontal_approach,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2746091472477767,-0.2775449406127429,-0.27314125056529365
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_no_gesture,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_proceed,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_wait,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_join_group,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2788790530146806,-0.28235401915173386,-0.276977956451231
issue_1454_s10_h500_candidates_2026-05-23,francis2023_leading_human,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09574741279157475,-0.09574741279157475,-0.09574741279157475
issue_1454_s10_h500_candidates_2026-05-23,francis2023_leave_group,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2867941717741919,-0.2989753479658435,-0.27901283729522597
issue_1454_s10_h500_candidates_2026-05-23,francis2023_narrow_doorway,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.19974641644114027,-0.19974641644114027,-0.19974641644114027
issue_1454_s10_h500_candidates_2026-05-23,francis2023_narrow_hallway,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.27575355120881795,-0.2772383693251929,-0.272819757371833
