variant,planner,success_rate,collision_rate,min_clearance,mean_clearance,near_miss_rate,comfort_exposure_mean,time_to_goal_norm
baseline,baseline_social_force,0.0,0.0,3.9049798564385725,10.418323799212295,0.0,0.016666666666666666,1.0
baseline,goal_seek,0.0,1.0,7.159963181738188,11.602001209088755,0.0,0.08163202859171133,0.5166666666666667
clearance_radius__radius_0_30,baseline_social_force,0.0,0.0,4.004979856438573,10.518323799212297,0.0,0.016666666666666666,1.0
clearance_radius__radius_0_30,goal_seek,0.0,1.0,7.240994568974846,12.46498696952163,0.0,0.03401298097266372,0.7166666666666667
integration_timestep__dt_0_05,baseline_social_force,0.0,0.0,1.6395592781106776,6.375575752501341,0.0,0.00787037037037037,1.0
integration_timestep__dt_0_05,goal_seek,0.0,1.0,3.841663420214586,9.28105548391971,0.0,0.011644839267957936,0.7138888888888889
observation_noise__pose_heading_low,baseline_social_force,0.0,0.0,3.905775465067604,10.418988314829845,0.0,0.016666666666666666,1.0
observation_noise__pose_heading_low,goal_seek,0.0,1.0,7.170802262531839,11.617095821080056,0.0,0.07222077054844235,0.5194444444444445
social_force_speed_archetypes__mixed_balanced,baseline_social_force,0.0,0.0,3.501684511590676,9.471269207933092,0.0,0.01759259259259259,1.0
social_force_speed_archetypes__mixed_balanced,goal_seek,0.0,1.0,6.198165855866628,11.337917312667372,0.0,0.08257115580314522,0.5222222222222223
