weight_set_id,weight_source_path,weight_sha256,baseline_path,baseline_sha256,planner_key,rank,snqi_score,source_run,job_id,episodes,seed_count,scenario_matrix_hash,comparability_mapping_hash,evidence_status,term_availability_status,caveat
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,ppo,1,-0.608015877087,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,orca,2,-0.892846493797,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,socnav_sampling,3,-1.56588207726,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_planner,4,-1.58372109152,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,goal,5,-1.73073679316,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,sacadrl,6,-1.73370130135,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc_cbf,7,-1.80470967302,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc,8,-1.82135701202,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
default_uniform_1p0,synthetic_uniform_1p0,,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,social_force,9,-2.23086097173,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,all SNQI terms set to 1.0 through the existing load_weight_mapping(None) convention
camera_ready_v2,configs/benchmarks/snqi_weights_camera_ready_v2.json,57ae70c1125e64d0ef13f65a63f87dcd2ba96c68356370aa3d27ae039a854c99,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,ppo,1,-0.0643671533613,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
