planner_key,algo,scenario_family,scenario_id,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,bottleneck,classic_bottleneck_high,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,2.6667,1.0000,1.0000,0.0000,,'-0.2738
goal,goal,bottleneck,classic_bottleneck_low,,,,,3,0.6667,0.3333,0.0000,0.3333,0.3333,0.0000,0.5833,1.0000,0.0000,,0.0018
goal,goal,bottleneck,classic_bottleneck_medium,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,2.6667,1.0000,1.0000,0.0000,,'-0.2738
goal,goal,cross_trap,classic_cross_trap_high,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,4.6667,1.0000,1.0000,0.3926,,'-0.3641
goal,goal,cross_trap,classic_cross_trap_low,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,12.6667,1.0000,1.0000,0.0205,,'-0.3410
goal,goal,cross_trap,classic_cross_trap_medium,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,4.6667,1.0000,1.0000,0.1747,,'-0.3324
goal,goal,doorway,classic_doorway_high,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,9.3333,1.0000,1.0000,0.0172,,'-0.4278
goal,goal,doorway,classic_doorway_low,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,7.6667,1.0000,1.0000,0.0342,,'-0.3832
goal,goal,doorway,classic_doorway_medium,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,7.3333,1.0000,1.0000,0.0068,,'-0.3420
goal,goal,group_crossing,classic_group_crossing_high,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,22.6667,0.3367,1.0000,0.0364,,'-0.1583
goal,goal,group_crossing,classic_group_crossing_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3367,1.0000,0.0129,,0.1333
goal,goal,group_crossing,classic_group_crossing_medium,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,14.6667,0.5578,1.0000,0.0042,,'-0.1896
goal,goal,head_on_corridor,classic_head_on_corridor_low,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,7.0000,0.6672,1.0000,0.0108,,'-0.0840
goal,goal,head_on_corridor,classic_head_on_corridor_medium,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,6.6667,1.0000,1.0000,0.0097,,'-0.3074
goal,goal,merging,classic_merging_low,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,44.6667,1.0000,0.9856,0.0040,,'-0.5949
goal,goal,merging,classic_merging_medium,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,46.3333,1.0000,0.9856,0.0099,,'-0.6595
goal,goal,overtaking,classic_overtaking_low,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,0.0000,0.8817,0.9989,0.0086,,'-0.1708
goal,goal,overtaking,classic_overtaking_medium,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,5.3333,0.8817,0.9989,0.0050,,'-0.2485
goal,goal,bottleneck,classic_realworld_double_bottleneck_high,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,52.3333,1.0000,1.0000,0.0226,,'-0.5587
goal,goal,station_platform,classic_station_platform_medium,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,11.0000,1.0000,1.0000,0.0140,,'-0.4876
goal,goal,t_intersection,classic_t_intersection_low,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0310,,'-0.2995
goal,goal,t_intersection,classic_t_intersection_medium,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0211,,'-0.2977
goal,goal,crossing,classic_urban_crossing_medium,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,19.6667,0.7067,1.0000,0.0082,,'-0.2469
goal,goal,accompanying_peer,francis2023_accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0031,,0.1391
goal,goal,blind_corner,francis2023_blind_corner,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,6.0000,1.0000,1.0000,0.0000,,'-0.3776
goal,goal,circular_crossing,francis2023_circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4806,1.0000,0.2359,,'-0.0189
goal,goal,crowd_navigation,francis2023_crowd_navigation,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,18.6667,1.0000,1.0000,0.0584,,'-0.5026
goal,goal,down_path,francis2023_down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0000,,0.1396
goal,goal,entering_elevator,francis2023_entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1861,1.0000,0.0000,,0.1699
goal,goal,entering_room,francis2023_entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2861,1.0000,0.0000,,0.1633
goal,goal,exiting_elevator,francis2023_exiting_elevator,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,10.3333,1.0000,1.0000,0.0000,,'-0.3716
goal,goal,exiting_room,francis2023_exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2706,1.0000,0.0000,,0.1648
goal,goal,following_human,francis2023_following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,0.5356,1.0000,0.0031,,0.0461
goal,goal,frontal_approach,francis2023_frontal_approach,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0000,,'-0.2731
goal,goal,intersection_no_gesture,francis2023_intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
goal,goal,intersection_proceed,francis2023_intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
goal,goal,intersection_wait,francis2023_intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
goal,goal,join_group,francis2023_join_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0097,,'-0.2822
goal,goal,leading_human,francis2023_leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0031,,0.1391
goal,goal,leave_group,francis2023_leave_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,7.3333,1.0000,1.0000,0.0000,,'-0.3347
goal,goal,narrow_doorway,francis2023_narrow_doorway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2006
goal,goal,narrow_hallway,francis2023_narrow_hallway,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0138,,'-0.2770
goal,goal,parallel_traffic,francis2023_parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,38.6667,0.5528,1.0000,0.0338,,'-0.1428
goal,goal,pedestrian_obstruction,francis2023_pedestrian_obstruction,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,8.0000,1.0000,1.0000,0.0160,,'-0.3252
goal,goal,pedestrian_overtaking,francis2023_pedestrian_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5528,1.0000,0.0170,,0.1283
goal,goal,perpendicular_traffic,francis2023_perpendicular_traffic,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,2.3333,0.5900,1.0000,0.0041,,'-0.0072
goal,goal,robot_crowding,francis2023_robot_crowding,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,10.3333,1.0000,1.0000,0.1758,,'-0.4638
goal,goal,robot_overtaking,francis2023_robot_overtaking,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,8.3333,1.0000,1.0000,0.0528,,'-0.3427
orca,orca,bottleneck,classic_bottleneck_high,,,,,3,0.6667,0.3333,0.0000,0.3333,0.3333,44.0000,0.6022,1.0000,0.0000,,'-0.6646
orca,orca,bottleneck,classic_bottleneck_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2006,1.0000,0.0000,,0.1358
orca,orca,bottleneck,classic_bottleneck_medium,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,7.3333,0.7811,1.0000,0.0000,,'-0.9044
orca,orca,cross_trap,classic_cross_trap_high,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,4.6667,1.0000,0.9901,0.3897,,'-0.4700
orca,orca,cross_trap,classic_cross_trap_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.3978,0.9548,0.0079,,0.0127
orca,orca,cross_trap,classic_cross_trap_medium,,,,,3,0.3333,0.6667,0.3333,0.3333,0.6667,9.0000,0.8039,0.9728,0.1707,,'-0.3908
orca,orca,doorway,classic_doorway_high,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,14.6667,0.3867,0.9938,0.0035,,'-0.5857
orca,orca,doorway,classic_doorway_low,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,14.0000,0.5972,0.9872,0.0514,,'-0.6581
orca,orca,doorway,classic_doorway_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,9.6667,0.3189,1.0000,0.0034,,'-0.4365
orca,orca,group_crossing,classic_group_crossing_high,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,11.6667,0.4656,1.0000,0.0352,,'-0.2777
orca,orca,group_crossing,classic_group_crossing_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1794,1.0000,0.0242,,0.1180
orca,orca,group_crossing,classic_group_crossing_medium,,,,,3,0.6667,0.3333,0.0000,0.3333,0.3333,4.3333,0.4533,1.0000,0.0161,,'-0.0777
orca,orca,head_on_corridor,classic_head_on_corridor_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.2678,1.0000,0.0194,,0.1193
orca,orca,head_on_corridor,classic_head_on_corridor_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.2711,1.0000,0.0103,,0.0281
orca,orca,merging,classic_merging_low,,,,,3,0.3333,0.6667,0.3333,0.3333,0.6667,57.6667,0.9267,0.7922,0.0187,,'-0.5564
orca,orca,merging,classic_merging_medium,,,,,3,0.3333,0.6667,0.6667,0.0000,0.6667,122.3333,0.9811,0.7352,0.0176,,'-0.7050
orca,orca,overtaking,classic_overtaking_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.3994,0.9447,0.0146,,'-0.0619
orca,orca,overtaking,classic_overtaking_medium,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,7.3333,1.0000,0.8557,0.0089,,'-0.8013
orca,orca,bottleneck,classic_realworld_double_bottleneck_high,,,,,3,0.0000,1.0000,0.3333,0.6667,1.0000,49.6667,1.0000,0.9862,0.0023,,'-0.7421
orca,orca,station_platform,classic_station_platform_medium,,,,,3,0.3333,0.6667,0.3333,0.3333,0.6667,39.0000,0.9400,0.9000,0.0121,,'-0.5901
orca,orca,t_intersection,classic_t_intersection_low,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.2700,0.9522,0.0318,,'-0.0043
orca,orca,t_intersection,classic_t_intersection_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.6667,0.2639,0.9535,0.0358,,'-0.0357
orca,orca,crossing,classic_urban_crossing_medium,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0065,,0.1535
orca,orca,accompanying_peer,francis2023_accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2850,1.0000,0.0058,,0.1575
orca,orca,blind_corner,francis2023_blind_corner,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,5.3333,0.8217,0.9766,0.0000,,'-0.3122
orca,orca,circular_crossing,francis2023_circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4217,1.0000,0.2437,,'-0.0118
orca,orca,crowd_navigation,francis2023_crowd_navigation,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,18.6667,0.4822,0.9940,0.0680,,'-0.2948
orca,orca,down_path,francis2023_down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0000,,0.1604
orca,orca,entering_elevator,francis2023_entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1950,1.0000,0.0000,,'-0.0313
orca,orca,entering_room,francis2023_entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.1666
orca,orca,exiting_elevator,francis2023_exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.1944,1.0000,0.0000,,'-0.1944
orca,orca,exiting_room,francis2023_exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1494,1.0000,0.0000,,0.1642
orca,orca,following_human,francis2023_following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.2878,1.0000,0.0058,,0.0398
orca,orca,frontal_approach,francis2023_frontal_approach,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.2928,1.0000,0.0000,,0.0236
orca,orca,intersection_no_gesture,francis2023_intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,intersection_proceed,francis2023_intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,intersection_wait,francis2023_intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
