episode_id,scenario_id,planner_key,kinematics,algo,seed,repeat_index,success,collision,near_miss,time_to_goal,snqi
classic_bottleneck_high--111--5ee7cc7fcce728ee,classic_bottleneck_high,goal,differential_drive,goal,111,0,0.0,1.0,4.0,1.0,-0.258462283740463
classic_bottleneck_high--112--2d3a7cb2eb23cab0,classic_bottleneck_high,goal,differential_drive,goal,112,0,0.0,1.0,4.0,1.0,-0.258462283740463
classic_bottleneck_high--113--1636d0d28f527bd4,classic_bottleneck_high,goal,differential_drive,goal,113,0,0.0,1.0,0.0,1.0,-0.3043926398960986
classic_bottleneck_high--111--c4c9615d91fe5fc8,classic_bottleneck_high,orca,differential_drive,orca,111,0,1.0,0.0,94.0,0.395,-0.4017893238287725
classic_bottleneck_high--112--6953d32efba447e6,classic_bottleneck_high,orca,differential_drive,orca,112,0,1.0,0.0,38.0,0.4116666666666667,-1.1568715362906052
classic_bottleneck_high--113--eb55fd871144ac56,classic_bottleneck_high,orca,differential_drive,orca,113,0,0.0,1.0,0.0,1.0,-0.4351546601331399
classic_bottleneck_high--111--9f1ab6341251f4a6,classic_bottleneck_high,ppo,differential_drive,ppo,111,0,0.0,1.0,13.0,1.0,-0.6685723867888604
classic_bottleneck_high--112--563e2668e8bd823e,classic_bottleneck_high,ppo,differential_drive,ppo,112,0,0.0,1.0,11.0,1.0,-0.5958215121061199
classic_bottleneck_high--113--571d800519ee3216,classic_bottleneck_high,ppo,differential_drive,ppo,113,0,0.0,1.0,6.0,1.0,-0.4963979552720063
classic_bottleneck_high--111--402f0db1ced70056,classic_bottleneck_high,prediction_planner,differential_drive,prediction_planner,111,0,0.0,1.0,4.0,1.0,-0.258462283740463
classic_bottleneck_high--112--eb592fba5d144060,classic_bottleneck_high,prediction_planner,differential_drive,prediction_planner,112,0,0.0,1.0,4.0,1.0,-0.258462283740463
classic_bottleneck_high--113--412451b03a1ff2b9,classic_bottleneck_high,prediction_planner,differential_drive,prediction_planner,113,0,0.0,1.0,0.0,1.0,-0.21351402792331256
classic_bottleneck_high--111--370036442e691106,classic_bottleneck_high,sacadrl,differential_drive,sacadrl,111,0,0.0,1.0,0.0,1.0,-0.37969530360752457
classic_bottleneck_high--112--569698c2146010f3,classic_bottleneck_high,sacadrl,differential_drive,sacadrl,112,0,0.0,1.0,0.0,1.0,-0.38179035779734993
classic_bottleneck_high--113--822d69830734798f,classic_bottleneck_high,sacadrl,differential_drive,sacadrl,113,0,0.0,1.0,0.0,1.0,-0.37745160410212975
classic_bottleneck_high--111--f22be4d6ce10023f,classic_bottleneck_high,social_force,differential_drive,social_force,111,0,0.0,1.0,4.0,1.0,-1.049771828120147
classic_bottleneck_high--112--526b4b9dab31fff6,classic_bottleneck_high,social_force,differential_drive,social_force,112,0,0.0,1.0,4.0,1.0,-1.044056490079105
classic_bottleneck_high--113--50fc10505db139e7,classic_bottleneck_high,social_force,differential_drive,social_force,113,0,0.0,1.0,3.0,1.0,-1.024006175396213
classic_bottleneck_high--111--809c23b70ce9b4a4,classic_bottleneck_high,socnav_sampling,differential_drive,socnav_sampling,111,0,0.0,1.0,3.0,1.0,-0.2437833169156323
classic_bottleneck_high--112--92363413427a9960,classic_bottleneck_high,socnav_sampling,differential_drive,socnav_sampling,112,0,0.0,1.0,3.0,1.0,-0.2437833169156323
classic_bottleneck_high--113--373fc65332912b03,classic_bottleneck_high,socnav_sampling,differential_drive,socnav_sampling,113,0,0.0,1.0,0.0,1.0,-0.2842835041647653
classic_bottleneck_low--111--3b2ce01c891fbf73,classic_bottleneck_low,goal,differential_drive,goal,111,0,1.0,0.0,0.0,0.3933333333333333,0.15312680187245178
classic_bottleneck_low--112--070bfc01003faad8,classic_bottleneck_low,goal,differential_drive,goal,112,0,1.0,0.0,0.0,0.3566666666666667,0.15660687155567748
classic_bottleneck_low--113--f4cbad738a0dcae5,classic_bottleneck_low,goal,differential_drive,goal,113,0,0.0,1.0,0.0,1.0,-0.3043926398960986
classic_bottleneck_low--111--8d8ae1f78dfd0de8,classic_bottleneck_low,orca,differential_drive,orca,111,0,1.0,0.0,0.0,0.21,0.17052715028858023
