planner_key,algo,scenario_family,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0031,,0.1391
goal,goal,blind_corner,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,6.0000,1.0000,1.0000,0.0000,,'-0.3776
goal,goal,bottleneck,,,,,12,0.1667,0.8333,0.5833,0.2500,0.8333,14.4167,0.8958,1.0000,0.0057,,'-0.2761
goal,goal,circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4806,1.0000,0.2359,,'-0.0189
goal,goal,cross_trap,,,,,9,0.0000,1.0000,0.5556,0.4444,1.0000,7.3333,1.0000,1.0000,0.1959,,'-0.3459
goal,goal,crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,19.6667,0.7067,1.0000,0.0082,,'-0.2469
goal,goal,crowd_navigation,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,18.6667,1.0000,1.0000,0.0584,,'-0.5026
goal,goal,doorway,,,,,9,0.0000,1.0000,0.4444,0.5556,1.0000,8.1111,1.0000,1.0000,0.0194,,'-0.3843
goal,goal,down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0000,,0.1396
goal,goal,entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1861,1.0000,0.0000,,0.1699
goal,goal,entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2861,1.0000,0.0000,,0.1633
goal,goal,exiting_elevator,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,10.3333,1.0000,1.0000,0.0000,,'-0.3716
goal,goal,exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2706,1.0000,0.0000,,0.1648
goal,goal,following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,0.5356,1.0000,0.0031,,0.0461
goal,goal,frontal_approach,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0000,,'-0.2731
goal,goal,group_crossing,,,,,9,0.8889,0.1111,0.1111,0.0000,0.1111,12.7778,0.4104,1.0000,0.0178,,'-0.0715
goal,goal,head_on_corridor,,,,,6,0.3333,0.6667,0.6667,0.0000,0.6667,6.8333,0.8336,1.0000,0.0103,,'-0.1957
goal,goal,intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
goal,goal,intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
goal,goal,intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
goal,goal,join_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0097,,'-0.2822
goal,goal,leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0031,,0.1391
goal,goal,leave_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,7.3333,1.0000,1.0000,0.0000,,'-0.3347
goal,goal,merging,,,,,6,0.0000,1.0000,0.0000,1.0000,1.0000,45.5000,1.0000,0.9856,0.0069,,'-0.6272
goal,goal,narrow_doorway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2006
goal,goal,narrow_hallway,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0138,,'-0.2770
goal,goal,overtaking,,,,,6,0.3333,0.6667,0.0000,0.6667,0.6667,2.6667,0.8817,0.9989,0.0068,,'-0.2097
goal,goal,parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,38.6667,0.5528,1.0000,0.0338,,'-0.1428
goal,goal,pedestrian_obstruction,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,8.0000,1.0000,1.0000,0.0160,,'-0.3252
goal,goal,pedestrian_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5528,1.0000,0.0170,,0.1283
goal,goal,perpendicular_traffic,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,2.3333,0.5900,1.0000,0.0041,,'-0.0072
goal,goal,robot_crowding,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,10.3333,1.0000,1.0000,0.1758,,'-0.4638
goal,goal,robot_overtaking,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,8.3333,1.0000,1.0000,0.0528,,'-0.3427
goal,goal,station_platform,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,11.0000,1.0000,1.0000,0.0140,,'-0.4876
goal,goal,t_intersection,,,,,6,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0260,,'-0.2986
orca,orca,accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2850,1.0000,0.0058,,0.1575
orca,orca,blind_corner,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,5.3333,0.8217,0.9766,0.0000,,'-0.3122
orca,orca,bottleneck,,,,,12,0.5000,0.5000,0.0833,0.4167,0.5000,25.2500,0.6460,0.9965,0.0006,,'-0.5438
orca,orca,circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4217,1.0000,0.2437,,'-0.0118
orca,orca,cross_trap,,,,,9,0.4444,0.5556,0.3333,0.2222,0.5556,7.2222,0.7339,0.9726,0.1895,,'-0.2827
orca,orca,crossing,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0065,,0.1535
orca,orca,crowd_navigation,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,18.6667,0.4822,0.9940,0.0680,,'-0.2948
orca,orca,doorway,,,,,9,0.8889,0.1111,0.1111,0.0000,0.1111,12.7778,0.4343,0.9937,0.0195,,'-0.5601
orca,orca,down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0000,,0.1604
orca,orca,entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1950,1.0000,0.0000,,'-0.0313
orca,orca,entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.1666
orca,orca,exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.1944,1.0000,0.0000,,'-0.1944
orca,orca,exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1494,1.0000,0.0000,,0.1642
