planner_key,structural_class,scenario_family,certification_model,evaluation_model,certification_gate_status,evaluation_gate_status,transfer_status,flip_type,failed_gate_ids,not_evaluable_gate_ids
goal,baseline_reactive,francis2023_blind_corner,social_force_default,social_force_default,pass,pass,stable_pass,,,
goal,baseline_reactive,francis2023_blind_corner,social_force_default,hsfm_total_force_v1,pass,pass,stable_pass,,,
goal,baseline_reactive,francis2023_blind_corner,hsfm_total_force_v1,social_force_default,pass,pass,stable_pass,,,
goal,baseline_reactive,francis2023_blind_corner,hsfm_total_force_v1,hsfm_total_force_v1,pass,pass,stable_pass,,,
ppo,learned_policy,francis2023_blind_corner,social_force_default,social_force_default,pass,pass,stable_pass,,,
ppo,learned_policy,francis2023_blind_corner,social_force_default,hsfm_total_force_v1,pass,pass,stable_pass,,,
ppo,learned_policy,francis2023_blind_corner,hsfm_total_force_v1,social_force_default,pass,pass,stable_pass,,,
ppo,learned_policy,francis2023_blind_corner,hsfm_total_force_v1,hsfm_total_force_v1,pass,pass,stable_pass,,,
prediction_planner,predictive,francis2023_blind_corner,social_force_default,social_force_default,fail,fail,stable_fail,,collision_rate_zero,
prediction_planner,predictive,francis2023_blind_corner,social_force_default,hsfm_total_force_v1,fail,fail,stable_fail,,collision_rate_zero,
prediction_planner,predictive,francis2023_blind_corner,hsfm_total_force_v1,social_force_default,fail,fail,stable_fail,,collision_rate_zero,
prediction_planner,predictive,francis2023_blind_corner,hsfm_total_force_v1,hsfm_total_force_v1,fail,fail,stable_fail,,collision_rate_zero,
guarded_ppo,constraint_first,francis2023_blind_corner,social_force_default,social_force_default,pass,pass,stable_pass,,,
guarded_ppo,constraint_first,francis2023_blind_corner,social_force_default,hsfm_total_force_v1,pass,pass,stable_pass,,,
guarded_ppo,constraint_first,francis2023_blind_corner,hsfm_total_force_v1,social_force_default,pass,pass,stable_pass,,,
guarded_ppo,constraint_first,francis2023_blind_corner,hsfm_total_force_v1,hsfm_total_force_v1,pass,pass,stable_pass,,,
