planner_key,structural_class,scenario_family,metric,certification_model,evaluation_model,certification_value,evaluation_value,delta
goal,baseline_reactive,francis2023_blind_corner,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
goal,baseline_reactive,francis2023_blind_corner,jerk_mean,social_force_default,hsfm_total_force_v1,0.0290733908858,0.0290733908858,0
goal,baseline_reactive,francis2023_blind_corner,min_clearance_m,social_force_default,hsfm_total_force_v1,24.1214633051,24.1214633051,0
goal,baseline_reactive,francis2023_blind_corner,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
goal,baseline_reactive,francis2023_blind_corner,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
goal,baseline_reactive,francis2023_blind_corner,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,francis2023_blind_corner,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,francis2023_blind_corner,jerk_mean,social_force_default,hsfm_total_force_v1,0.138942950912,0.138942950912,0
ppo,learned_policy,francis2023_blind_corner,min_clearance_m,social_force_default,hsfm_total_force_v1,19.8766165182,19.8766165182,0
ppo,learned_policy,francis2023_blind_corner,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,francis2023_blind_corner,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,francis2023_blind_corner,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
prediction_planner,predictive,francis2023_blind_corner,collision_rate,social_force_default,hsfm_total_force_v1,1,1,0
prediction_planner,predictive,francis2023_blind_corner,jerk_mean,social_force_default,hsfm_total_force_v1,0.0704729013125,0.0704729013125,0
prediction_planner,predictive,francis2023_blind_corner,min_clearance_m,social_force_default,hsfm_total_force_v1,24.1765022681,24.1765022681,0
prediction_planner,predictive,francis2023_blind_corner,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
prediction_planner,predictive,francis2023_blind_corner,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
prediction_planner,predictive,francis2023_blind_corner,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,francis2023_blind_corner,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,francis2023_blind_corner,jerk_mean,social_force_default,hsfm_total_force_v1,0.156733933667,0.156733933667,0
guarded_ppo,constraint_first,francis2023_blind_corner,min_clearance_m,social_force_default,hsfm_total_force_v1,19.8853869032,19.8853869032,0
guarded_ppo,constraint_first,francis2023_blind_corner,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,francis2023_blind_corner,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,francis2023_blind_corner,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
