planner_key,structural_class,scenario_family,metric,certification_model,evaluation_model,certification_value,evaluation_value,delta
goal,baseline_reactive,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,1,1,0
goal,baseline_reactive,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,0.0125527842858,0.0125527842858,0
goal,baseline_reactive,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,-0.0242786217484,-0.0242786217484,0
goal,baseline_reactive,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,6,6,0
goal,baseline_reactive,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0.10558655436,0.10558655436,0
goal,baseline_reactive,issue4207_interacting_smoke,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,20.5031908133,20.5031908133,0
ppo,learned_policy,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
ppo,learned_policy,issue4207_interacting_smoke,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
prediction_planner,predictive,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,1,1,0
prediction_planner,predictive,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,0.0704415070158,0.0704415070158,0
prediction_planner,predictive,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,23.50652457,23.50652457,0
prediction_planner,predictive,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
prediction_planner,predictive,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
prediction_planner,predictive,issue4207_interacting_smoke,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,20.5031908133,20.5031908133,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,success_rate,social_force_default,hsfm_total_force_v1,0,0,0
