planner_key,structural_class,scenario_family,metric,certification_model,evaluation_model,certification_value,evaluation_value,delta
goal,baseline_reactive,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
goal,baseline_reactive,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,0.8,0.9,0.1
goal,baseline_reactive,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,1.2,0.95,-0.25
goal,baseline_reactive,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0.02,0.02
goal,baseline_reactive,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0.45,0.52,0.07
ppo,learned_policy,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,0,0.33,0.33
ppo,learned_policy,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,1.1,1.4,0.3
ppo,learned_policy,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,0.9,0.3,-0.6
ppo,learned_policy,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0.1,0.1
ppo,learned_policy,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0.55,0.7,0.15
prediction_planner,predictive,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,0.33,0.66,0.33
prediction_planner,predictive,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,1.6,1.8,0.2
prediction_planner,predictive,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,0.4,0.2,-0.2
prediction_planner,predictive,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0.08,0.12,0.04
prediction_planner,predictive,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0.6,0.75,0.15
guarded_ppo,constraint_first,issue4207_interacting_smoke,collision_rate,social_force_default,hsfm_total_force_v1,0,0,0
guarded_ppo,constraint_first,issue4207_interacting_smoke,jerk_mean,social_force_default,hsfm_total_force_v1,0.7,0.75,0.05
guarded_ppo,constraint_first,issue4207_interacting_smoke,min_clearance_m,social_force_default,hsfm_total_force_v1,1.5,1.3,-0.2
guarded_ppo,constraint_first,issue4207_interacting_smoke,near_miss_rate,social_force_default,hsfm_total_force_v1,0,0.01,0.01
guarded_ppo,constraint_first,issue4207_interacting_smoke,robot_ped_within_5m_frac,social_force_default,hsfm_total_force_v1,0.4,0.48,0.08
