step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,30.56108684172031,14.776886863752104,-2.7863800525665283,-0.039320940862843656,-0.014642513620373165,0.04195878448504034,0.8391756897010998,-0.5052444717536702,3,5.053285430817839,6,"[{""id"":""0"",""x_m"":8.742849051253755,""y_m"":19.948108485378356},{""id"":""1"",""x_m"":13.368994616933874,""y_m"":17.945222786332934},{""id"":""2"",""x_m"":20.495809551063832,""y_m"":14.86886320056243},{""id"":""3"",""x_m"":26.56273605282395,""y_m"":11.68675990612598},{""id"":""4"",""x_m"":30.12359622537021,""y_m"":9.675536355268159},{""id"":""5"",""x_m"":34.82087187870637,""y_m"":6.3793204127355}]"
1,0.2,30.54965997502699,14.772695587711206,-2.7936959266662598,-0.11426866693319937,-0.04191276040897307,0.1217128083966122,0.8398223575004595,-0.5032129049458884,3,5.013641382618621,6,"[{""id"":""0"",""x_m"":8.793740553002381,""y_m"":19.924242610161773},{""id"":""1"",""x_m"":13.418276963424637,""y_m"":17.92158677462873},{""id"":""2"",""x_m"":20.487526181946926,""y_m"":14.804393162590726},{""id"":""3"",""x_m"":26.61886523503012,""y_m"":11.660549603744693},{""id"":""4"",""x_m"":30.17487930775513,""y_m"":9.652232825054435},{""id"":""5"",""x_m"":34.87545880545917,""y_m"":6.374500546952631}]"
2,0.30000000000000004,30.531420217693686,14.766200317100699,-2.8052828311920166,-0.1823975733330485,-0.06495270610507475,0.19361748058519154,0.8416967030639411,-0.49732447469336627,3,4.9662730400609245,6,"[{""id"":""0"",""x_m"":8.846539277932118,""y_m"":19.89927946687779},{""id"":""1"",""x_m"":13.46896887726608,""y_m"":17.897099842358383},{""id"":""2"",""x_m"":20.47123251102991,""y_m"":14.741468475161641},{""id"":""3"",""x_m"":26.67792393214257,""y_m"":11.633400565172765},{""id"":""4"",""x_m"":30.2282676877582,""y_m"":9.62816878112074},{""id"":""5"",""x_m"":34.93178695176715,""y_m"":6.370065177736346}]"
3,0.4,30.5069465805837,14.757854868191403,-2.8206377029418945,-0.24473637109984736,-0.08345448909295783,0.2585740572619164,0.8446697916413779,-0.48798424146001906,3,4.913545683624263,6,"[{""id"":""0"",""x_m"":8.900854145088628,""y_m"":19.87344535985708},{""id"":""1"",""x_m"":13.520776918351412,""y_m"":17.871938238131946},{""id"":""2"",""x_m"":20.451651266673764,""y_m"":14.679488035751575},{""id"":""3"",""x_m"":26.737090521543927,""y_m"":11.60648746987306},{""id"":""4"",""x_m"":30.283324980312194,""y_m"":9.603498665025974},{""id"":""5"",""x_m"":34.98949717731123,""y_m"":6.365931587318069}]"
4,0.5,30.476737206327186,14.74812344034338,-2.8392748832702637,-0.3020937425651482,-0.09731427848024055,0.31738099831771255,0.8486171439981789,-0.4755832682947627,3,4.856347270691899,6,"[{""id"":""0"",""x_m"":8.956372205338948,""y_m"":19.846921608224793},{""id"":""1"",""x_m"":13.573465927304323,""y_m"":17.846243326189484},{""id"":""2"",""x_m"":20.431049886902112,""y_m"":14.617839165920051},{""id"":""3"",""x_m"":26.796328712683415,""y_m"":11.579732344933685},{""id"":""4"",""x_m"":30.339702956990426,""y_m"":9.578349363768487},{""id"":""5"",""x_m"":35.04830150622843,""y_m"":6.362031196867825}]"
5,0.6000000000000001,30.441227733212383,14.737465410346976,-2.8607287406921387,-0.3550947311480357,-0.10658029996402973,0.3707446944050829,0.8534187743842835,-0.460498501548523,3,4.795515372977665,6,"[{""id"":""0"",""x_m"":9.012843066636176,""y_m"":19.81985346885305},{""id"":""1"",""x_m"":13.626847390792117,""y_m"":17.820128509853326},{""id"":""2"",""x_m"":20.410582341787403,""y_m"":14.55614573355503},{""id"":""3"",""x_m"":26.855612008522247,""y_m"":11.553077310991004},{""id"":""4"",""x_m"":30.39712297095118,""y_m"":9.552822020474936},{""id"":""5"",""x_m"":35.107968955863235,""y_m"":6.358307057311185}]"
6,0.7000000000000001,30.40080615247804,14.726324060043032,-2.8845551013946533,-0.40421580734342655,-0.11141350303944364,0.4192891455377998,0.8589596370803839,-0.44309136800790405,3,4.731850871917207,6,"[{""id"":""0"",""x_m"":9.070066421569587,""y_m"":19.79235729024681},{""id"":""1"",""x_m"":13.680770127715352,""y_m"":17.79368478129278},{""id"":""2"",""x_m"":20.390874828901698,""y_m"":14.49420532722879},{""id"":""3"",""x_m"":26.9149204269887,""y_m"":11.52647822267941},{""id"":""4"",""x_m"":30.45536283422954,""y_m"":9.526998576686866},{""id"":""5"",""x_m"":35.16831418523513,""y_m"":6.354711780505448}]"
7,0.8,30.355824453019057,14.715118300049866,-2.9103329181671143,-0.44981699458983115,-0.11205759993165643,0.46356470349269624,0.8651298130935133,-0.4237071883737009,3,4.666124363352814,6,"[{""id"":""0"",""x_m"":9.127882059455525,""y_m"":19.764526248042017},{""id"":""1"",""x_m"":13.735112833227172,""y_m"":17.766985170208752},{""id"":""2"",""x_m"":20.372288449104335,""y_m"":14.431919321689598},{""id"":""3"",""x_m"":26.974239986098468,""y_m"":11.49990398878598},{""id"":""4"",""x_m"":30.514243989234863,""y_m"":9.500942862071327},{""id"":""5"",""x_m"":35.22918840207958,""y_m"":6.35120583391646}]"
8,0.9,30.306607431871146,14.704236704049018,-2.9376649856567383,-0.492170211479106,-0.10881596000848148,0.5040559792522606,0.8718251090831369,-0.40267329567909016,3,4.599085066745534,6,"[{""id"":""0"",""x_m"":9.186161868224112,""y_m"":19.73643494328009},{""id"":""1"",""x_m"":13.789778109910138,""y_m"":17.740088309950167},{""id"":""2"",""x_m"":20.35504264463601,""y_m"":14.369248896222395},{""id"":""3"",""x_m"":27.033560438412735,""y_m"":11.473331748812075},{""id"":""4"",""x_m"":30.573623716652282,""y_m"":9.474705833441636},{""id"":""5"",""x_m"":35.290472078961805,""y_m"":6.347756134974231}]"
9,1.0,30.25345908385666,14.694033355552461,-2.9661784172058105,-0.5314834801448498,-0.10203348496556686,0.541188988913392,0.8789470426435024,-0.3802990815264913,3,4.531465420529232,6,"[{""id"":""0"",""x_m"":9.244704705431472,""y_m"":19.70819071888443},{""id"":""1"",""x_m"":13.844687689389668,""y_m"":17.713041296208345},{""id"":""2"",""x_m"":20.339275650013402,""y_m"":14.306190178501762},{""id"":""3"",""x_m"":27.092874313389707,""y_m"":11.446744830314133},{""id"":""4"",""x_m"":30.633089296104963,""y_m"":9.44845997928604},{""id"":""5"",""x_m"":35.35206911825196,""y_m"":6.34433489227857}]"
