# AI-GENERATED NEEDS-REVIEW
episode_id,scenario_id,planner_key,seed,source_run,source_file,mechanism_schema_version,mechanism_label,mechanism_confidence,mechanism_evidence_mode,mechanism_evidence_uri,mechanism_case_id,mechanism_caveat
classic_bottleneck_low--21--d336e5b55c5029f3,classic_bottleneck_low,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_low--21--d336e5b55c5029f3,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_bottleneck_medium--20--2244fc636b4c9c06,classic_bottleneck_medium,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_medium--20--2244fc636b4c9c06,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_medium--21--9df8dde8352f760f,classic_bottleneck_medium,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_medium--21--9df8dde8352f760f,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_bottleneck_medium--22--980cac7b40a0049d,classic_bottleneck_medium,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_medium--22--980cac7b40a0049d,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_medium--23--4f8497445af40320,classic_bottleneck_medium,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_medium--23--4f8497445af40320,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_medium--24--6a7173debb793463,classic_bottleneck_medium,goal,24,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_medium--24--6a7173debb793463,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_high--20--a85631927736ffdb,classic_bottleneck_high,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_high--20--a85631927736ffdb,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_high--21--90f8766c5b2cc31a,classic_bottleneck_high,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_high--21--90f8766c5b2cc31a,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_bottleneck_high--22--a1974e6da24ce1d3,classic_bottleneck_high,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_high--22--a1974e6da24ce1d3,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_high--23--efbf910106ff5d96,classic_bottleneck_high,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_high--23--efbf910106ff5d96,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_bottleneck_high--24--6c41c3c004848f2f,classic_bottleneck_high,goal,24,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_bottleneck_high--24--6c41c3c004848f2f,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_realworld_double_bottleneck_high--20--998489210b17fbef,classic_realworld_double_bottleneck_high,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_realworld_double_bottleneck_high--20--998489210b17fbef,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_realworld_double_bottleneck_high--22--086b9aa696ac127d,classic_realworld_double_bottleneck_high,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_realworld_double_bottleneck_high--22--086b9aa696ac127d,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_realworld_double_bottleneck_high--23--b512d38c20804a02,classic_realworld_double_bottleneck_high,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_realworld_double_bottleneck_high--23--b512d38c20804a02,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_station_platform_medium--20--295338d9d3df0def,classic_station_platform_medium,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_station_platform_medium--20--295338d9d3df0def,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_station_platform_medium--21--901552f2bf9323cb,classic_station_platform_medium,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_station_platform_medium--21--901552f2bf9323cb,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_station_platform_medium--22--708f761a03569157,classic_station_platform_medium,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_station_platform_medium--22--708f761a03569157,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_station_platform_medium--23--56f3fc85c93e0e7b,classic_station_platform_medium,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_station_platform_medium--23--56f3fc85c93e0e7b,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_station_platform_medium--24--a854881ffe28e67b,classic_station_platform_medium,goal,24,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_station_platform_medium--24--a854881ffe28e67b,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_cross_trap_low--20--546dcd43bddb0733,classic_cross_trap_low,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_low--20--546dcd43bddb0733,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_low--21--140b3bf2889f3d12,classic_cross_trap_low,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_low--21--140b3bf2889f3d12,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_low--22--6f87540e8e2c96ac,classic_cross_trap_low,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_low--22--6f87540e8e2c96ac,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_low--23--dd3c24dc7b881e9f,classic_cross_trap_low,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_low--23--dd3c24dc7b881e9f,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_low--24--2d1634fe4d11eeee,classic_cross_trap_low,goal,24,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_low--24--2d1634fe4d11eeee,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_medium--20--ff34e93264d5e20b,classic_cross_trap_medium,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_medium--20--ff34e93264d5e20b,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_cross_trap_medium--21--223afedcc1a86fb3,classic_cross_trap_medium,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_medium--21--223afedcc1a86fb3,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_medium--22--5c874fdca1e3fa30,classic_cross_trap_medium,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_medium--22--5c874fdca1e3fa30,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_medium--23--658856f4782ddb5e,classic_cross_trap_medium,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_medium--23--658856f4782ddb5e,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_medium--24--bde404c913703017,classic_cross_trap_medium,goal,24,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_medium--24--bde404c913703017,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_high--20--5635f24e396406ee,classic_cross_trap_high,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_high--20--5635f24e396406ee,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_cross_trap_high--21--27bbb21aa097a83f,classic_cross_trap_high,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_high--21--27bbb21aa097a83f,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_high--22--fea3ca2360a9d6d3,classic_cross_trap_high,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_high--22--fea3ca2360a9d6d3,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_high--23--adf4966ddc20483d,classic_cross_trap_high,goal,23,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_high--23--adf4966ddc20483d,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_cross_trap_high--24--ac0a1a222d6335a3,classic_cross_trap_high,goal,24,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_cross_trap_high--24--ac0a1a222d6335a3,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_doorway_low--20--94c3cfe16e614805,classic_doorway_low,goal,20,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_doorway_low--20--94c3cfe16e614805,collision with late_evasive and clearance_breach surrogate events indicates insufficient clearance response
classic_doorway_low--21--8772ccde1b73c5a3,classic_doorway_low,goal,21,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_doorway_low--21--8772ccde1b73c5a3,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
classic_doorway_low--22--21987aaf28e5bf70,classic_doorway_low,goal,22,goal__differential_drive,output/issue4206-trace-rerun/13334/runs/goal__differential_drive/episodes.jsonl,failure_mechanism_taxonomy.v1,proxemic_or_clearance_tradeoff,supported_hypothesis,paired_trace,event_ledger.collision_events(1.0),classic_doorway_low--22--21987aaf28e5bf70,collision with 1.0 event(s); clearance tradeoff derived from collision evidence
