# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.752296123516551,20.52023290671578,0.023678084835410118,0.04629410172878323,0.0011232257201143625,0.04630772603889395,0.9261545207779993,-0.23199241502465506,3,7.197112712273894,4,"[{""id"":""0"",""x_m"":21.08805351745245,""y_m"":27.37052850294156},{""id"":""1"",""x_m"":19.601621989076648,""y_m"":27.73658195013104},{""id"":""2"",""x_m"":20.747083223504106,""y_m"":29.15502987780151},{""id"":""3"",""x_m"":18.67788412803846,""y_m"":16.43540265395857}]"
1,0.2,12.765723213907076,20.520528321715776,0.020317649468779564,0.13427090390525365,0.0029541499999652387,0.13430339771486108,0.9263743648188687,-0.23130175460092417,3,7.251151989823565,4,"[{""id"":""0"",""x_m"":21.09299624308436,""y_m"":27.40950085309876},{""id"":""1"",""x_m"":19.641057430798327,""y_m"":27.758941322340153},{""id"":""2"",""x_m"":20.75213581411664,""y_m"":29.105001570622537},{""id"":""3"",""x_m"":18.733110812947455,""y_m"":16.401124187336467}]"
2,0.30000000000000004,12.787074122419991,20.520905288724666,0.014990248717367649,0.21350908512914657,0.0037696700889000567,0.21354236077477534,0.9270116918091734,-0.2292995328102485,3,7.298587164505034,4,"[{""id"":""0"",""x_m"":21.096160319565524,""y_m"":27.445765443726433},{""id"":""1"",""x_m"":19.670845349559713,""y_m"":27.77364436013355},{""id"":""2"",""x_m"":20.74659562761075,""y_m"":29.040238106126882},{""id"":""3"",""x_m"":18.789406356921642,""y_m"":16.368630930672197}]"
3,0.4,12.81556623765955,20.521231662004205,0.007918475195765495,0.284921152395583,0.003263732795382168,0.2849398445886196,0.9280227060174137,-0.22612333800096618,3,7.340036848171664,4,"[{""id"":""0"",""x_m"":21.097933598393084,""y_m"":27.47746874030622},{""id"":""1"",""x_m"":19.69175205268919,""y_m"":27.782190699891643},{""id"":""2"",""x_m"":20.735797802295025,""y_m"":28.97614124997581},{""id"":""3"",""x_m"":18.846220269862417,""y_m"":16.337052784805824}]"
4,0.5,12.850497530254849,20.52135797749718,-0.0006862811860628426,0.3493129259529937,0.001263154929738164,0.34931520980085906,0.9293642874047308,-0.22190863577037767,3,7.376065880758066,4,"[{""id"":""0"",""x_m"":21.0974897328568,""y_m"":27.504134914221833},{""id"":""1"",""x_m"":19.70593744198371,""y_m"":27.785850991191086},{""id"":""2"",""x_m"":20.72196260603604,""y_m"":28.91263072057733},{""id"":""3"",""x_m"":18.90320017501995,""y_m"":16.305775150492494}]"
5,0.6000000000000001,12.891237049733126,20.521127587015524,-0.01062401570379734,0.40739519478277586,-0.0023039048165429676,0.40740170926187774,0.9309961214172722,-0.21678207802469984,3,7.407171085980509,4,"[{""id"":""0"",""x_m"":21.094868259608347,""y_m"":27.525417404854238},{""id"":""1"",""x_m"":19.714971806345595,""y_m"":27.78542309081516},{""id"":""2"",""x_m"":20.70599519431912,""y_m"":28.84962245315898},{""id"":""3"",""x_m"":18.960105021453547,""y_m"":16.274361165511777}]"
6,0.7000000000000001,12.937216568281524,20.520384257715815,-0.02170622907578945,0.4597951854839799,-0.007433292997092167,0.4598552668384131,0.9328784486370986,-0.21086857265924097,3,7.433784873326514,4,"[{""id"":""0"",""x_m"":21.090315584073753,""y_m"":27.541181382965792},{""id"":""1"",""x_m"":19.719967128342,""y_m"":27.781455865619023},{""id"":""2"",""x_m"":20.68839394509147,""y_m"":28.78705092588318},{""id"":""3"",""x_m"":19.016758426801616,""y_m"":16.242495954662523}]"
7,0.8,12.987923298847917,20.518977743024596,-0.03375599905848503,0.5070673056639308,-0.014065146912187743,0.5072623392594207,0.9349735334600029,-0.20428666957095754,3,7.456283761885854,4,"[{""id"":""0"",""x_m"":21.084089370167224,""y_m"":27.5514757220913},{""id"":""1"",""x_m"":19.72172511553559,""y_m"":27.774350858878606},{""id"":""2"",""x_m"":20.669501067926895,""y_m"":28.724857202787963},{""id"":""3"",""x_m"":19.07302251932171,""y_m"":16.209948268218014}]"
8,0.9,13.042893595087346,20.51676773772153,-0.04660797491669655,0.5497029623942851,-0.022100053030662536,0.5501470341726936,0.9372450433242562,-0.19715051086886248,3,7.474997188744454,4,"[{""id"":""0"",""x_m"":21.076413464280023,""y_m"":27.556483662475266},{""id"":""1"",""x_m"":19.720835837855436,""y_m"":27.764413975511413},{""id"":""2"",""x_m"":20.649577774330847,""y_m"":28.66298586554457},{""id"":""3"",""x_m"":19.128782590868195,""y_m"":16.176544459735585}]"
9,1.0,13.10195596020074,20.51364644075624,-0.058988746255636215,0.5906236511339458,-0.031212969652898437,0.5914478394189513,0.9890651299461716,0.03435290742906627,3,7.490025022955674,4,"[{""id"":""0"",""x_m"":21.067476138717247,""y_m"":27.556479470784385},{""id"":""1"",""x_m"":19.717740600677004,""y_m"":27.75188611248911},{""id"":""2"",""x_m"":20.62883279843263,""y_m"":28.60138516769964},{""id"":""3"",""x_m"":19.18393765607015,""y_m"":16.142150873377542}]"
