step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,10.559451392370542,18.108017358865645,0.026790373027324677,0.04377096679640147,0.0011301639823102505,0.043785554751751075,0.8757110950348677,0.3904651107611796,0,8.618959498320764,2,"[{""id"":""0"",""x_m"":19.154498573924307,""y_m"":17.46643589049361},{""id"":""1"",""x_m"":20.461148103083456,""y_m"":22.155281134809474}]"
1,0.2,10.572146191390468,18.10839345358231,0.03244408220052719,0.1269479901992554,0.003760947166639994,0.12700368868352013,0.8762226931041949,0.3888578780249907,0,8.638028252819446,2,"[{""id"":""0"",""x_m"":19.18245137059362,""y_m"":17.416890150991225},{""id"":""1"",""x_m"":20.45186281335158,""y_m"":22.097359275485623}]"
2,0.30000000000000004,10.592332398656481,18.10913908519386,0.04139770194888115,0.20186207266013056,0.0074563161155083435,0.2019997352192775,0.8777056149779241,0.3841991415606354,0,8.654010987018152,2,"[{""id"":""0"",""x_m"":19.214400100372554,""y_m"":17.36626984336499},{""id"":""1"",""x_m"":20.441039999756185,""y_m"":22.036482764847538}]"
3,0.4,10.619270991860573,18.110415024289384,0.05326100438833237,0.2693859320409153,0.01275939095524592,0.2696879352865112,0.8800578568054864,0.37680935591569886,0,8.6666264355768,2,"[{""id"":""0"",""x_m"":19.249278757393324,""y_m"":17.314563442219555},{""id"":""1"",""x_m"":20.42912981412266,""y_m"":21.97320544681548}]"
4,0.5,10.652298644431607,18.112414280044586,0.06765701621770859,0.3302765257103424,0.019992557552015455,0.3308810749994099,0.8831808080252307,0.36699831530623106,0,8.67568580591278,2,"[{""id"":""0"",""x_m"":19.28617995199601,""y_m"":17.261757022504025},{""id"":""1"",""x_m"":20.416772270793977,""y_m"":21.909390941231877}]"
5,0.6000000000000001,10.690817407359887,18.11534504547584,0.08422373980283737,0.3851876292828038,0.029307654312553666,0.3863009815594711,0.8869794731750776,0.35506445677802434,0,8.680389020218536,2,"[{""id"":""0"",""x_m"":19.32372808478729,""y_m"":17.208699151043813},{""id"":""1"",""x_m"":20.404300736856573,""y_m"":21.845598615351342}]"
6,0.7000000000000001,10.734285835390416,18.119417705860556,0.10261557996273041,0.4346842803052908,0.04072660384714766,0.4365879977798876,0.891362814351911,0.3412937843387067,0,8.680556277875208,2,"[{""id"":""0"",""x_m"":19.36116479817492,""y_m"":17.155562605326836},{""id"":""1"",""x_m"":20.391878338129693,""y_m"":21.781796703076942}]"
7,0.8,10.782211572284426,18.12483512752454,0.12250450998544693,0.4792573689401003,0.05417421663985067,0.4823095182887529,0.8962435913853325,0.3259603710667003,0,8.676426934728402,2,"[{""id"":""0"",""x_m"":19.398151537997187,""y_m"":17.102111870277447},{""id"":""1"",""x_m"":20.379625328237907,""y_m"":21.717962043615238}]"
8,0.9,10.834145305309153,18.131785590677637,0.14358097314834595,0.5193373302472715,0.06950463153096109,0.5239677054863383,0.9015391891439851,0.30932376005175044,0,8.668269015013855,2,"[{""id"":""0"",""x_m"":19.434416359725752,""y_m"":17.048168727015348},{""id"":""1"",""x_m"":20.36762822162489,""y_m"":21.654078795162174}]"
9,1.0,10.889675934978664,18.14043784995798,0.16555455327033997,0.5553062966951039,0.08652259280342633,0.5620064432145403,0.9071709763927149,0.2916309786045601,0,8.656368913379929,2,"[{""id"":""0"",""x_m"":19.46973980704738,""y_m"":16.993604507335082},{""id"":""1"",""x_m"":20.355946986401456,""y_m"":21.59013703460106}]"
10,1.1,10.948426777742982,18.150937903232894,0.18815450370311737,0.5875084276431863,0.10500053274913768,0.5968176140408156,0.9130653265619793,0.2731133314151135,0,8.641028388354572,2,"[{""id"":""0"",""x_m"":19.503949322471733,""y_m"":16.93833508491698},{""id"":""1"",""x_m"":20.344620812024008,""y_m"":21.52613142723755}]"
11,1.2000000000000002,11.010052613750053,18.16340712631598,0.21112996339797974,0.6162583600707094,0.124692230830874,0.6287467843151328,0.919153307005873,0.2539873767773786,0,8.622585529995744,2,"[{""id"":""0"",""x_m"":19.536940841218332,""y_m"":16.882330087900705},{""id"":""1"",""x_m"":20.33367273391345,""y_m"":21.462060064011183}]"
12,1.3,11.074237394511167,18.177941491428516,0.23425008356571198,0.6418478076111356,0.14534365112535141,0.6580983095690712,0.9253707667029928,0.2344546510689165,0,8.601371853057845,2,"[{""id"":""0"",""x_m"":19.568630326867712,""y_m"":16.825578202475832},{""id"":""1"",""x_m"":20.323113332339286,""y_m"":21.397923498477976}]"
13,1.4000000000000001,11.140692445555192,18.19461163619753,0.25730395317077637,0.6645505104402538,0.16670144769012296,0.6851399518261833,0.9316586975776044,0.21470053362695607,0,8.57771041640783,2,"[{""id"":""0"",""x_m"":19.598950694675455,""y_m"":16.768083200119076},{""id"":""1"",""x_m"":20.312943714771595,""y_m"":21.333723974503673}]"
14,1.5,11.209155017522912,18.213463588154916,0.28010043501853943,0.6846257196771965,0.18851951957387314,0.7101070238378742,0.9379626463084156,0.19489609460563306,0,8.551914261638679,2,"[{""id"":""0"",""x_m"":19.62784944238951,""y_m"":16.709860675435245},{""id"":""1"",""x_m"":20.303157895340444,""y_m"":21.269464829333035}]"
15,1.6,11.279387064324226,18.234519981712015,0.3024677336215973,0.7023204680131379,0.2105639355709954,0.7332061175094895,0.9442332747998217,0.1751963342036409,0,8.524285084863621,2,"[{""id"":""0"",""x_m"":19.655286774420208,""y_m"":16.650935359899073},{""id"":""1"",""x_m"":20.29374468595479,""y_m"":21.20515004495913}]"
16,1.7000000000000002,11.35117415427322,18.257781631667985,0.32425299286842346,0.7178708994899452,0.23261649955969688,0.7546184891731116,0.9504263934916539,0.15574007801857137,0,8.49511209160461,2,"[{""id"":""0"",""x_m"":19.681234061876168,""y_m"":16.59133889797659},{""id"":""1"",""x_m"":20.28468919175368,""y_m"":21.14078392013579}]"
17,1.8,11.42432443645912,18.283229348025756,0.3453216552734375,0.7315028218589958,0.254477163577711,0.774503069826215,0.9565021979166636,0.13665237547231257,0,8.464671011141336,2,"[{""id"":""0"",""x_m"":19.705672520509204,""y_m"":16.5311079944499},{""id"":""1"",""x_m"":20.275973986237613,""y_m"":21.076370837669472}]"
18,1.9000000000000001,11.498667607653532,18.310825897206367,0.3655569553375244,0.7434317119441225,0.27596549180611163,0.7929991569932201,0.9624256850758376,0.1180431917294178,0,8.433223253555306,2,"[{""id"":""0"",""x_m"":19.728592016868998,""y_m"":16.470282862418696},{""id"":""1"",""x_m"":20.267580027584227,""y_m"":21.01191510512282}]"
19,2.0,11.574053845307189,18.34051803257816,0.38485899567604065,0.7538623765365671,0.29692135371792716,0.8102288399279843,0.9681662876057412,0.10000855699429367,0,8.401015193146046,2,"[{""id"":""0"",""x_m"":19.749989933536728,""y_m"":16.40890591917222},{""id"":""1"",""x_m"":20.259487366483857,""y_m"":20.947420850833662}]"
20,2.1,11.650352687278907,18.372238532175984,0.4031440019607544,0.7629884197171855,0.31720499597824414,0.8262991819529327,0.9736982327494115,0.0826294387708777,0,8.368277560494057,2,"[{""id"":""0"",""x_m"":19.769870039153098,""y_m"":16.347020691527153},{""id"":""1"",""x_m"":20.25167568673555,""y_m"":20.882891960718382}]"
