step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.078074233871732,18.649104123029886,0.026973284780979156,0.04318883307103505,0.0011190858319309882,0.04320332921357982,0.8640665842715763,0.4270474202297829,2,7.291329352941517,3,"[{""id"":""0"",""x_m"":19.628483493763564,""y_m"":20.93898694297279},{""id"":""1"",""x_m"":20.285305466625804,""y_m"":17.807067362775072},{""id"":""2"",""x_m"":19.280071615100564,""y_m"":17.511247605783705}]"
1,0.2,12.090600050142767,18.6494808305823,0.03315757215023041,0.12525816271034884,0.0037670755241236975,0.1253147963473455,0.8645694168310896,0.42546772515483067,2,7.302888651525659,3,"[{""id"":""0"",""x_m"":19.63223178096182,""y_m"":20.881346028379184},{""id"":""1"",""x_m"":20.281530643397556,""y_m"":17.765852712613874},{""id"":""2"",""x_m"":19.294216450369415,""y_m"":17.449441908310227}]"
2,0.30000000000000004,12.11051693287339,18.65023916144531,0.04295521229505539,0.19916882730623087,0.007583308630110253,0.1993131414140039,0.8660270771967071,0.4208883500587772,2,7.312607986483524,3,"[{""id"":""0"",""x_m"":19.636548371491724,""y_m"":20.821108089771617},{""id"":""1"",""x_m"":20.279094536163655,""y_m"":17.725654530635854},{""id"":""2"",""x_m"":19.31348579910777,""y_m"":17.38870237005125}]"
3,0.4,12.137094424390995,18.651554502029857,0.055945634841918945,0.2657749151760491,0.013153405845471866,0.26610020222121555,0.8683404217755963,0.4136207637245173,2,7.320219367351869,3,"[{""id"":""0"",""x_m"":19.641294259298054,""y_m"":20.75889800793481},{""id"":""1"",""x_m"":20.27802955219855,""y_m"":17.686865770934734},{""id"":""2"",""x_m"":19.336781451571568,""y_m"":17.32863413526504}]"
4,0.5,12.169675715473401,18.653637168031057,0.07172495126724243,0.32581291082406594,0.020826660012005505,0.3264778746361021,0.8714134309646022,0.40396662063192235,2,7.3253794134281485,3,"[{""id"":""0"",""x_m"":19.646364160728137,""y_m"":20.695228166115214},{""id"":""1"",""x_m"":20.278140494118198,""y_m"":17.649552519431168},{""id"":""2"",""x_m"":19.36303665760933,""y_m"":17.269172684257562}]"
5,0.6000000000000001,12.207667160317426,18.656714190105532,0.08990723639726639,0.37991444844024613,0.03077022074474911,0.3811584901564401,0.8751546287141408,0.3922133012663451,2,7.327619209613063,3,"[{""id"":""0"",""x_m"":19.65137152556182,""y_m"":20.630455576153715},{""id"":""1"",""x_m"":20.279412811810424,""y_m"":17.613670489050932},{""id"":""2"",""x_m"":19.391168147649267,""y_m"":17.21057559159817}]"
6,0.7000000000000001,12.250529299101142,18.661015458456273,0.11012554913759232,0.42862138783716475,0.04301268350740628,0.43077416943680075,0.8794759372061853,0.37863751025384307,2,7.326915985490515,3,"[{""id"":""0"",""x_m"":19.656192028457372,""y_m"":20.56563457067066},{""id"":""1"",""x_m"":20.281470926605042,""y_m"":17.579002193258926},{""id"":""2"",""x_m"":19.42048520990855,""y_m"":17.152562577019673}]"
7,0.8,12.297769420797653,18.66676336751993,0.13203272223472595,0.4724012169651104,0.0574790906365763,0.47588523369666036,0.8842936868645196,0.3635021033203856,2,7.32334650695428,3,"[{""id"":""0"",""x_m"":19.660806210448175,""y_m"":20.50079855194221},{""id"":""1"",""x_m"":20.283932864942436,""y_m"":17.54530868027853},{""id"":""2"",""x_m"":19.45043041949784,""y_m"":17.09487129151958}]"
8,0.9,12.34893558017295,18.67416527021706,0.15530197322368622,0.5116615937529723,0.07401902697129259,0.5169878169508528,0.889528445612701,0.347056623693784,2,7.317062397503113,3,"[{""id"":""0"",""x_m"":19.66520372994965,""y_m"":20.435947477762717},{""id"":""1"",""x_m"":20.286447366807053,""y_m"":17.51234444185828},{""id"":""2"",""x_m"":19.48055434641701,""y_m"":17.037273122911813}]"
9,1.0,12.403611907011685,18.683408186870906,0.17962726950645447,0.5467632683873447,0.09242916653846578,0.5545207142069689,0.8951051334111155,0.3295369422749208,2,7.303563946487877,3,"[{""id"":""0"",""x_m"":19.669379296119605,""y_m"":20.37108173451437},{""id"":""1"",""x_m"":20.2887043643752,""y_m"":17.47987186899956},{""id"":""2"",""x_m"":19.50505139080937,""y_m"":16.977066023529442}]"
10,1.1,12.461415013423712,18.694655322159672,0.2047235518693924,0.5780310641202746,0.11247135288765975,0.5888715618098717,0.9009532470611146,0.31116455139472565,2,7.288957527946588,3,"[{""id"":""0"",""x_m"":19.673335259028477,""y_m"":20.306202228062304},{""id"":""1"",""x_m"":20.290072571197694,""y_m"":17.44665027293782},{""id"":""2"",""x_m"":19.53032481246451,""y_m"":16.91718068176836}]"
11,1.2000000000000002,12.521991296494306,18.708044028174214,0.23032674193382263,0.6057628307059382,0.13388706014541896,0.6203824239445006,0.9070071192512628,0.29214575099638473,2,7.269419478024498,3,"[{""id"":""0"",""x_m"":19.67709115970934,""y_m"":20.24131083256124},{""id"":""1"",""x_m"":20.29054539980671,""y_m"":17.413067774521533},{""id"":""2"",""x_m"":19.551452038863598,""y_m"":16.855710035890173}]"
12,1.3,12.585014941177446,18.723684917578918,0.25619369745254517,0.6302364468314003,0.15640889404703984,0.6493548498715372,0.913206247178221,0.2726706162423893,0,7.242829072940358,3,"[{""id"":""0"",""x_m"":19.680659112714757,""y_m"":20.176408831734214},{""id"":""1"",""x_m"":20.289828522328204,""y_m"":17.378511570855885},{""id"":""2"",""x_m"":19.56975141960397,""y_m"":16.79333910785059}]"
13,1.4000000000000001,12.650186439669314,18.741661881220054,0.28210189938545227,0.6517149849186765,0.17976963641135768,0.6760543940712334,0.9194943365589913,0.2529160008386455,0,7.166020003714983,3,"[{""id"":""0"",""x_m"":19.684060806454312,""y_m"":20.111499129190857},{""id"":""1"",""x_m"":20.287799608983267,""y_m"":17.342815221550694},{""id"":""2"",""x_m"":19.586087113143254,""y_m"":16.730425316702775}]"
14,1.5,12.717231471556511,18.762032806293618,0.30784907937049866,0.6704503188719713,0.20370925073564194,0.7007146986547411,0.9258205432532965,0.23304163636272524,0,7.087478297195318,3,"[{""id"":""0"",""x_m"":19.687314314788583,""y_m"":20.046670409548543},{""id"":""1"",""x_m"":20.284436477321226,""y_m"":17.306005748293263},{""id"":""2"",""x_m"":19.60104758630059,""y_m"":16.66717040193002}]"
