step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,7.197649627548449,3
1,0.2,7.252127233886391,3
2,0.30000000000000004,7.298557469722877,3
3,0.4,7.337042936262485,3
4,0.5,7.367659919200534,3
5,0.6000000000000001,7.391077401283598,3
6,0.7000000000000001,7.407465289633718,3
7,0.8,7.416457483597894,3
8,0.9,7.418154012490264,3
9,1.0,7.412747738498671,3
10,1.1,7.400464548921785,3
11,1.2000000000000002,9.336311582638245,3
12,1.3,9.201337647938075,3
13,1.4000000000000001,9.064892877695376,3
14,1.5,8.926607111049965,3
15,1.6,8.786231675914852,3
16,1.7000000000000002,8.643767236777958,3
17,1.8,8.49938773990526,3
18,1.9000000000000001,8.353357324545195,3
19,2.0,8.207303694015652,3
20,2.1,8.06113253813217,3
21,2.2,7.914898928308773,3
22,2.3000000000000003,7.76876753267406,3
23,2.4000000000000004,7.622967314761763,3
24,2.5,7.477760626746466,3
25,2.6,7.333421457223719,3
26,2.7,7.188200560200087,3
27,2.8000000000000003,7.044313550432968,3
28,2.9000000000000004,6.902542393220058,3
29,3.0,6.763457287223883,3
30,3.1,6.627489141597748,3
31,3.2,6.495204917698682,3
32,3.3000000000000003,6.366895006908765,3
33,3.4000000000000004,6.242764725094943,3
34,3.5,6.1230049043921815,3
35,3.6,6.007731878422902,3
36,3.7,5.896994327531393,3
37,3.8000000000000003,5.790839256414096,3
38,3.9000000000000004,5.688943421084054,3
39,4.0,5.591659955541918,3
40,4.1000000000000005,5.499349355193824,3
41,4.2,5.412078408215096,3
42,4.3,5.330184993238577,3
43,4.4,5.253866137558716,3
44,4.5,5.183578069391662,3
45,4.6000000000000005,5.11930061326224,3
46,4.7,5.061326458962368,3
47,4.800000000000001,5.009896685568322,3
48,4.9,4.965225059480188,3
49,5.0,4.927505602713252,3
50,5.1000000000000005,4.896913018434402,3
51,5.2,4.873601462678098,3
52,5.300000000000001,4.857702830162744,3
53,5.4,4.849330424260162,3
54,5.5,4.848565929741256,3
55,5.6000000000000005,4.855459629844366,3
56,5.7,4.870033942544031,3
57,5.800000000000001,4.892263861937974,3
58,5.9,4.9221859433587785,3
59,6.0,4.959730141465557,3
60,6.1000000000000005,5.004789003403269,3
61,6.2,5.057223636771603,3
62,6.300000000000001,5.116869865253469,3
63,6.4,5.183543735118332,3
64,6.5,5.2570003326239165,3
65,6.6000000000000005,5.33710882536742,3
66,6.7,5.423542315133983,3
67,6.800000000000001,5.515996683641589,3
68,6.9,5.614223632767416,3
69,7.0,5.717940551675011,3
70,7.1000000000000005,5.826979042160474,3
71,7.2,5.941240905852342,3
72,7.300000000000001,6.060628882088116,3
73,7.4,6.184261776774621,3
74,7.5,6.311951133580552,3
75,7.6000000000000005,6.44327165788985,3
76,7.7,6.577924780333144,3
77,7.800000000000001,6.71563567324667,3
78,7.9,6.856162297136254,3
79,8.0,6.999296173832289,3
80,8.1,7.144859320214702,3
81,8.200000000000001,7.292699982376835,3
82,8.3,7.442688626228259,3
83,8.4,7.594714646970547,3
84,8.5,7.748683749826863,3
85,8.6,7.904515815579038,3
86,8.700000000000001,8.062143087715405,3
87,8.8,8.221508574764853,3
88,8.9,8.382569759709163,3
89,9.0,8.545290947149393,3
90,9.1,8.709642072200683,3
91,9.200000000000001,8.876564544865975,3
92,9.3,9.045811195665319,3
93,9.4,9.202948573230023,2
94,9.5,9.349940263467827,2
