# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,10.560072427385185,18.108041015678435,0.029838047921657562,0.04998131694282648,0.0013667321102062147,0.050000000000003424,1.9294854756031117,1.0,0,8.618341947554573,2,"[{""id"":""0"",""x_m"":19.154498573924307,""y_m"":17.46643589049361},{""id"":""1"",""x_m"":20.461148103083456,""y_m"":22.155281134809474}]"
1,0.2,10.575062112143252,18.108597208858686,0.04433804750442505,0.14989684758067057,0.005561931802517961,0.14999999999999547,2.0,1.0,0,8.635138012816611,2,"[{""id"":""0"",""x_m"":19.18245137059362,""y_m"":17.416890150991225},{""id"":""1"",""x_m"":20.45186281335158,""y_m"":22.097359275485623}]"
2,0.30000000000000004,10.600023113785886,18.10999305877771,0.06738805025815964,0.24961001642633818,0.013958499190245277,0.2500000000000018,2.0,1.0,0,8.646422097502402,2,"[{""id"":""0"",""x_m"":19.214400100372554,""y_m"":17.36626984336499},{""id"":""1"",""x_m"":20.441039999756185,""y_m"":22.036482764847538}]"
3,0.4,10.63490331929165,18.112886372427422,0.09813304990530014,0.3488020550576465,0.028933136497109047,0.34999999999999687,2.0,1.0,0,8.651287978646016,2,"[{""id"":""0"",""x_m"":19.249278757393324,""y_m"":17.314563442219555},{""id"":""1"",""x_m"":20.42912981412266,""y_m"":21.97320544681548}]"
4,0.5,10.679595834496688,18.11813795168013,0.13580355048179626,0.44692515205037253,0.05251579252707472,0.44999999999999485,2.0,1.0,0,8.64908541219522,2,"[{""id"":""0"",""x_m"":19.28617995199601,""y_m"":17.261757022504025},{""id"":""1"",""x_m"":20.416772270793977,""y_m"":21.909390941231877}]"
5,0.6000000000000001,10.733915806905689,18.126760051046606,0.17902594804763794,0.5431997240900088,0.08622099366476732,0.5500000000000014,2.0,0.863789161558302,0,8.638733170167919,2,"[{""id"":""0"",""x_m"":19.32372808478729,""y_m"":17.208699151043813},{""id"":""1"",""x_m"":20.404300736856573,""y_m"":21.845598615351342}]"
6,0.7000000000000001,10.797591254481757,18.13981521768619,0.22542248666286469,0.6367544757606858,0.1305516663958528,0.6499999999999999,2.0,0.635488811052652,0,8.619950408394335,2,"[{""id"":""0"",""x_m"":19.36116479817492,""y_m"":17.155562605326836},{""id"":""1"",""x_m"":20.391878338129693,""y_m"":21.781796703076942}]"
7,0.8,10.870276397601897,18.158304943741623,0.27277305722236633,0.7268514312013963,0.18489726055431532,0.7500000000000057,2.0,0.48324681224073784,0,8.593031957266637,2,"[{""id"":""0"",""x_m"":19.398151537997187,""y_m"":17.102111870277447},{""id"":""1"",""x_m"":20.379625328237907,""y_m"":21.717962043615238}]"
8,0.9,10.951577516451243,18.183106719360406,0.3194132149219513,0.8130111884934621,0.24801775618783495,0.8500000000000001,2.0,0.32168338221731463,0,8.558425035451034,2,"[{""id"":""0"",""x_m"":19.434416359725752,""y_m"":17.048168727015348},{""id"":""1"",""x_m"":20.36762822162489,""y_m"":21.654078795162174}]"
9,1.0,11.041087059848834,18.214935034439193,0.363871306180954,0.8950954339759143,0.3182831507878703,0.9499999999999919,2.0,0.17470454626386211,0,8.516679833673095,2,"[{""id"":""0"",""x_m"":19.46973980704738,""y_m"":16.993604507335082},{""id"":""1"",""x_m"":20.355946986401456,""y_m"":21.59013703460106}]"
10,1.1,11.138391248145698,18.25439254246857,0.40661782026290894,0.9730418829686371,0.3945750802937553,1.0499999999999878,2.0,0.3721432783506242,0,8.468445496459116,2,"[{""id"":""0"",""x_m"":19.503949322471733,""y_m"":16.93833508491698},{""id"":""1"",""x_m"":20.344620812024008,""y_m"":21.52613142723755}]"
11,1.2000000000000002,11.242605530009941,18.301822843495657,0.44759401679039,1.0421428186424286,0.47430301027088007,1.145000000000002,2.0,0.12871926834457637,0,8.414924713741945,2,"[{""id"":""0"",""x_m"":19.536940841218332,""y_m"":16.882330087900705},{""id"":""1"",""x_m"":20.33367273391345,""y_m"":21.462060064011183}]"
12,1.3,11.352517061897155,18.35714695811312,0.4850561320781708,1.099115318872137,0.5532411461746278,1.2305000000000061,2.0,-0.012005730339646137,0,8.357644407132282,2,"[{""id"":""0"",""x_m"":19.568630326867712,""y_m"":16.825578202475832},{""id"":""1"",""x_m"":20.323113332339286,""y_m"":21.397923498477976}]"
13,1.4000000000000001,11.467149208361189,18.42002561921566,0.5183648467063904,1.1463214646403408,0.6287866110254114,1.3074499999999993,2.0,-0.06943451315493898,0,8.297897876500626,2,"[{""id"":""0"",""x_m"":19.598950694675455,""y_m"":16.768083200119076},{""id"":""1"",""x_m"":20.312943714771595,""y_m"":21.333723974503673}]"
14,1.5,11.585731797649027,18.48996370675058,0.5473825335502625,1.1858258928783805,0.6993808753491848,1.376705,2.0,-0.12259098547649416,0,8.236772609095402,2,"[{""id"":""0"",""x_m"":19.62784944238951,""y_m"":16.709860675435245},{""id"":""1"",""x_m"":20.303157895340444,""y_m"":21.269464829333035}]"
15,1.6,11.70767724126724,18.56636731728477,0.5720283389091492,1.2194544361821258,0.7640361053418943,1.439034500000009,2.0,-0.17144351661025303,0,8.17516830865508,2,"[{""id"":""0"",""x_m"":19.655286774420208,""y_m"":16.650935359899073},{""id"":""1"",""x_m"":20.29374468595479,""y_m"":21.20515004495913}]"
16,1.7000000000000002,11.832562893988861,18.648572805611494,0.5922722220420837,1.2488565272162155,0.8220548832672492,1.4951310499999915,2.0,-0.21602013012585974,0,8.113806163099305,2,"[{""id"":""0"",""x_m"":19.681234061876168,""y_m"":16.59133889797659},{""id"":""1"",""x_m"":20.28468919175368,""y_m"":21.14078392013579}]"
17,1.8,11.960110713644562,18.73587058347632,0.6081295609474182,1.2754781965570139,0.8729777786482629,1.5456179449999887,2.0,-0.2564082464968638,0,8.053241942095788,2,"[{""id"":""0"",""x_m"":19.705672520509204,""y_m"":16.5311079944499},{""id"":""1"",""x_m"":20.275973986237613,""y_m"":21.076370837669472}]"
18,1.9000000000000001,12.090165545763172,18.82752393793233,0.6196553707122803,1.300548321186099,0.916533544560103,1.5910561505000027,2.0,-0.2927568264780449,0,7.993881688052361,2,"[{""id"":""0"",""x_m"":19.728592016868998,""y_m"":16.470282862418696},{""id"":""1"",""x_m"":20.267580027584227,""y_m"":21.01191510512282}]"
19,2.0,12.222673147200652,18.922783378739222,0.6269384026527405,1.3250760143747975,0.9525944080689186,1.6319505354500092,2.0,-0.32527541250421943,0,7.935998858592151,2,"[{""id"":""0"",""x_m"":19.749989933536728,""y_m"":16.40890591917222},{""id"":""1"",""x_m"":20.259487366483857,""y_m"":20.947420850833662}]"
20,2.1,12.357658833206653,19.020897155332364,0.6300956010818481,1.349856860060008,0.9811377659314147,1.6687554819049888,2.0,-0.3542345997375247,0,7.879751919016836,2,"[{""id"":""0"",""x_m"":19.769870039153098,""y_m"":16.347020691527153},{""id"":""1"",""x_m"":20.25167568673555,""y_m"":20.882891960718382}]"
21,2.2,12.495207411577308,19.121118618482793,0.6292660236358643,1.3754857837065515,1.0022146315042946,1.701879933714513,2.0,-0.37997400695846695,1,7.932607525097694,2,"[{""id"":""0"",""x_m"":19.86828065489991,""y_m"":27.796441850630114},{""id"":""1"",""x_m"":20.24412533480996,""y_m"":20.818331971670986}]"
22,2.3000000000000003,12.635443047625028,19.222713579700276,0.6246408820152283,1.4023563604771994,1.015949612174829,1.7316919403430397,2.0,-0.3957244542302778,1,7.75402654792616,2,"[{""id"":""0"",""x_m"":19.88068309451398,""y_m"":27.74004818338053},{""id"":""1"",""x_m"":20.236816136475657,""y_m"":20.75374423584049}]"
23,2.4000000000000004,12.778508177570997,19.324970076248885,0.616479218006134,1.4306512994596865,1.0225649654860902,1.7585227463087472,2.0,-0.4040920759409432,1,7.575065823415661,2,"[{""id"":""0"",""x_m"":19.890304708959945,""y_m"":27.685616293122635},{""id"":""1"",""x_m"":20.229728547689117,""y_m"":20.689131806036364}]"
24,2.5,12.924545446501059,19.427206352537542,0.6050663590431213,1.4603726893006197,1.0223627628865728,1.7826704716778676,2.0,-0.4093831882505503,1,7.3958545594195115,2,"[{""id"":""0"",""x_m"":19.897636890858404,""y_m"":27.632756052798708},{""id"":""1"",""x_m"":20.222843788866008,""y_m"":20.624497449104872}]"
25,2.6,13.073685218026814,19.52877428907798,0.5906883478164673,1.491397715257552,1.0156793654043739,1.8044034245100726,2.0,-0.41189956956798657,1,7.216496418244201,2,"[{""id"":""0"",""x_m"":19.903085472405966,""y_m"":27.581152104435837},{""id"":""1"",""x_m"":20.216143933254457,""y_m"":20.559843663950527}]"
26,2.7,13.226037110239393,19.629060450567945,0.5736225843429565,1.5235189221257883,1.0028616148996505,1.8239630820590802,2.0,-0.41321265131598195,1,7.037078095307027,2,"[{""id"":""0"",""x_m"":19.90698615503053,""y_m"":27.53054886375281},{""id"":""1"",""x_m"":20.20961196037978,""y_m"":20.495172701916825}]"
27,2.8000000000000003,13.381683825117006,19.727486981409005,0.5541425347328186,1.5564671487761395,0.984265308410599,1.8415667738531603,2.0,-0.4109540059089203,1,6.8576763551592865,2,"[{""id"":""0"",""x_m"":19.909617051528517,""y_m"":27.480738529885475},{""id"":""1"",""x_m"":20.20323178326495,""y_m"":20.430486587951126}]"
28,2.9000000000000004,13.540676402670336,19.823513451444907,0.5325219035148621,1.5899257755332918,0.9602647003590192,1.8574100964678577,2.0,-0.40676148590826133,1,6.678364189549854,2,"[{""id"":""0"",""x_m"":19.911208900217584,""y_m"":27.431551493128843},{""id"":""1"",""x_m"":20.19698825634276,""y_m"":20.365787141496217}]"
29,3.0,13.703031447489739,19.91663858836994,0.5090251564979553,1.623550448194031,0.9312513692503188,1.871669086821074,2.0,-0.4008814602338915,1,6.499215681680838,2,"[{""id"":""0"",""x_m"":19.911953396983684,""y_m"":27.382848657669353},{""id"":""1"",""x_m"":20.190867169538617,""y_m"":20.30107599642571}]"
30,3.1,13.86873036849242,20.006401343300098,0.48390594124794006,1.6569892100268113,0.8976275493015962,1.884502178138955,2.0,-0.39354983364703156,1,6.320309471172782,2,"[{""id"":""0"",""x_m"":19.91201000189988,""y_m"":27.33451529474902},{""id"":""1"",""x_m"":20.18485523284649,""y_m"":20.23635461960777}]"
31,3.2,14.037719988169066,20.092381799242524,0.4574059247970581,1.6898961967664583,0.859804559424262,1.8960519603250565,2.0,-0.3849908536040436,1,6.141731293783104,2,"[{""id"":""0"",""x_m"":19.911511506742855,""y_m"":27.286456119877958},{""id"":""1"",""x_m"":20.178940054791948,""y_m"":20.171624327869026}]"
32,3.3000000000000003,14.209914273931322,20.174201849362543,0.429753839969635,1.7219428576225582,0.8182005012001881,1.9064467642925622,2.0,-0.3754188376147167,1,5.963575777224279,2,"[{""id"":""0"",""x_m"":19.91056859399219,""y_m"":27.238591349816044},{""id"":""1"",""x_m"":20.173110117432437,""y_m"":20.106886303259188}]"
33,3.4000000000000004,14.385196954588505,20.251525573149266,0.401164710521698,1.7528268065718322,0.7732372378672281,1.9158020878632918,2.0,-0.3650369217041285,1,5.785947667920338,2,"[{""id"":""0"",""x_m"":19.909273573544773,""y_m"":27.19085354442383},{""id"":""1"",""x_m"":20.167354749950544,""y_m"":20.04214160660264}]"
34,3.5,14.563424798282925,20.324059248991745,0.37183910608291626,1.7822784369442068,0.7253367584247883,1.9242218790769594,2.0,-0.35403836513760245,1,5.60896265364237,2,"[{""id"":""0"",""x_m"":19.90770344794769,""y_m"":27.14318507778119},{""id"":""1"",""x_m"":20.161664102421224,""y_m"":19.977391189378526}]"
35,3.6,14.744431344388074,20.39155095763141,0.3419628441333771,1.8100654610514866,0.6749170863966469,1.9317996911692654,2.0,-0.34260625633192276,1,5.432747912596848,2,"[{""id"":""0"",""x_m"":19.905922428552508,""y_m"":27.095536114278833},{""id"":""1"",""x_m"":20.15603043899107,""y_m"":19.912651050430085}]"
36,3.7,14.928030894396445,20.453789767903036,0.3117068111896515,1.8359955000837047,0.6223881027162648,1.9386197220523587,2.0,-0.33087471279782266,1,5.257438769492795,2,"[{""id"":""0"",""x_m"":19.903984002155127,""y_m"":27.047862990351526},{""id"":""1"",""x_m"":20.15045306547252,""y_m"":19.848010037292166}]"
37,3.8000000000000003,15.114022563956654,20.510604606722747,0.2812279462814331,1.8599166956020952,0.5681483881971161,1.944757749847111,2.0,-0.3188121922275511,1,5.083174024615826,2,"[{""id"":""0"",""x_m"":19.901932629266113,""y_m"":27.000126922446366},{""id"":""1"",""x_m"":20.144930347782605,""y_m"":19.78353856077608}]"
38,3.9000000000000004,15.30219425996923,20.561862880537642,0.2506698668003082,1.881716960125761,0.5125827381489501,1.950281974862407,2.0,-0.3066032547155553,1,4.910098369645075,2,"[{""id"":""0"",""x_m"":19.899805140262764,""y_m"":26.952292977735116},{""id"":""1"",""x_m"":20.139460037948524,""y_m"":19.71929193825349}]"
39,4.0,15.492326529851493,20.60746872762829,0.220162495970726,1.901322698822625,0.4560584709064841,1.955253777376152,2.0,-0.2944234687976308,1,4.738364693661298,2,"[{""id"":""0"",""x_m"":19.89763188360217,""y_m"":26.904329256802438},{""id"":""1"",""x_m"":20.134039534485048,""y_m"":19.655313092896417}]"
40,4.1000000000000005,15.684196209945993,20.64736083040481,0.1898215413093567,1.9186968009450034,0.3989210277651978,1.9597283996385395,2.0,-0.2824364063598783,1,4.5681363917413185,2,"[{""id"":""0"",""x_m"":19.895437670467455,""y_m"":26.856206247718674},{""id"":""1"",""x_m"":20.12866608880797,""y_m"":19.591634734563666}]"
41,4.2,15.87757977693445,20.681509842108714,0.15974852442741394,1.9338356698845693,0.34149011703902943,1.9637555596746838,2.0,-0.270797109938105,1,4.399589821726464,2,"[{""id"":""0"",""x_m"":19.893242552234746,""y_m"":26.807896319049327},{""id"":""1"",""x_m"":20.123336967515286,""y_m"":19.52828112321977}]"
42,4.3,16.072256329217378,20.709915489101927,0.130030557513237,1.9467655228292813,0.28405646993213907,1.9673800037072333,2.0,-0.2596528876023716,1,4.23291703985319,2,"[{""id"":""0"",""x_m"":19.89106246063307,""y_m"":26.759373325871536},{""id"":""1"",""x_m"":20.118049578748046,""y_m"":19.465269495924925}]"
43,4.4,16.268009943538104,20.732605168110535,0.10075832903385162,1.9575361432072569,0.226896790086073,1.9706420033365029,2.0,-0.2455571290302221,1,4.0683296992459,2,"[{""id"":""0"",""x_m"":19.888909735140516,""y_m"":26.710612308084354},{""id"":""1"",""x_m"":20.112801569429084,""y_m"":19.402611222543555}]"
44,4.5,16.46463056986771,20.749646962229964,0.07215650379657745,1.9662062632960442,0.17041794119428744,1.973577803002834,2.0,-0.20580765726659345,1,3.9060700073060954,2,"[{""id"":""0"",""x_m"":19.886793557789744,""y_m"":26.66158926447241},{""id"":""1"",""x_m"":20.107590898957344,""y_m"":19.34031274258745}]"
45,4.6000000000000005,16.661916184271746,20.761172678282627,0.04455378279089928,1.972856144040378,0.11525716052663171,1.976220022702566,2.0,-0.1664080574756417,1,3.7464280689767473,2,"[{""id"":""0"",""x_m"":19.884720311961047,""y_m"":26.612280989316893},{""id"":""1"",""x_m"":20.102415893892463,""y_m"":19.278376325401826}]"
46,4.7,16.85967847231186,20.767383853189667,0.018240129575133324,1.9776228804011353,0.06211174907040373,1.978598020432313,2.0,-0.12783272184831218,1,3.5897550458708096,2,"[{""id"":""0"",""x_m"":19.88269387877247,""y_m"":26.56266496100736},{""id"":""1"",""x_m"":20.097275287280283,""y_m"":19.216800687712478}]"
47,4.800000000000001,17.057748901232177,20.768543200071516,-0.006533852778375149,1.9807042892031745,0.011593468818489328,1.9807382183890678,2.0,-0.09050631676721,1,3.436472932515383,2,"[{""id"":""0"",""x_m"":19.8807158822133,""y_m"":26.512719274222984},{""id"":""1"",""x_m"":20.09216824552713,""y_m"":19.155581495975767}]"
