# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.07875348225891,18.649128887657714,0.029838047921657562,0.04998131694282648,0.0013667321102062147,0.050000000000003424,1.6215514215164837,1.0,2,7.290662292414402,3,"[{""id"":""0"",""x_m"":19.628483493763564,""y_m"":20.93898694297279},{""id"":""1"",""x_m"":20.285305466625804,""y_m"":17.807067362775072},{""id"":""2"",""x_m"":19.280071615100564,""y_m"":17.511247605783705}]"
1,0.2,12.093743167016978,18.649685080837966,0.04433804750442505,0.14989684758067057,0.005561931802517961,0.14999999999999547,1.766898910108704,1.0,2,7.299821859297094,3,"[{""id"":""0"",""x_m"":19.63223178096182,""y_m"":20.881346028379184},{""id"":""1"",""x_m"":20.281530643397556,""y_m"":17.765852712613874},{""id"":""2"",""x_m"":19.294216450369415,""y_m"":17.449441908310227}]"
2,0.30000000000000004,12.118704168659612,18.65108093075699,0.06738805025815964,0.24961001642633818,0.013958499190245277,0.2500000000000018,1.9166369483473007,1.0,2,7.304689065276068,3,"[{""id"":""0"",""x_m"":19.636548371491724,""y_m"":20.821108089771617},{""id"":""1"",""x_m"":20.279094536163655,""y_m"":17.725654530635854},{""id"":""2"",""x_m"":19.31348579910777,""y_m"":17.38870237005125}]"
3,0.4,12.153584374165376,18.6539742444067,0.09813304990530014,0.3488020550576465,0.028933136497109047,0.34999999999999687,2.0,1.0,2,7.304440201531975,3,"[{""id"":""0"",""x_m"":19.641294259298054,""y_m"":20.75889800793481},{""id"":""1"",""x_m"":20.27802955219855,""y_m"":17.686865770934734},{""id"":""2"",""x_m"":19.336781451571568,""y_m"":17.32863413526504}]"
4,0.5,12.198276889370414,18.65922582365941,0.13580355048179626,0.44692515205037253,0.05251579252707472,0.44999999999999485,2.0,1.0,2,7.298358052804475,3,"[{""id"":""0"",""x_m"":19.646364160728137,""y_m"":20.695228166115214},{""id"":""1"",""x_m"":20.278140494118198,""y_m"":17.649552519431168},{""id"":""2"",""x_m"":19.36303665760933,""y_m"":17.269172684257562}]"
5,0.6000000000000001,12.252593922571574,18.66786641994809,0.17970699071884155,0.5431703320116021,0.0864059628868219,0.5499999999999936,2.0,1.0,2,7.28580390384866,3,"[{""id"":""0"",""x_m"":19.65137152556182,""y_m"":20.630455576153715},{""id"":""1"",""x_m"":20.279412811810424,""y_m"":17.613670489050932},{""id"":""2"",""x_m"":19.391168147649267,""y_m"":17.21057559159817}]"
6,0.7000000000000001,12.316245337544924,18.681038260058358,0.22840675711631775,0.6365141497335003,0.13171840110267397,0.6500000000000044,2.0,0.8373306295064928,2,7.266805493318347,3,"[{""id"":""0"",""x_m"":19.656192028457372,""y_m"":20.56563457067066},{""id"":""1"",""x_m"":20.281470926605042,""y_m"":17.579002193258926},{""id"":""2"",""x_m"":19.42048520990855,""y_m"":17.152562577019673}]"
7,0.8,12.38884040534481,18.69987853954487,0.2794405519962311,0.7259506779988634,0.18840279486511236,0.7499999999999967,2.0,0.6034740779790684,2,7.241691915167306,3,"[{""id"":""0"",""x_m"":19.660806210448175,""y_m"":20.50079855194221},{""id"":""1"",""x_m"":20.283932864942436,""y_m"":17.54530868027853},{""id"":""2"",""x_m"":19.45043041949784,""y_m"":17.09487129151958}]"
8,0.9,12.469923012041466,18.725385614862816,0.330119252204895,0.810826066966559,0.25507075317946715,0.8499999999999996,2.0,0.346181692919473,2,7.211010712237864,3,"[{""id"":""0"",""x_m"":19.66520372994965,""y_m"":20.435947477762717},{""id"":""1"",""x_m"":20.286447366807053,""y_m"":17.51234444185828},{""id"":""2"",""x_m"":19.48055434641701,""y_m"":17.037273122911813}]"
9,1.0,12.559019719193794,18.75835191241975,0.3786507546901703,0.8909670715232743,0.32966297556935586,0.9500000000000005,2.0,0.2379502870000052,2,7.170797403430558,3,"[{""id"":""0"",""x_m"":19.669379296119605,""y_m"":20.37108173451437},{""id"":""1"",""x_m"":20.2887043643752,""y_m"":17.47987186899956},{""id"":""2"",""x_m"":19.50505139080937,""y_m"":16.977066023529442}]"
