# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.717131742746867,18.788158301779468,0.029838047921657562,0.04433765983376858,0.0012124070971353262,0.0443542332872992,0.8870846657459767,1.0,1,6.947238965255943,2,"[{""id"":""0"",""x_m"":19.745259823915035,""y_m"":17.750907260454866},{""id"":""1"",""x_m"":19.659236467404533,""y_m"":19.05519993197255}]"
1,0.2,12.729986869170128,18.78863529204066,0.04433804750442505,0.12855126423261254,0.004769902611911903,0.1286397275600741,0.887333686284229,1.0,1,6.938683915465058,2,"[{""id"":""0"",""x_m"":19.74847123097794,""y_m"":17.695692087322787},{""id"":""1"",""x_m"":19.66531872687686,""y_m"":19.004288954684306}]"
2,0.30000000000000004,12.750610847676734,18.789788610290486,0.06738805025815964,0.20623978506606022,0.011533182498268957,0.20656200822666568,0.9283913821676142,1.0,1,6.923666430830464,2,"[{""id"":""0"",""x_m"":19.75226314629039,""y_m"":17.638738687416126},{""id"":""1"",""x_m"":19.672356511107974,""y_m"":18.95286471577338}]"
3,0.4,12.77844985951857,18.792097856804048,0.09813304990530014,0.27839011841836125,0.023092465135619022,0.27934623673682984,0.9404172044890972,1.0,1,6.9024714395127065,2,"[{""id"":""0"",""x_m"":19.75661996759096,""y_m"":17.580424585863835},{""id"":""1"",""x_m"":19.680062695633534,""y_m"":18.900965821154323}]"
4,0.5,12.812824382064935,18.79613702373386,0.13580355048179626,0.3437452254636497,0.04039166929810989,0.34611019484803285,0.9535544312086014,1.0,1,6.875608558207876,2,"[{""id"":""0"",""x_m"":19.761491906734395,""y_m"":17.521020125360685},{""id"":""1"",""x_m"":19.688232450037265,""y_m"":18.84864363819699}]"
5,0.6000000000000001,12.853337563281391,18.80258174323769,0.17970699071884155,0.4051318121645586,0.06444719503829077,0.4102258233900478,1.0209785293278362,1.0,1,6.843381147494055,2,"[{""id"":""0"",""x_m"":19.766813501107546,""y_m"":17.460718505862364},{""id"":""1"",""x_m"":19.69671549887593,""y_m"":18.795951472134874}]"
6,0.7000000000000001,12.899604405487766,18.812175692916238,0.22922010719776154,0.46266842206375003,0.09593949678549762,0.47251079968442505,1.045172643339602,1.0,1,6.8061466877979315,2,"[{""id"":""0"",""x_m"":19.77251351447459,""y_m"":17.399656937919072},{""id"":""1"",""x_m"":19.70539892135694,""y_m"":18.742938827101796}]"
7,0.8,12.951292250069192,18.82573229782515,0.28378188610076904,0.5168784458142639,0.13556604908913528,0.5343608157537441,1.1368492774158268,1.0,1,6.764272811990065,2,"[{""id"":""0"",""x_m"":19.778520243844753,""y_m"":17.3379317480823},{""id"":""1"",""x_m"":19.714196058465305,""y_m"":18.68964867129596}]"
8,0.9,13.008180052151156,18.844164419460572,0.3428875207901001,0.568878020819632,0.18432121635420629,0.5979937402431198,1.2045308438791449,1.0,1,6.718081317851363,2,"[{""id"":""0"",""x_m"":19.784764297071266,""y_m"":17.275609310811546},{""id"":""1"",""x_m"":19.72303914450664,""y_m"":18.636116436835433}]"
9,1.0,13.069830005212577,18.86839482048279,0.4060825705528259,0.6164995306142096,0.24230401022219183,0.6624069026039031,1.2797198838227926,1.0,1,6.668181491881812,2,"[{""id"":""0"",""x_m"":19.791179954227665,""y_m"":17.21273405469246},{""id"":""1"",""x_m"":19.731874301457072,""y_m"":18.582369990177206}]"
