# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.077442264184526,18.64909303258315,0.029838047921657562,0.03686913619898036,0.001008181364561267,0.036882917912264106,0.7376583582451857,1.0,2,7.291951849948379,3,"[{""id"":""0"",""x_m"":19.628483493763564,""y_m"":20.93898694297279},{""id"":""1"",""x_m"":20.285305466625804,""y_m"":17.807067362775072},{""id"":""2"",""x_m"":19.280071615100564,""y_m"":17.511247605783705}]"
1,0.2,12.088176828615659,18.649491339260436,0.04433804750442505,0.10734564431132299,0.003983066772867971,0.1074195148635954,0.746839416606075,1.0,2,7.305280669968057,3,"[{""id"":""0"",""x_m"":19.63223178096182,""y_m"":20.881346028379184},{""id"":""1"",""x_m"":20.281530643397556,""y_m"":17.765852712613874},{""id"":""2"",""x_m"":19.294216450369415,""y_m"":17.449441908310227}]"
2,0.30000000000000004,12.105305929270848,18.65044921964139,0.06738805025815964,0.17129100655189688,0.009578803809553449,0.1715586267372874,0.7507818505948964,1.0,2,7.317777131641335,3,"[{""id"":""0"",""x_m"":19.636548371491724,""y_m"":20.821108089771617},{""id"":""1"",""x_m"":20.279094536163655,""y_m"":17.725654530635854},{""id"":""2"",""x_m"":19.31348579910777,""y_m"":17.38870237005125}]"
3,0.4,12.128324047067537,18.652358572910565,0.09813304990530014,0.23018117796688387,0.019093532691734083,0.2309717248514904,0.7805973651638026,1.0,2,7.328990690359004,3,"[{""id"":""0"",""x_m"":19.641294259298054,""y_m"":20.75889800793481},{""id"":""1"",""x_m"":20.27802955219855,""y_m"":17.686865770934734},{""id"":""2"",""x_m"":19.336781451571568,""y_m"":17.32863413526504}]"
4,0.5,12.156925099472643,18.655719330136403,0.13580355048179626,0.2860105240510613,0.033607572258382845,0.28797827831464157,0.8214771538022273,1.0,2,7.338293765549935,3,"[{""id"":""0"",""x_m"":19.646364160728137,""y_m"":20.695228166115214},{""id"":""1"",""x_m"":20.278140494118198,""y_m"":17.649552519431168},{""id"":""2"",""x_m"":19.36303665760933,""y_m"":17.269172684257562}]"
5,0.6000000000000001,12.19082953368348,18.661112749311695,0.17970699071884155,0.33904434210837664,0.053934191752915694,0.34330738843745007,0.8610616052832494,1.0,2,7.344993819035818,3,"[{""id"":""0"",""x_m"":19.65137152556182,""y_m"":20.630455576153715},{""id"":""1"",""x_m"":20.279412811810424,""y_m"":17.613670489050932},{""id"":""2"",""x_m"":19.391168147649267,""y_m"":17.21057559159817}]"
6,0.7000000000000001,12.22973140681899,18.669179489885835,0.22922010719776154,0.38901873135509746,0.08066740574140141,0.3972943539671529,0.9052924821854684,1.0,2,7.3489500690260945,3,"[{""id"":""0"",""x_m"":19.656192028457372,""y_m"":20.56563457067066},{""id"":""1"",""x_m"":20.281470926605042,""y_m"":17.579002193258926},{""id"":""2"",""x_m"":19.42048520990855,""y_m"":17.152562577019673}]"
7,0.8,12.27343844833946,18.680642902578487,0.28378188610076904,0.43707041520470113,0.11463412692652497,0.45185343962773644,0.9804779389605933,1.0,2,7.350094241335428,3,"[{""id"":""0"",""x_m"":19.660806210448175,""y_m"":20.50079855194221},{""id"":""1"",""x_m"":20.283932864942436,""y_m"":17.54530868027853},{""id"":""2"",""x_m"":19.45043041949784,""y_m"":17.09487129151958}]"
8,0.9,12.321766394826344,18.696301559714737,0.3428875207901001,0.4832794648688399,0.15658657136249587,0.5080141685966783,1.046443519673614,1.0,2,7.348511433614322,3,"[{""id"":""0"",""x_m"":19.66520372994965,""y_m"":20.435947477762717},{""id"":""1"",""x_m"":20.286447366807053,""y_m"":17.51234444185828},{""id"":""2"",""x_m"":19.48055434641701,""y_m"":17.037273122911813}]"
9,1.0,12.37414759415387,18.716889044419975,0.4060825705528259,0.5238119932752561,0.20587484705238523,0.5628174277222054,1.0656500000304927,1.0,2,7.340079911089286,3,"[{""id"":""0"",""x_m"":19.669379296119605,""y_m"":20.37108173451437},{""id"":""1"",""x_m"":20.2887043643752,""y_m"":17.47987186899956},{""id"":""2"",""x_m"":19.50505139080937,""y_m"":16.977066023529442}]"
