# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,10.841725206797872,18.848618217259165,0.029838047921657562,0.033192421842294095,0.00090764212554717,0.033204829196742905,0.6640965839347681,1.0,0,8.527149289087818,3,"[{""id"":""0"",""x_m"":19.161994786214123,""y_m"":16.98169852851211},{""id"":""1"",""x_m"":18.811761971189394,""y_m"":22.351120983228938},{""id"":""2"",""x_m"":18.797491687643113,""y_m"":27.095438133835867}]"
1,0.2,10.851346627621187,18.848975220674024,0.04433804750442505,0.09621420823314963,0.0035700341485878084,0.09628041862057914,0.6638248629353519,1.0,0,8.56162989626798,3,"[{""id"":""0"",""x_m"":19.19539532357934,""y_m"":16.93107067660811},{""id"":""1"",""x_m"":18.83521523462002,""y_m"":22.290541421325333},{""id"":""2"",""x_m"":18.786102048753825,""y_m"":27.09352374081307}]"
2,0.30000000000000004,10.8667231488744,18.84983509465879,0.06738805025815964,0.15376521253212871,0.008598739847656134,0.15400545091657758,0.6832366202260021,1.0,0,8.595439811542981,3,"[{""id"":""0"",""x_m"":19.233067213324134,""y_m"":16.878573430367428},{""id"":""1"",""x_m"":18.86134237705999,""y_m"":22.23102358846894},{""id"":""2"",""x_m"":18.787943317573536,""y_m"":27.08599873627512}]"
3,0.4,10.887557364279074,18.85156329318679,0.09813304990530014,0.2083421540467434,0.01728198527999325,0.20905769578768169,0.7258191790293302,1.0,0,8.62561160745906,3,"[{""id"":""0"",""x_m"":19.27210991486108,""y_m"":16.826605483932177},{""id"":""1"",""x_m"":18.888967342944067,""y_m"":22.172186004732833},{""id"":""2"",""x_m"":18.800404192344097,""y_m"":27.073973831838426}]"
4,0.5,10.913522432974682,18.854614310016597,0.13580355048179626,0.2596506869560855,0.030510168298079066,0.26143708536920357,0.7398840041763236,1.0,1,8.641859164584389,3,"[{""id"":""0"",""x_m"":19.311680905623636,""y_m"":16.775038666209248},{""id"":""1"",""x_m"":18.917285741277002,""y_m"":22.11367901099826},{""id"":""2"",""x_m"":18.8213134394444,""y_m"":27.05826150028381}]"
5,0.6000000000000001,10.944286227097425,18.859508125264906,0.17970699071884155,0.30763794122742993,0.04893815248308897,0.31150609247831684,0.7843703087443447,1.0,1,8.616027389579761,3,"[{""id"":""0"",""x_m"":19.351316625775347,""y_m"":16.723521584691998},{""id"":""1"",""x_m"":18.945738757577868,""y_m"":22.055237366057494},{""id"":""2"",""x_m"":18.84886546106241,""y_m"":27.039452249554092}]"
6,0.7000000000000001,10.979575738596264,18.86682580205794,0.22922010719776154,0.3528951149883852,0.07317676793032746,0.360402277389301,0.8165655744320776,1.0,1,8.585206359919553,3,"[{""id"":""0"",""x_m"":19.390658809895626,""y_m"":16.671779990701804},{""id"":""1"",""x_m"":18.97393788118929,""y_m"":21.996672791205903},{""id"":""2"",""x_m"":18.88155823554219,""y_m"":27.017973947977282}]"
7,0.8,11.019107363588395,18.8771940932058,0.28378188610076904,0.3953162499213114,0.10368291147862863,0.408687023998235,0.8699339125248992,1.0,1,8.549157120948578,3,"[{""id"":""0"",""x_m"":19.429425236097195,""y_m"":16.619605627269575},{""id"":""1"",""x_m"":19.00161421579855,""y_m"":21.937859353093543},{""id"":""2"",""x_m"":18.918142018400868,""y_m"":26.99413726058728}]"
8,0.9,11.062742939521224,18.89133238320454,0.3428875207901001,0.4363557593282863,0.14138289998737008,0.4586888630736569,0.9474769169803017,1.0,1,8.507590863272176,3,"[{""id"":""0"",""x_m"":19.46738960838474,""y_m"":16.566844785380795},{""id"":""1"",""x_m"":19.028584117491643,""y_m"":21.87871863613251},{""id"":""2"",""x_m"":18.957577114504435,""y_m"":26.968169884841647}]"
9,1.0,11.110155027375356,18.909966848357524,0.4060825705528259,0.47412087854132423,0.18634465152985058,0.5094260855340828,0.9846452583756355,1.0,1,8.460489316989365,3,"[{""id"":""0"",""x_m"":19.504367614926085,""y_m"":16.513388008146958},{""id"":""1"",""x_m"":19.05472554880549,""y_m"":21.819207077852933},{""id"":""2"",""x_m"":18.9989991373609,""y_m"":26.940241897563368}]"
