# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,16.165729981925267,5.376392857254384,1.3685662746429443,0.007597685815916577,0.03668873110616033,0.037467156549937396,0.7493431309986814,0.7874617782263615,1,29.72128540867933,2,"[{""id"":""0"",""x_m"":15.431868390566324,""y_m"":36.09573718054116},{""id"":""1"",""x_m"":15.62573345650478,""y_m"":35.0927723489877}]"
1,0.2,16.16785262878321,5.387054131365211,1.3799686431884766,0.021226468579413904,0.10661274110827179,0.1087052875207652,0.7503538015178481,0.7842866631481478,1,29.7270197024236,2,"[{""id"":""0"",""x_m"":15.434594989156665,""y_m"":36.06723032027616},{""id"":""1"",""x_m"":15.648144947978917,""y_m"":35.10953054761953}]"
2,0.30000000000000004,16.17098074195851,5.4040706607567195,1.3980275392532349,0.03128113175300484,0.17016529391508328,0.17301657856100244,0.7532825943282893,0.7750855891709794,1,29.71402750331542,2,"[{""id"":""0"",""x_m"":15.422126910515534,""y_m"":36.02009864632037},{""id"":""1"",""x_m"":15.671048141516108,""y_m"":35.11389223313915}]"
3,0.4,16.174683718601774,5.426899827084496,1.421958565711975,0.03702976643264577,0.22829166327776207,0.2312753491494141,0.7579259745621222,0.7604979799405456,1,29.686597212834663,2,"[{""id"":""0"",""x_m"":15.400296569176529,""y_m"":35.958874172480066},{""id"":""1"",""x_m"":15.691995649539617,""y_m"":35.10957265661701}]"
4,0.5,16.17849012511859,5.455068657062884,1.4510046243667603,0.03806406516815741,0.2816882997838821,0.28424843234793745,0.7640863877070624,0.7411444712613235,1,29.64756207677269,2,"[{""id"":""0"",""x_m"":15.377092144854831,""y_m"":35.898157167515244},{""id"":""1"",""x_m"":15.709726322269027,""y_m"":35.09892464094643}]"
5,0.6000000000000001,16.18191236810215,5.4881527856552035,1.4844399690628052,0.034222429835608636,0.3308412859231957,0.3326065711545202,0.7715732531204536,0.7176237898801983,1,29.597687635200412,2,"[{""id"":""0"",""x_m"":15.35303088035289,""y_m"":35.83777459096731},{""id"":""1"",""x_m"":15.724170469377846,""y_m"":35.08230061432308}]"
6,0.7000000000000001,16.184465657572673,5.525759682424719,1.521572470664978,0.025532894705229126,0.37606896769515785,0.37693473861575827,0.7802032384134199,0.6905118914832276,1,29.537678093362583,2,"[{""id"":""0"",""x_m"":15.3283365992427,""y_m"":35.77764812025389},{""id"":""1"",""x_m"":15.735432353285328,""y_m"":35.060024464855864}]"
7,0.8,16.185682664252973,5.567516102342509,1.5617460012435913,0.012170066802994484,0.4175641991778978,0.41774151213527777,0.7898017092083774,0.6603574061480924,1,29.468282092648828,2,"[{""id"":""0"",""x_m"":15.303161382851613,""y_m"":35.717721427706564},{""id"":""1"",""x_m"":15.743634038303941,""y_m"":35.0324824607863}]"
8,0.9,16.185124828276393,5.613059447217524,1.6043423414230347,-0.005578359765792129,0.455433448750151,0.4554676106356335,0.8002032850694035,0.6276798918373361,1,29.39033703781086,2,"[{""id"":""0"",""x_m"":15.277668413447886,""y_m"":35.65792921658354},{""id"":""1"",""x_m"":15.748859729706014,""y_m"":35.00015838467452}]"
9,1.0,16.182390956666886,5.662032561228605,1.6487823724746704,-0.027338716095073323,0.4897311401108073,0.49049362380357014,0.8112521995605526,0.5929687032418003,1,29.30478679350101,2,"[{""id"":""0"",""x_m"":15.252051467710249,""y_m"":35.59819001596054},{""id"":""1"",""x_m"":15.751154773745077,""y_m"":34.963646243193125}]"
