# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,14.256663430291058,3.705704021992158,1.3656606674194336,0.00953965677414459,0.04573168945547934,0.04671608365243049,0.9343216730486021,0.20633454945058016,2,8.11300614295972,4,"[{""id"":""0"",""x_m"":17.418874240809476,""y_m"":13.537857114620529},{""id"":""1"",""x_m"":15.058753434454054,""y_m"":24.09903996364968},{""id"":""2"",""x_m"":19.315194075648396,""y_m"":10.048584785941832},{""id"":""3"",""x_m"":13.461246461617414,""y_m"":29.639977752091532}]"
1,0.2,14.259403536996935,3.718973027739296,1.3686484098434448,0.0274010670587721,0.1326900574713763,0.13548974067329406,0.9345836346735183,0.20551157273422094,2,8.059921542445183,4,"[{""id"":""0"",""x_m"":17.439556393075737,""y_m"":13.486726878148646},{""id"":""1"",""x_m"":15.073770738711193,""y_m"":24.045578986087655},{""id"":""2"",""x_m"":19.317897915434756,""y_m"":9.99384114537212},{""id"":""3"",""x_m"":13.476489063144891,""y_m"":29.5861323521703}]"
2,0.30000000000000004,14.263679005430784,3.740088231334747,1.3733805418014526,0.042754684338497384,0.2111520359545116,0.21543710293405802,0.9353430918883424,0.2031256675274138,2,7.998701742928483,4,"[{""id"":""0"",""x_m"":17.460927743760593,""y_m"":13.433901655206073},{""id"":""1"",""x_m"":15.0893244831012,""y_m"":23.990228044126678},{""id"":""2"",""x_m"":19.320619235018707,""y_m"":9.937392894388065},{""id"":""3"",""x_m"":13.492315173975316,""y_m"":29.53025619913245}]"
3,0.4,14.269229255878109,3.7682961728386846,1.3796517848968506,0.055502504473246006,0.2820794150393757,0.2874879552116211,0.9365481595310492,0.1993398358740075,2,7.930452514947208,4,"[{""id"":""0"",""x_m"":17.482849618026677,""y_m"":13.379722459565246},{""id"":""1"",""x_m"":15.105306852922746,""y_m"":23.933366220766636},{""id"":""2"",""x_m"":19.3233570980304,""y_m"":9.879586449614411},{""id"":""3"",""x_m"":13.50860714724485,""y_m"":29.472760093988114}]"
4,0.5,14.275793888869504,3.8029268658556035,1.3872642517089844,0.06564632991395314,0.346306930169189,0.35247401395617683,0.9381489257833059,0.19431088037580313,2,7.856162827974737,4,"[{""id"":""0"",""x_m"":17.50521104705145,""y_m"":13.324462123055671},{""id"":""1"",""x_m"":15.121631580510526,""y_m"":23.87529680167495},{""id"":""2"",""x_m"":19.326111626723247,""y_m"":9.820699304754559},{""id"":""3"",""x_m"":13.52527084101958,""y_m"":29.41397271122951}]"
5,0.6000000000000001,14.28312011913858,3.8433827501080957,1.3960278034210205,0.07326230269075751,0.40455884252492247,0.4111389327960284,0.9400974789260845,0.1881893201373206,2,7.776720252112889,4,"[{""id"":""0"",""x_m"":17.527923231489716,""y_m"":13.26833892967162},{""id"":""1"",""x_m"":15.138229639576938,""y_m"":23.816262428459233},{""id"":""2"",""x_m"":19.32888376865058,""y_m"":9.760953795130376},{""id"":""3"",""x_m"":13.5422309239076,""y_m"":29.35415699279061}]"
6,0.7000000000000001,14.290968169275434,3.8891291743446232,1.40576171875,0.07848050136853857,0.4574642423652753,0.46414730650720415,0.9423478608894638,0.18111953669339753,2,7.692924302031563,4,"[{""id"":""0"",""x_m"":17.550915111141332,""y_m"":13.211527524833253},{""id"":""1"",""x_m"":15.1550457999281,""y_m"":23.756457222621616},{""id"":""2"",""x_m"":19.331675131506216,""y_m"":9.700528114161603},{""id"":""3"",""x_m"":13.559427118187633,""y_m"":29.293523270673543}]"
7,0.8,14.29911503741607,3.939686258219779,1.4162938594818115,0.08146868140636698,0.5055708387515567,0.5120927836301198,0.9448562945832921,0.17323905982884913,2,7.605497929465689,4,"[{""id"":""0"",""x_m"":17.57412981986094,""y_m"":13.15416764394074},{""id"":""1"",""x_m"":15.172035870630877,""y_m"":23.69603648578413},{""id"":""2"",""x_m"":19.334487872466774,""y_m"":9.639565131243339},{""id"":""3"",""x_m"":13.576811193227096,""y_m"":29.232239770917}]"
8,0.9,14.307356976005451,3.994621971058841,1.4274625778198242,0.08241938589380382,0.5493571283906196,0.5555053642267547,0.9475808846096253,0.16467950781807694,0,9.678167772982018,4,"[{""id"":""0"",""x_m"":17.597521701269326,""y_m"":13.096366173277282},{""id"":""1"",""x_m"":15.189164494062084,""y_m"":23.635124460711715},{""id"":""2"",""x_m"":15.156687165562056,""y_m"":34.5914173314759},{""id"":""3"",""x_m"":13.594344568314261,""y_m"":29.17044098899711}]"
9,1.0,14.315510955568124,4.053546269058573,1.4391155242919922,0.0815397956267283,0.5892429799973176,0.5948579895630283,0.9504823505693019,0.1555642836745159,0,9.573445672668742,4,"[{""id"":""0"",""x_m"":17.62105434963696,""y_m"":13.038213481452571},{""id"":""1"",""x_m"":15.206403380760447,""y_m"":23.573820540798305},{""id"":""2"",""x_m"":15.14833947833363,""y_m"":34.5272916012466},{""id"":""3"",""x_m"":13.611996379026081,""y_m"":29.108234430541465}]"
10,1.1,14.323415335103613,4.116106138210425,1.451111078262329,0.0790437953548917,0.6255986915185208,0.6305724735617558,0.9535233085314262,0.1460108324808309,0,9.465498977444213,4,"[{""id"":""0"",""x_m"":17.644698630171284,""y_m"":12.979781908786753},{""id"":""1"",""x_m"":15.223729896998476,""y_m"":23.512204238184278},{""id"":""2"",""x_m"":15.13612992243701,""y_m"":34.463448616159695},{""id"":""3"",""x_m"":13.629741938970826,""y_m"":29.0457059883073}]"
11,1.2000000000000002,14.330929918283129,4.181981402038403,1.4633177518844604,0.0751458317951581,0.6587526382797826,0.6630248369984041,0.9566689073249522,0.1361286424199486,0,9.354764679515624,4,"[{""id"":""0"",""x_m"":17.668431225554414,""y_m"":12.921129371553253},{""id"":""1"",""x_m"":15.241125934592274,""y_m"":23.45033915866843},{""id"":""2"",""x_m"":15.120894034665037,""y_m"":34.40025947370785},{""id"":""3"",""x_m"":13.647490068887828,""y_m"":28.983175964443166}]"
12,1.3,14.337935540916993,4.250881171249335,1.4756144285202026,0.0700562263386395,0.6889976921093233,0.6925501386764604,0.9598868002330234,0.12601933369991336,0,9.241638790848675,4,"[{""id"":""0"",""x_m"":17.692233472991656,""y_m"":12.862302245810643},{""id"":""1"",""x_m"":15.258577006828189,""y_m"":23.388276182471348},{""id"":""2"",""x_m"":15.103237762171629,""y_m"":34.33770345048355},{""id"":""3"",""x_m"":13.665239939427899,""y_m"":28.92064643465275}]"
