# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,16.165729981925267,5.376392857254384,1.3685662746429443,0.007597685815916577,0.03668873110616033,0.037467156549937396,0.7493431309986814,0.7874617782263615,3,5.925236278401938,4,"[{""id"":""0"",""x_m"":15.228009166001693,""y_m"":33.59031337351459},{""id"":""1"",""x_m"":13.739107125605345,""y_m"":33.96152704434394},{""id"":""2"",""x_m"":14.883319118670546,""y_m"":35.3728043649828},{""id"":""3"",""x_m"":17.64879336931141,""y_m"":11.113024965371933}]"
1,0.2,16.16785262878321,5.387054131365211,1.3799686431884766,0.021226468579413904,0.10661274110827179,0.1087052875207652,0.7503538015178481,0.7842866631481478,3,5.879237011221484,4,"[{""id"":""0"",""x_m"":15.23359408543871,""y_m"":33.60851813435376},{""id"":""1"",""x_m"":13.777668929933416,""y_m"":33.983926778657384},{""id"":""2"",""x_m"":14.884939677003159,""y_m"":35.307824569733114},{""id"":""3"",""x_m"":17.680784705706458,""y_m"":11.068292056741443}]"
2,0.30000000000000004,16.17098074195851,5.4040706607567195,1.3980275392532349,0.03128113175300484,0.17016529391508328,0.17301657856100244,0.7532825943282893,0.7750855891709794,3,5.826082190461126,4,"[{""id"":""0"",""x_m"":15.234750506842307,""y_m"":33.614445316460525},{""id"":""1"",""x_m"":13.807446364873385,""y_m"":34.00183384331516},{""id"":""2"",""x_m"":14.878631721553496,""y_m"":35.243131373042544},{""id"":""3"",""x_m"":17.713848421497197,""y_m"":11.02214800211143}]"
3,0.4,16.174683718601774,5.426899827084496,1.421958565711975,0.03702976643264577,0.22829166327776207,0.2312753491494141,0.7579259745621222,0.7604979799405456,3,5.766684558822596,4,"[{""id"":""0"",""x_m"":15.231070092848482,""y_m"":33.61146747880735},{""id"":""1"",""x_m"":13.829299559624193,""y_m"":34.01414221585423},{""id"":""2"",""x_m"":14.869198443699547,""y_m"":35.17881952911835},{""id"":""3"",""x_m"":17.7477678581715,""y_m"":10.974877574948769}]"
4,0.5,16.17849012511859,5.455068657062884,1.4510046243667603,0.03806406516815741,0.2816882997838821,0.28424843234793745,0.7640863877070624,0.7411444712613235,3,5.701865687389587,4,"[{""id"":""0"",""x_m"":15.223076983188896,""y_m"":33.60157734290752},{""id"":""1"",""x_m"":13.847241358876273,""y_m"":34.01781593358681},{""id"":""2"",""x_m"":14.858088146625402,""y_m"":35.11477609620814},{""id"":""3"",""x_m"":17.782369441312902,""y_m"":10.92670858089877}]"
5,0.6000000000000001,16.18191236810215,5.4881527856552035,1.4844399690628052,0.034222429835608636,0.3308412859231957,0.3326065711545202,0.7715732531204536,0.7176237898801983,3,5.6323832242348635,4,"[{""id"":""0"",""x_m"":15.211770656475439,""y_m"":33.58574515175069},{""id"":""1"",""x_m"":13.858826619561006,""y_m"":34.01654109579234},{""id"":""2"",""x_m"":14.846198303316696,""y_m"":35.05087279718458},{""id"":""3"",""x_m"":17.817514092516994,""y_m"":10.877823256447783}]"
6,0.7000000000000001,16.184465657572673,5.525759682424719,1.521572470664978,0.025532894705229126,0.37606896769515785,0.37693473861575827,0.7802032384134199,0.6905118914832276,3,5.558952854662628,4,"[{""id"":""0"",""x_m"":15.197649294128546,""y_m"":33.565389072770756},{""id"":""1"",""x_m"":13.865723292492648,""y_m"":34.01014075697823},{""id"":""2"",""x_m"":14.833497193594484,""y_m"":34.98712578304412},{""id"":""3"",""x_m"":17.85309035278511,""y_m"":10.828367386836671}]"
7,0.8,16.185682664252973,5.567516102342509,1.5617460012435913,0.012170066802994484,0.4175641991778978,0.41774151213527777,0.7898017092083774,0.6603574061480924,3,5.482265177041847,4,"[{""id"":""0"",""x_m"":15.181272569843165,""y_m"":33.541454237927994},{""id"":""1"",""x_m"":13.8689985283803,""y_m"":33.99872884940812},{""id"":""2"",""x_m"":14.820063543967668,""y_m"":34.92352910814909},{""id"":""3"",""x_m"":17.88900887621837,""y_m"":10.778457599522964}]"
8,0.9,16.185124828276393,5.613059447217524,1.6043423414230347,-0.005578359765792129,0.455433448750151,0.4554676106356335,0.8002032850694035,0.6276798918373361,3,5.40299792931853,4,"[{""id"":""0"",""x_m"":15.163163793946527,""y_m"":33.51459199126374},{""id"":""1"",""x_m"":13.86941219637015,""y_m"":33.98256986386824},{""id"":""2"",""x_m"":14.805976642750336,""y_m"":34.86007393330816},{""id"":""3"",""x_m"":17.925198020829534,""y_m"":10.728187198190929}]"
9,1.0,16.182390956666886,5.662032561228605,1.6487823724746704,-0.027338716095073323,0.4897311401108073,0.49049362380357014,0.8112521995605526,0.5929687032418003,3,5.3218241174438115,4,"[{""id"":""0"",""x_m"":15.143770073549263,""y_m"":33.4852542923586},{""id"":""1"",""x_m"":13.867544532153941,""y_m"":33.96201395829761},{""id"":""2"",""x_m"":14.791300142613615,""y_m"":34.796752528208955},{""id"":""3"",""x_m"":17.961600317739357,""y_m"":10.677630829279854}]"
