# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,15.492073968864835,3.5064914836071783,1.36807382106781,0.010151183002040653,0.048958691604852334,0.04999999999999957,2.0,0.6889719334587143,1,12.180278528036212,2,"[{""id"":""0"",""x_m"":16.039172414095223,""y_m"":22.294535017604055},{""id"":""1"",""x_m"":18.163249816506518,""y_m"":15.39026212307661}]"
1,0.2,15.495020757432698,3.521199183533962,1.3780415058135986,0.029467885678631234,0.14707699926783668,0.15000000000000038,2.0,0.684476580983326,1,12.114414170280352,2,"[{""id"":""0"",""x_m"":16.05239295819358,""y_m"":22.240673480555767},{""id"":""1"",""x_m"":18.173057726103732,""y_m"":15.335899716493765}]"
2,0.30000000000000004,15.499616458208674,3.545773144028308,1.3937922716140747,0.045957007759760415,0.24573960494346014,0.24999999999999709,2.0,0.6715207386630002,1,12.036879596704825,2,"[{""id"":""0"",""x_m"":16.066070581332692,""y_m"":22.184926419174587},{""id"":""1"",""x_m"":18.183165050594745,""y_m"":15.2796999112223}]"
3,0.4,15.505420848001325,3.5802884892987086,1.4145814180374146,0.05804389792650966,0.34515345270400566,0.3499999999999991,2.0,0.6511563509212834,1,11.948054771567254,2,"[{""id"":""0"",""x_m"":16.080113485859595,""y_m"":22.127671829156807},{""id"":""1"",""x_m"":18.193511725553122,""y_m"":15.222031497044318}]"
4,0.5,15.51186381733938,3.6248248581011704,1.4396694898605347,0.06442969338054994,0.4453636880246181,0.4500000000000012,2.0,0.6244111128236192,1,11.848279416080752,2,"[{""id"":""0"",""x_m"":16.094448228035002,""y_m"":22.069212127952166},{""id"":""1"",""x_m"":18.2040497444336,""y_m"":15.163189562663021}]"
5,0.6000000000000001,15.518272972951726,3.6794501519158196,1.4683321714401245,0.06409155612345785,0.546252938146492,0.5500000000000014,2.0,0.5922786331870658,1,11.73787895039234,2,"[{""id"":""0"",""x_m"":16.10901604869591,""y_m"":22.009789265287967},{""id"":""1"",""x_m"":18.2147407396227,""y_m"":15.103410228761676}]"
6,0.7000000000000001,15.523901151238864,3.74420602893998,1.499868631362915,0.05628178287137686,0.647558770241603,0.6499999999999985,2.0,0.5557075105202864,1,11.617186274145375,2,"[{""id"":""0"",""x_m"":16.123769937491176,""y_m"":21.949596812668027},{""id"":""1"",""x_m"":18.22555404869098,""y_m"":15.042882435930325}]"
7,0.8,15.527953535982666,3.819096470104979,1.533607840538025,0.040523847438027616,0.748904411649991,0.7499999999999998,2.0,0.5155925973190816,1,11.486558830566187,2,"[{""id"":""0"",""x_m"":16.138672284034566,""y_m"":21.888789635832214},{""id"":""1"",""x_m"":18.23646516853367,""y_m"":14.981757376196947}]"
8,0.9,15.52961390065043,3.9040802520234723,1.5689148902893066,0.016603646677637585,0.8498378191849332,0.8499999999999994,2.0,0.47277029294872897,1,11.346390764428223,2,"[{""id"":""0"",""x_m"":16.153692998639176,""y_m"":21.827491633409114},{""id"":""1"",""x_m"":18.247454519604712,""y_m"":14.920156039211227}]"
9,1.0,15.528069385072579,3.999067695781212,1.6051952838897705,-0.01544515577851513,0.949874437577396,0.9499999999999984,2.0,0.42801082279124136,1,11.197120320995339,2,"[{""id"":""0"",""x_m"":16.16880800875493,""y_m"":21.765801928383294},{""id"":""1"",""x_m"":18.258506458051592,""y_m"":14.85817524996579}]"
10,1.1,15.52253318869824,4.10392164434637,1.6418976783752441,-0.05536196374338331,1.0485394856515784,1.05,2.0,0.38201500920159415,1,11.039232919854527,2,"[{""id"":""0"",""x_m"":16.183998055998877,""y_m"":21.703799821702695},{""id"":""1"",""x_m"":18.269608486031046,""y_m"":14.795892499599567}]"
11,1.2000000000000002,15.512309264294418,4.217964273962601,1.6785169839859009,-0.10223924403822693,1.1404262961623157,1.1450000000000027,2.0,0.3354113214741945,1,10.873730783009439,2,"[{""id"":""0"",""x_m"":16.199247733684043,""y_m"":21.64154875550925},{""id"":""1"",""x_m"":18.280750620456903,""y_m"":14.73336981054826}]"
12,1.3,15.496875296264042,4.34004250761151,1.7145949602127075,-0.15433968030375667,1.2207823364890835,1.2305000000000048,2.0,0.2887166909649157,1,10.70205094742992,2,"[{""id"":""0"",""x_m"":16.21454471676647,""y_m"":21.579099483997314},{""id"":""1"",""x_m"":18.291924888402605,""y_m"":14.670656829077183}]"
13,1.4000000000000001,15.47586952763325,4.469089060100251,1.749720573425293,-0.2100576863079162,1.2904655248874164,1.3074499999999962,2.0,0.24235472872477204,1,10.525525959866519,2,"[{""id"":""0"",""x_m"":16.229879145742277,""y_m"":21.516492610318092},{""id"":""1"",""x_m"":18.303124923753828,""y_m"":14.607793299643443}]"
14,1.5,15.449081719580562,4.604128239266826,1.7835288047790527,-0.26787808052688433,1.3503917916657482,1.376704999999999,2.0,0.19669946624919077,1,10.345381191556404,2,"[{""id"":""0"",""x_m"":16.24524313371713,""y_m"":21.453760616275993},{""id"":""1"",""x_m"":18.314345644801413,""y_m"":14.544811044659875}]"
15,1.6,15.416440578815486,4.744280866254182,1.8157001733779907,-0.3264114076507596,1.4015262698735587,1.439034499999997,2.0,0.15207743244387872,1,10.162732570326895,2,"[{""id"":""0"",""x_m"":16.260630372023392,""y_m"":21.390929486223005},{""id"":""1"",""x_m"":18.325582996538003,""y_m"":14.481735548530791}]"
16,1.7000000000000002,15.377998890723621,4.888767561777987,1.8459585905075073,-0.3844168809186499,1.4448669552380533,1.4951310500000012,2.0,0.1087622547168896,1,9.978585396124641,2,"[{""id"":""0"",""x_m"":16.27603581468337,""y_m"":21.328020006283104},{""id"":""1"",""x_m"":18.336833744678216,""y_m"":14.418587225065192}]"
17,1.8,15.333917452471557,5.0369099767734555,1.8740698099136353,-0.4408143825206423,1.481424149954682,1.545617944999995,2.0,0.06697508737360547,1,9.793834645000304,2,"[{""id"":""0"",""x_m"":16.291455425955615,""y_m"":21.26504880381822},{""id"":""1"",""x_m"":18.348095311025556,""y_m"":14.355382431559757}]"
18,1.9000000000000001,15.284448733389763,5.188129825248599,1.8998392820358276,-0.49468719081794177,1.512198484751437,1.5910561505000032,2.0,0.026883175388215275,1,9.60926693925239,2,"[{""id"":""0"",""x_m"":16.30688597835268,""y_m"":21.20202917906954},{""id"":""1"",""x_m"":18.359365641890605,""y_m"":14.292134280191743}]"
19,2.0,15.229921010183103,5.341945796147115,1.9231091737747192,-0.5452772320665922,1.5381597089851606,1.6319505354499928,2.0,-0.011402221351668018,1,9.425564175108388,2,"[{""id"":""0"",""x_m"":16.322324891040044,""y_m"":21.138971770524865},{""id"":""1"",""x_m"":18.370643102928998,""y_m"":14.22885328723897}]"
20,2.1,15.170723545421176,5.497968578937451,1.943755865097046,-0.5919746476192778,1.5602278279033577,1.6687554819050026,2.0,-0.047828013229245014,1,9.243308655424457,2,"[{""id"":""0"",""x_m"":16.337770100543104,""y_m"":21.07588508725555},{""id"":""1"",""x_m"":18.381926395097935,""y_m"":14.165547892544714}]"
21,2.2,15.10729321062009,5.655894339074368,1.9616867303848267,-0.6343033480108495,1.5792576013691662,1.7018799337144983,2.0,-0.08240444875705832,1,9.062989471620709,2,"[{""id"":""0"",""x_m"":16.353219957303136,""y_m"":21.01277593482011},{""id"":""1"",""x_m"":18.393214487493484,""y_m"":14.102224875165087}]"
22,2.3000000000000003,15.040102809476247,5.815497032524761,1.9768365621566772,-0.6719040114384356,1.5960269345039357,1.7316919403430542,2.0,-0.1152098498734595,1,8.885009811685224,2,"[{""id"":""0"",""x_m"":16.368673142914485,""y_m"":20.94964975601404},{""id"":""1"",""x_m"":18.404506563681114,""y_m"":14.038889685951625}]"
23,2.4000000000000004,14.969651238273192,5.976619962636752,1.9891632795333862,-0.704515712030549,1.6112293011199075,1.7585227463087467,2.0,-0.14639900927561333,1,8.709694833630149,2,"[{""id"":""0"",""x_m"":16.38412789799428,""y_m"":20.88651378730029},{""id"":""1"",""x_m"":18.41580197881154,""y_m"":13.975546713673463}]"
24,2.5,14.896455535222362,6.139166968640605,1.998644232749939,-0.7319570305083012,1.6254700600385341,1.7826704716778718,2.0,-0.1762185198519326,1,8.537299727074467,2,"[{""id"":""0"",""x_m"":16.39958188289224,""y_m"":20.823377630062353},{""id"":""1"",""x_m"":18.427100225357417,""y_m"":13.912199497964467}]"
25,2.6,14.82104482267482,6.303093603501781,2.0052709579467773,-0.754107125475425,1.639266348611752,1.8044034245100828,2.0,-0.20502819110279558,1,8.368017579163924,2,"[{""id"":""0"",""x_m"":16.41503510649878,""y_m"":20.7602412864862},{""id"":""1"",""x_m"":18.438400905740636,""y_m"":13.848850899724818}]"
26,2.7,14.743956137914706,6.468398618335271,2.009042978286743,-0.7708868476011332,1.6530501483349003,1.8239630820590773,2.0,-0.23333693399006927,1,8.201986654403004,2,"[{""id"":""0"",""x_m"":16.43048757681991,""y_m"":20.697104758541002},{""id"":""1"",""x_m"":18.44970371046697,""y_m"":13.785503237481288}]"
27,2.8000000000000003,14.66598499478045,6.6352344138467165,2.006930112838745,-0.7797114313425624,1.668357955114459,1.8415667738531682,2.0,-0.8682014025392197,1,8.039072968152343,2,"[{""id"":""0"",""x_m"":16.445939301177148,""y_m"":20.633968048028116},{""id"":""1"",""x_m"":18.461008400663218,""y_m"":13.722158396512235}]"
28,2.9000000000000004,14.588421214269475,6.8040052129129425,1.996247410774231,-0.7756378051097457,1.6877079906622594,1.8574100964678493,2.0,-0.8880574638968777,1,7.878647506812064,2,"[{""id"":""0"",""x_m"":16.46139028636835,""y_m"":20.570831156620468},{""id"":""1"",""x_m"":18.472314794133105,""y_m"":13.658817916181357}]"
29,3.0,14.512756169929565,6.97519590416295,1.9776955842971802,-0.7566504433991028,1.7119069125000763,1.871669086821066,2.0,-0.899419486052565,1,7.71984348635758,2,"[{""id"":""0"",""x_m"":16.47684053879708,""y_m"":20.507694085894244},{""id"":""1"",""x_m"":18.483622754225774,""y_m"":13.595483059836585}]"
30,3.1,14.440398971458915,7.149201422534017,1.9520578384399414,-0.7235719847064992,1.7400551837106715,1.884502178138959,2.0,-0.888782691613456,1,7.561834054586418,2,"[{""id"":""0"",""x_m"":16.492290064576782,""y_m"":20.444556837354398},{""id"":""1"",""x_m"":18.49493218095256,""y_m"":13.532154870759692}]"
31,3.2,14.372655529612098,7.326291671981219,1.920257568359375,-0.6774344184681702,1.770902494472013,1.896051960325061,2.0,-0.8564885109968801,1,7.403875628643273,2,"[{""id"":""0"",""x_m"":16.507738869614634,""y_m"":20.381419412455195},{""id"":""1"",""x_m"":18.50624300390101,""y_m"":13.468834216955543}]"
32,3.3000000000000003,14.310703010763627,7.506589420328627,1.883280873298645,-0.6195251884847153,1.8029774834740842,1.9064467642925578,2.0,-0.8147918871821367,1,7.245343931360775,2,"[{""id"":""0"",""x_m"":16.523186959679173,""y_m"":20.318281812616764},{""id"":""1"",""x_m"":18.517555176585706,""y_m"":13.405521827012441}]"
33,3.4000000000000004,14.255572377182988,7.690065821098893,1.8421024084091187,-0.5513063358063874,1.8347640077026561,1.9158020878632995,2.0,-0.765103154862858,1,7.085752541567916,2,"[{""id"":""0"",""x_m"":16.53863434045483,""y_m"":20.255144039238445},{""id"":""1"",""x_m"":18.528868671947933,""y_m"":13.342218318819064}]"
34,3.5,14.208135866162575,7.876549267606606,1.797672152519226,-0.4743651102041291,1.8648344650771342,1.9242218790769678,2.0,-0.7088206559744874,1,6.924759322309443,2,"[{""id"":""0"",""x_m"":16.554080977941283,""y_m"":20.192006255756496},{""id"":""1"",""x_m"":18.540183478774004,""y_m"":13.278924222566614}]"
35,3.6,14.169096047323988,8.065743329387274,1.7509043216705322,-0.3903981883858698,1.8919406178066822,1.9317996911692732,2.0,-0.6473116906659286,1,6.762166560943962,2,"[{""id"":""0"",""x_m"":16.569526648347402,""y_m"":20.128869401409307},{""id"":""1"",""x_m"":18.55149959884841,""y_m"":13.215639999179285}]"
36,3.7,14.138978125634045,8.257251488640037,1.7026671171188354,-0.3011792168994276,1.9150815925276277,1.9386197220523438,2.0,-0.5818966197358653,1,6.597916140755824,2,"[{""id"":""0"",""x_m"":16.584971173864346,""y_m"":20.06573422768064},{""id"":""1"",""x_m"":18.562817044694913,""y_m"":13.152366055087752}]"
37,3.8000000000000003,14.118126766005952,8.450606208927812,1.6537750959396362,-0.20851359628093036,1.9335472028777545,1.9447577498471103,2.0,-0.5138342829723883,1,6.432081082135982,2,"[{""id"":""0"",""x_m"":16.600414413467032,""y_m"":20.002601335987542},{""id"":""1"",""x_m"":18.57413583778826,""y_m"":13.089102754077476}]"
38,3.9000000000000004,14.106708168359619,8.645299848892048,1.6049814224243164,-0.1141859764633324,1.9469363996423539,1.9502819748624085,2.0,-0.44431122751049834,1,6.264854792331009,2,"[{""id"":""0"",""x_m"":16.615856255554775,""y_m"":19.939471207832906},{""id"":""1"",""x_m"":18.585456007142778,""y_m"":13.025850426797524}]"
39,4.0,14.104717524856579,8.840815092998183,1.5569735765457153,-0.019906435030403458,1.9551524410613474,1.955253777376166,2.0,-0.3744306994977913,1,6.096539325213304,2,"[{""id"":""0"",""x_m"":16.631296612063434,""y_m"":19.87634422892933},{""id"":""1"",""x_m"":18.596777588203153,""y_m"":12.962609378398541}]"
40,4.1000000000000005,14.11199143720713,9.03665289374823,1.5103682279586792,0.07273912350552081,1.9583780075004675,1.959728399638545,2.0,-0.3052064563995387,1,5.927533861992291,2,"[{""id"":""0"",""x_m"":16.646735413754907,""y_m"":19.81322070849974},{""id"":""1"",""x_m"":18.6081006219776,""y_m"":12.899379894674892}]"
41,4.2,14.128224431925721,9.232356365521213,1.4657095670700073,0.16232994718590632,1.957034717729833,1.963755559674693,2.0,-0.23755477219083665,1,5.758324475114949,2,"[{""id"":""0"",""x_m"":16.662172606448586,""y_m"":19.750100894719147},{""id"":""1"",""x_m"":18.61942515436587,""y_m"":12.836162247011076}]"
42,4.3,14.152988426477526,9.42752958439027,1.4234676361083984,0.24763994551804558,1.951732188690567,1.9673800037072278,2.0,-0.17229246964536182,1,5.5894760341862115,2,"[{""id"":""0"",""x_m"":16.677608148006495,""y_m"":19.68698498706919},{""id"":""1"",""x_m"":18.630751235644126,""y_m"":12.772956696372603}]"
43,4.4,14.185753881456922,9.62185077215201,1.384037733078003,0.3276545497939587,1.9432118776174079,1.9706420033364898,2.0,-0.11013293057752138,1,5.421626863149512,2,"[{""id"":""0"",""x_m"":16.69304200592144,""y_m"":19.62387314622274},{""id"":""1"",""x_m"":18.642078920076404,""y_m"":12.70976349653356}]"
44,4.5,14.22591140762516,9.815079824152745,1.347741723060608,0.40157526168238533,1.9322905200073492,1.9735778030028481,2.0,-0.05168532830525652,1,5.255486473909515,2,"[{""id"":""0"",""x_m"":16.708474155387623,""y_m"":19.56076550195247},{""id"":""1"",""x_m"":18.65340826562868,""y_m"":12.64658289669475}]"
45,4.6000000000000005,14.272792750037054,10.007060540671263,1.3148295879364014,0.46881342411893456,1.9198071651851834,1.9762200227025557,2.0,0.0025446740631505094,1,5.091836391170087,2,"[{""id"":""0"",""x_m"":16.72390457775725,""y_m"":19.497662159458603},{""id"":""1"",""x_m"":18.66473933376637,""y_m"":12.583415143615587}]"
46,4.7,14.325671519476776,10.197723429055781,1.2856792211532593,0.5287876943972236,1.9066288838451761,1.9785980204323044,2.0,0.09156209513507241,1,4.931547866216276,2,"[{""id"":""0"",""x_m"":16.739333259306015,""y_m"":19.43456320443186},{""id"":""1"",""x_m"":18.676072189320163,""y_m"":12.520260483358364}]"
47,4.800000000000001,14.383771054363315,10.387084678903365,1.2605124711990356,0.5809953488653896,1.893612498475843,1.9807382183890783,2.0,0.12216360036170903,1,4.775596743818398,2,"[{""id"":""0"",""x_m"":16.754760190245694,""y_m"":19.37146870710466},{""id"":""1"",""x_m"":18.687406900408227,""y_m"":12.457119162723908}]"
