# AI-GENERATED NEEDS-REVIEW
step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,8.112717132200597,2
1,0.2,8.058402095346878,2
2,0.30000000000000004,7.994370155802724,2
3,0.4,7.921239690128643,2
4,0.5,7.839627464276993,2
5,0.6000000000000001,7.750141876290756,2
6,0.7000000000000001,7.653432989435303,2
7,0.8,7.550258708147483,2
8,0.9,9.579309639463135,0
9,1.0,9.44336394171322,0
10,1.1,9.29926435815777,0
11,1.2000000000000002,9.147835236646687,0
12,1.3,8.990281622783764,0
13,1.4000000000000001,8.827674694173774,0
14,1.5,8.660962585376954,0
15,1.6,8.490981617440378,0
16,1.7000000000000002,8.318467728556211,0
17,1.8,8.144067887768722,0
18,1.9000000000000001,7.968351279871626,0
19,2.0,7.791820068463333,0
20,2.1,7.614919569306263,0
21,2.2,7.438047692415855,0
22,2.3000000000000003,7.26156353321114,0
23,2.4000000000000004,7.085795006521226,0
24,2.5,6.9110454179753695,0
25,2.6,6.737549467706439,0
26,2.7,6.565432533209152,0
27,2.8000000000000003,6.394781375818512,0
28,2.9000000000000004,6.225713482140061,0
29,3.0,6.058386417346544,0
30,3.1,5.893005187520511,0
31,3.2,5.729828021354547,0
32,3.3000000000000003,5.569170972833462,0
33,3.4000000000000004,5.411411702669713,0
34,3.5,5.256992718741982,0
35,3.6,5.106424245461926,0
36,3.7,4.960286749677781,0
37,3.8000000000000003,4.819232977373318,0
38,3.9000000000000004,4.68398915433683,0
39,4.0,4.555354783363739,0
40,4.1000000000000005,4.434200246466135,0
41,4.2,4.321461221849291,0
42,4.3,4.218128798531165,0
43,4.4,4.125234180465308,0
44,4.5,4.043827093575517,0
45,4.6000000000000005,3.9749475150558413,0
46,4.7,3.919591169113813,0
47,4.800000000000001,3.8786703336170723,0
48,4.9,3.8529727181378055,0
49,5.0,3.843122226145348,0
50,5.1000000000000005,3.8494619420175726,0
51,5.2,3.8719517441824345,0
52,5.300000000000001,3.91026052676398,0
53,5.4,3.963874301630093,0
54,5.5,4.0321252620961845,0
55,5.6000000000000005,4.114226521763879,0
56,5.7,4.209308719274748,0
57,5.800000000000001,4.316455125165067,0
58,5.9,4.434732787080937,0
59,6.0,4.563218295564116,0
60,6.1000000000000005,4.7010176593936235,0
61,6.2,4.847280480801814,0
62,6.300000000000001,5.001209087203345,0
63,6.4,5.162063496094666,0
64,6.5,5.329163133781041,0
65,6.6000000000000005,5.50188616250673,0
66,6.7,5.636563297432575,1
67,6.800000000000001,5.383426106005727,1
68,6.9,5.13078341075076,1
69,7.0,4.878710948741964,1
70,7.1000000000000005,4.627299021173855,1
71,7.2,4.376656846872682,1
72,7.300000000000001,4.126918425365812,1
73,7.4,3.8782505561773775,1
74,7.5,3.6308639872171806,1
75,7.6000000000000005,3.385029180778447,1
76,7.7,3.141099016949025,1
77,7.800000000000001,2.902767725579886,1
78,7.9,2.6708767275019016,1
79,8.0,2.4467430507174686,1
80,8.1,2.23232165264199,1
81,8.200000000000001,2.0304384136197964,1
82,8.3,1.8450930632629126,1
83,8.4,1.6817778184985694,1
84,8.5,1.5476175086829846,1
85,8.6,1.4509053472329907,1
86,8.700000000000001,1.399449095153561,1
