# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,16.16598152445559,5.377620641149821,1.3696290254592896,0.010113111119132157,0.04896657006052685,0.050000000000003986,2.0,1.0,3,5.923984615911019,4,"[{""id"":""0"",""x_m"":15.228009166001693,""y_m"":33.59031337351459},{""id"":""1"",""x_m"":13.739107125605345,""y_m"":33.96152704434394},{""id"":""2"",""x_m"":14.883319118670546,""y_m"":35.3728043649828},{""id"":""3"",""x_m"":17.64879336931141,""y_m"":11.113024965371933}]"
1,0.2,16.16887208863764,5.3923394943221785,1.3841290473937988,0.028905641820529127,0.14718853172357882,0.14999999999999897,2.0,1.0,3,5.873867316554374,4,"[{""id"":""0"",""x_m"":15.23359408543871,""y_m"":33.60851813435376},{""id"":""1"",""x_m"":13.777668929933416,""y_m"":33.983926778657384},{""id"":""2"",""x_m"":14.884939677003159,""y_m"":35.307824569733114},{""id"":""3"",""x_m"":17.680784705706458,""y_m"":11.068292056741443}]"
2,0.30000000000000004,16.173228296139246,5.416957037989306,1.4071789979934692,0.04356207501604814,0.24617543667127428,0.24999999999999276,2.0,1.0,3,5.813060821540943,4,"[{""id"":""0"",""x_m"":15.234750506842307,""y_m"":33.614445316460525},{""id"":""1"",""x_m"":13.807446364873385,""y_m"":34.00183384331516},{""id"":""2"",""x_m"":14.878631721553496,""y_m"":35.243131373042544},{""id"":""3"",""x_m"":17.713848421497197,""y_m"":11.02214800211143}]"
3,0.4,16.17839788188899,5.4515731524907345,1.4379240274429321,0.05169585749744243,0.3461611450142854,0.3499999999999957,2.0,1.0,3,5.7419346796703845,4,"[{""id"":""0"",""x_m"":15.231070092848482,""y_m"":33.61146747880735},{""id"":""1"",""x_m"":13.829299559624193,""y_m"":34.01414221585423},{""id"":""2"",""x_m"":14.869198443699547,""y_m"":35.17881952911835},{""id"":""3"",""x_m"":17.7477678581715,""y_m"":10.974877574948769}]"
4,0.5,16.183518435660766,5.496280869152071,1.4755945205688477,0.05120553771774894,0.4470771666133633,0.44999999999999646,2.0,1.0,3,5.660907142038398,4,"[{""id"":""0"",""x_m"":15.223076983188896,""y_m"":33.60157734290752},{""id"":""1"",""x_m"":13.847241358876273,""y_m"":34.01781593358681},{""id"":""2"",""x_m"":14.858088146625402,""y_m"":35.11477609620814},{""id"":""3"",""x_m"":17.782369441312902,""y_m"":10.92670858089877}]"
5,0.6000000000000001,16.187543590086605,5.551133381691135,1.5194979906082153,0.040251544258396166,0.5485251253906398,0.5500000000000025,2.0,1.0,3,5.570496284948781,4,"[{""id"":""0"",""x_m"":15.211770656475439,""y_m"":33.58574515175069},{""id"":""1"",""x_m"":13.858826619561006,""y_m"":34.01654109579234},{""id"":""2"",""x_m"":14.846198303316696,""y_m"":35.05087279718458},{""id"":""3"",""x_m"":17.817514092516994,""y_m"":10.877823256447783}]"
6,0.7000000000000001,16.18926860685574,5.616110487791254,1.5690110921859741,0.017250167691358342,0.6497710610011964,0.6500000000000004,2.0,1.0,3,5.4713732082425155,4,"[{""id"":""0"",""x_m"":15.197649294128546,""y_m"":33.565389072770756},{""id"":""1"",""x_m"":13.865723292492648,""y_m"":34.01014075697823},{""id"":""2"",""x_m"":14.833497193594484,""y_m"":34.98712578304412},{""id"":""3"",""x_m"":17.85309035278511,""y_m"":10.828367386836671}]"
7,0.8,16.187366990713038,5.69108637628913,1.623296856880188,-0.01901616142703233,0.7497588849787551,0.7500000000000033,2.0,0.9447941280931471,3,5.364413394723962,4,"[{""id"":""0"",""x_m"":15.181272569843165,""y_m"":33.541454237927994},{""id"":""1"",""x_m"":13.8689985283803,""y_m"":33.99872884940812},{""id"":""2"",""x_m"":14.820063543967668,""y_m"":34.92352910814909},{""id"":""3"",""x_m"":17.88900887621837,""y_m"":10.778457599522964}]"
8,0.9,16.18044725624205,5.775804244976031,1.6812934875488281,-0.06919734470987038,0.8471786868690145,0.8500000000000026,2.0,0.8831077396324063,3,5.250738247696424,4,"[{""id"":""0"",""x_m"":15.163163793946527,""y_m"":33.51459199126374},{""id"":""1"",""x_m"":13.86941219637015,""y_m"":33.98256986386824},{""id"":""2"",""x_m"":14.805976642750336,""y_m"":34.86007393330816},{""id"":""3"",""x_m"":17.925198020829534,""y_m"":10.728187198190929}]"
9,1.0,16.16711095664789,5.869863498179184,1.74199378490448,-0.13336299594161716,0.9405925320315234,0.949999999999998,2.0,0.8175453930791734,3,5.131746172314968,4,"[{""id"":""0"",""x_m"":15.143770073549263,""y_m"":33.4852542923586},{""id"":""1"",""x_m"":13.867544532153941,""y_m"":33.96201395829761},{""id"":""2"",""x_m"":14.791300142613615,""y_m"":34.796752528208955},{""id"":""3"",""x_m"":17.961600317739357,""y_m"":10.677630829279854}]"
