# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,14.25673033654437,3.7060255257119734,1.3657231330871582,0.010208719307271963,0.04894672665363142,0.0499999999999998,2.0,0.21883412383984302,0,10.327826780458844,2,"[{""id"":""0"",""x_m"":17.41887414074292,""y_m"":13.53785407226076},{""id"":""1"",""x_m"":15.058753436882553,""y_m"":24.09903996806572}]"
1,0.2,14.259762391535135,3.7207158845412525,1.3687905073165894,0.030320549907649763,0.1469035882927905,0.1499999999999999,2.0,0.1976925638573941,0,10.270632162109157,2,"[{""id"":""0"",""x_m"":17.439556122742967,""y_m"":13.48671797528045},{""id"":""1"",""x_m"":15.073770745709442,""y_m"":24.04557899881924}]"
2,0.30000000000000004,14.26472025305641,3.745219345707705,1.3735262155532837,0.049578615212748645,0.24503461166452745,0.2499999999999991,2.0,0.19731974757924942,0,10.202253076404856,2,"[{""id"":""0"",""x_m"":17.4609272558171,""y_m"":13.43388430175381},{""id"":""1"",""x_m"":15.089324496547057,""y_m"":23.99022806860277}]"
3,0.4,14.271473007672865,3.779561743776127,1.3797597885131836,0.06752754616455192,0.34342398068421875,0.3500000000000005,2.0,0.19694707064713723,0,10.123017338563338,2,"[{""id"":""0"",""x_m"":17.482848881796325,""y_m"":13.379694296608498},{""id"":""1"",""x_m"":15.105306874452578,""y_m"":23.933366259987114}]"
4,0.5,14.279850549589316,3.8237750538924047,1.3873127698898315,0.08377541916450681,0.44213310116277604,0.4500000000000026,2.0,0.19162606752480915,0,10.03320575322259,2,"[{""id"":""0"",""x_m"":17.505210043474484,""y_m"":13.32442102254652},{""id"":""1"",""x_m"":15.12163161154018,""y_m"":23.875296858249648}]"
5,0.6000000000000001,14.289649961400121,3.8778950273602684,1.3960249423980713,0.09799411810805125,0.5411997346786368,0.5500000000000014,2.0,0.19126910001957453,0,9.933065566902087,2,"[{""id"":""0"",""x_m"":17.527921949253678,""y_m"":13.268282990009036},{""id"":""1"",""x_m"":15.138229681322134,""y_m"":23.81626250464539}]"
6,0.7000000000000001,14.300643239475328,3.9419586507136284,1.4056793451309204,0.10993278075206447,0.6406362335336002,0.6499999999999992,2.0,0.1714352650274753,0,9.822821426703063,2,"[{""id"":""0"",""x_m"":17.550913543892868,""y_m"":13.211455062553826},{""id"":""1"",""x_m"":15.155045853424236,""y_m"":23.756457320359864}]"
7,0.8,14.31258326592571,4.016002122865899,1.416152000427246,0.1194002645038239,0.740434721522707,0.7499999999999944,2.0,0.1852967420285747,0,9.70268465999615,2,"[{""id"":""0"",""x_m"":17.574127964327605,""y_m"":13.154077182289033},{""id"":""1"",""x_m"":15.172035936752094,""y_m"":23.69603660673285}]"
8,0.9,14.325207673025234,4.100059391114311,1.4272927045822144,0.12624407099524504,0.8405726824841153,0.8499999999999963,2.0,0.15774377454597666,0,9.572861418172783,2,"[{""id"":""0"",""x_m"":17.597519703697433,""y_m"":13.096261351133828},{""id"":""1"",""x_m"":15.189164573539367,""y_m"":23.635124606279458}]"
9,1.0,14.338252633797298,4.194159492062478,1.4387987852096558,0.13044960772063519,0.9410010094816723,0.9499999999999968,2.0,0.13816655795172705,0,9.433557568567412,2,"[{""id"":""0"",""x_m"":17.62105234206024,""y_m"":13.038097216566438},{""id"":""1"",""x_m"":15.206403474198613,""y_m"":23.573820712174097}]"
10,1.1,14.351461534199691,4.2983253451534,1.4505274295806885,0.13208900402393198,1.0416585309092241,1.0499999999999987,2.0,0.13645771020339303,0,9.284983004152478,2,"[{""id"":""0"",""x_m"":17.644696730553022,""y_m"":12.979656540822646},{""id"":""1"",""x_m"":15.223730004891888,""y_m"":23.512204436365597}]"
11,1.2000000000000002,14.364526113883054,4.412077561649155,1.462364912033081,0.1306457968336261,1.137522164957545,1.1449999999999971,2.0,0.11989238061820062,0,9.127841149332307,2,"[{""id"":""0"",""x_m"":17.66842953838763,""y_m"":12.920996776742872},{""id"":""1"",""x_m"":15.241126057339264,""y_m"":23.45033938448662}]"
12,1.3,14.377119009445263,4.534481489206073,1.4741894006729126,0.12592895562208994,1.2240392755691865,1.2305000000000037,2.0,0.11426439892982021,0,8.963273372689516,2,"[{""id"":""0"",""x_m"":17.692232090176955,""y_m"":12.862163928848362},{""id"":""1"",""x_m"":15.258577144467381,""y_m"":23.38827643611083}]"
13,1.4000000000000001,14.388967704935613,4.664688491476216,1.4859052896499634,0.1184869549035028,1.302070022701427,1.3074499999999998,2.0,0.1004820041817589,0,8.792327600619547,2,"[{""id"":""0"",""x_m"":17.716089435575807,""y_m"":12.803194842528484},{""id"":""1"",""x_m"":15.276071676769766,""y_m"":23.32605628921862}]"
14,1.5,14.39984996638479,4.801928219528999,1.4974309206008911,0.10882261449177477,1.3723972805278262,1.3767049999999994,2.0,0.09579459070403562,0,8.61596934558285,2,"[{""id"":""0"",""x_m"":17.739989604813942,""y_m"":12.744119035658873},{""id"":""1"",""x_m"":15.293600383268355,""y_m"":23.263711495974693}]"
15,1.6,14.4095893975343,4.945501707341988,1.5086976289749146,0.09739431149508704,1.4357348781298906,1.4390345000000013,2.0,0.0829326406773161,0,8.435091653789682,2,"[{""id"":""0"",""x_m"":17.7639230129753,""y_m"":12.684960164117555},{""id"":""1"",""x_m"":15.311155848181418,""y_m"":23.20126809151144}]"
16,1.7000000000000002,14.418054432809097,5.094774986077793,1.5195997953414917,0.08465035274797472,1.492732787358051,1.4951310499999968,2.0,0.06950565364135519,0,8.250522983602512,2,"[{""id"":""0"",""x_m"":17.787881983300302,""y_m"":12.625737194381838},{""id"":""1"",""x_m"":15.328732140176898,""y_m"":23.138746897082488}]"
17,1.8,14.425160911362052,5.249173322473094,1.5300039052963257,0.07106478552955764,1.5439833639530143,1.5456179450000016,2.0,0.04892725020298094,0,8.063032660836317,2,"[{""id"":""0"",""x_m"":17.811860365727565,""y_m"":12.566465341759567},{""id"":""1"",""x_m"":15.346322350362776,""y_m"":23.076172265596423}]"
