# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,16.131022536887638,3.645535094480225,1.365646243095398,0.010210601241453787,0.0489463341046914,0.050000000000000544,2.0,0.20345461351730298,3,8.940466449516988,4,"[{""id"":""0"",""x_m"":17.779846804293324,""y_m"":14.928428846702863},{""id"":""1"",""x_m"":16.949733396961815,""y_m"":18.13987106952916},{""id"":""2"",""x_m"":17.057120722837492,""y_m"":12.933786579706213},{""id"":""3"",""x_m"":18.715959752665793,""y_m"":12.204158811259926}]"
1,0.2,16.134056580804565,3.6602250426595133,1.3685966730117798,0.03034043916926521,0.14689948179288148,0.15000000000000333,2.0,0.2035159386755261,3,8.875424087903353,4,"[{""id"":""0"",""x_m"":17.79332318908793,""y_m"":14.87567278008331},{""id"":""1"",""x_m"":16.963499817040226,""y_m"":18.086278710118307},{""id"":""2"",""x_m"":17.082850145602393,""y_m"":12.886322743941287},{""id"":""3"",""x_m"":18.727103007014605,""y_m"":12.148408768973077}]"
2,0.30000000000000004,16.139018197959185,3.684727743637385,1.3734135627746582,0.04961617154620512,0.24502700977871772,0.25000000000000455,2.0,0.22879995573571277,3,8.798499862280215,4,"[{""id"":""0"",""x_m"":17.80715361985276,""y_m"":14.821408301043176},{""id"":""1"",""x_m"":16.977728573970918,""y_m"":18.03084956790541},{""id"":""2"",""x_m"":17.10921165200913,""y_m"":12.837525474386123},{""id"":""3"",""x_m"":18.73888914524976,""y_m"":12.090337232780891}]"
3,0.4,16.145768165344553,3.7190706896422996,1.3800346851348877,0.06749967385367484,0.343429460049145,0.34999999999999964,2.0,0.2283726304978595,3,8.71015349516711,4,"[{""id"":""0"",""x_m"":17.821259596638342,""y_m"":14.765954316621258},{""id"":""1"",""x_m"":16.99232701829512,""y_m"":17.973952284320436},{""id"":""2"",""x_m"":17.136083549617318,""y_m"":12.78763621979765},{""id"":""3"",""x_m"":18.7511882830813,""y_m"":12.030421958808128}]"
4,0.5,16.15412520275885,3.7632878800285745,1.387965202331543,0.08357037414295831,0.4421719038627492,0.4500000000000026,2.0,0.1659328092768142,3,8.610763937064933,4,"[{""id"":""0"",""x_m"":17.835579321208957,""y_m"":14.709563776202103},{""id"":""1"",""x_m"":17.007221011089094,""y_m"":17.91588176684507},{""id"":""2"",""x_m"":17.163368903150506,""y_m"":12.736856273121974},{""id"":""3"",""x_m"":18.763894607159767,""y_m"":11.969039474837599}]"
5,0.6000000000000001,16.163882921594844,3.81741538618873,1.3969130516052246,0.09757718835995632,0.5412750616015538,0.5500000000000003,2.0,0.19613371469659224,3,8.500650059784851,4,"[{""id"":""0"",""x_m"":17.850064027757703,""y_m"":14.652437434338074},{""id"":""1"",""x_m"":17.022351223195724,""y_m"":17.856873933424517},{""id"":""2"",""x_m"":17.1909905758545,""y_m"":12.6853526095383},{""id"":""3"",""x_m"":18.776921967164956,""y_m"":11.906486926560111}]"
6,0.7000000000000001,16.174811925962057,3.881490005684607,1.4067976474761963,0.10929004367213224,0.64074619495877,0.649999999999999,2.0,0.1701754926026462,3,8.380088453761081,4,"[{""id"":""0"",""x_m"":17.864675140084262,""y_m"":14.594734739337326},{""id"":""1"",""x_m"":17.037670174946992,""y_m"":17.797117509838362},{""id"":""2"",""x_m"":17.218887286680378,""y_m"":12.633263163583507},{""id"":""3"",""x_m"":18.790200216351238,""y_m"":11.842999070136832}]"
7,0.8,16.18666955800179,3.9555467174831356,1.4172592163085938,0.11857632039731669,0.7405671179852868,0.7500000000000006,2.0,0.1429164439567283,3,8.249874866057727,4,"[{""id"":""0"",""x_m"":17.879382065865627,""y_m"":14.53658243646338},{""id"":""1"",""x_m"":17.053139868130316,""y_m"":17.736763468799325},{""id"":""2"",""x_m"":17.247010459078904,""y_m"":12.580701478255413},{""id"":""3"",""x_m"":18.803541861571453,""y_m"":11.779383030470582}]"
8,0.9,16.19921138758213,4.039616346427111,1.4281501770019531,0.12541829580342778,0.8406962894397507,0.8500000000000008,2.0,0.15220277623769318,3,8.11022000196644,4,"[{""id"":""0"",""x_m"":17.894160853590005,""y_m"":14.47808220646959},{""id"":""1"",""x_m"":17.068729891675492,""y_m"":17.67593258207047},{""id"":""2"",""x_m"":17.27531514562339,""y_m"":12.527785614945639},{""id"":""3"",""x_m"":18.816903895627174,""y_m"":11.715771270190789}]"
9,1.0,16.21218428243734,4.133726409646066,1.4394729137420654,0.12972894855209915,0.941100632189551,0.950000000000003,2.0,0.15195039631228013,3,7.961234658181422,4,"[{""id"":""0"",""x_m"":17.9089920114293,""y_m"":14.419315787115682},{""id"":""1"",""x_m"":17.08441590593232,""y_m"":17.61472146426033},{""id"":""2"",""x_m"":17.30376572062947,""y_m"":12.47461159790385},{""id"":""3"",""x_m"":18.830274206203214,""y_m"":11.652161249006229}]"
