step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,14.25673033654437,3.7060255257119734,1.3657231330871582,0.010208719307271963,0.04894672665363142,0.0499999999999998,2.0,0.21883412383984302,2,8.112713070814092,4,"[{""id"":""0"",""x_m"":17.418874240809476,""y_m"":13.537857114620529},{""id"":""1"",""x_m"":15.058753434454054,""y_m"":24.09903996364968},{""id"":""2"",""x_m"":19.315194075648396,""y_m"":10.048584785941832},{""id"":""3"",""x_m"":13.461246461617414,""y_m"":29.639977752091532}]"
1,0.2,14.259762391535135,3.7207158845412525,1.3687905073165894,0.030320549907649763,0.1469035882927905,0.1499999999999999,2.0,0.1976925638573941,2,8.05833950117576,4,"[{""id"":""0"",""x_m"":17.439556393075737,""y_m"":13.486726878148646},{""id"":""1"",""x_m"":15.073770738711193,""y_m"":24.045578986087655},{""id"":""2"",""x_m"":19.317897915434756,""y_m"":9.99384114537212},{""id"":""3"",""x_m"":13.476489063144891,""y_m"":29.5861323521703}]"
2,0.30000000000000004,14.26472025305641,3.745219345707705,1.3735262155532837,0.049578615212748645,0.24503461166452745,0.2499999999999991,2.0,0.19731974757924942,2,7.994068286722607,4,"[{""id"":""0"",""x_m"":17.460927743760593,""y_m"":13.433901655206073},{""id"":""1"",""x_m"":15.0893244831012,""y_m"":23.990228044126678},{""id"":""2"",""x_m"":19.320619235018707,""y_m"":9.937392894388065},{""id"":""3"",""x_m"":13.492315173975316,""y_m"":29.53025619913245}]"
3,0.4,14.271473007672865,3.779561743776127,1.3797597885131836,0.06752754616455192,0.34342398068421875,0.3500000000000005,2.0,0.19694707064713723,2,7.920343065438833,4,"[{""id"":""0"",""x_m"":17.482849618026677,""y_m"":13.379722459565246},{""id"":""1"",""x_m"":15.105306852922746,""y_m"":23.933366220766636},{""id"":""2"",""x_m"":19.3233570980304,""y_m"":9.879586449614411},{""id"":""3"",""x_m"":13.50860714724485,""y_m"":29.472760093988114}]"
4,0.5,14.279850549589316,3.8237750538924047,1.3873127698898315,0.08377541916450681,0.44213310116277604,0.4500000000000026,2.0,0.19162606752480915,2,7.837592189516848,4,"[{""id"":""0"",""x_m"":17.50521104705145,""y_m"":13.324462123055671},{""id"":""1"",""x_m"":15.121631580510526,""y_m"":23.87529680167495},{""id"":""2"",""x_m"":19.326111626723247,""y_m"":9.820699304754559},{""id"":""3"",""x_m"":13.52527084101958,""y_m"":29.41397271122951}]"
5,0.6000000000000001,14.289649961400121,3.8778950273602684,1.3960249423980713,0.09799411810805125,0.5411997346786368,0.5500000000000014,2.0,0.19126910001957453,2,7.746241529230334,4,"[{""id"":""0"",""x_m"":17.527923231489716,""y_m"":13.26833892967162},{""id"":""1"",""x_m"":15.138229639576938,""y_m"":23.816262428459233},{""id"":""2"",""x_m"":19.32888376865058,""y_m"":9.760953795130376},{""id"":""3"",""x_m"":13.5422309239076,""y_m"":29.35415699279061}]"
6,0.7000000000000001,14.300643239475328,3.9419586507136284,1.4056793451309204,0.10993278075206447,0.6406362335336002,0.6499999999999992,2.0,0.1714352650274753,2,7.6467250613571425,4,"[{""id"":""0"",""x_m"":17.550915111141332,""y_m"":13.211527524833253},{""id"":""1"",""x_m"":15.1550457999281,""y_m"":23.756457222621616},{""id"":""2"",""x_m"":19.331675131506216,""y_m"":9.700528114161603},{""id"":""3"",""x_m"":13.559427118187633,""y_m"":29.293523270673543}]"
7,0.8,14.31258326592571,4.016002122865899,1.416152000427246,0.1194002645038239,0.740434721522707,0.7499999999999944,2.0,0.1852967420285747,2,7.539495128083145,4,"[{""id"":""0"",""x_m"":17.57412981986094,""y_m"":13.15416764394074},{""id"":""1"",""x_m"":15.172035870630877,""y_m"":23.69603648578413},{""id"":""2"",""x_m"":19.334487872466774,""y_m"":9.639565131243339},{""id"":""3"",""x_m"":13.576811193227096,""y_m"":29.232239770917}]"
8,0.9,14.325207673025234,4.100059391114311,1.4272927045822144,0.12624407099524504,0.8405726824841153,0.8499999999999963,2.0,0.15774377454597666,0,9.572960608831238,4,"[{""id"":""0"",""x_m"":17.597521701269326,""y_m"":13.096366173277282},{""id"":""1"",""x_m"":15.189164494062084,""y_m"":23.635124460711715},{""id"":""2"",""x_m"":15.156687165562056,""y_m"":34.5914173314759},{""id"":""3"",""x_m"":13.594344568314261,""y_m"":29.17044098899711}]"
9,1.0,14.338252633797298,4.194159492062478,1.4387987852096558,0.13044960772063519,0.9410010094816723,0.9499999999999968,2.0,0.13816655795172705,0,9.433667265319817,4,"[{""id"":""0"",""x_m"":17.62105434963696,""y_m"":13.038213481452571},{""id"":""1"",""x_m"":15.206403380760447,""y_m"":23.573820540798305},{""id"":""2"",""x_m"":15.14833947833363,""y_m"":34.5272916012466},{""id"":""3"",""x_m"":13.611996379026081,""y_m"":29.108234430541465}]"
