step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,16.165990939297323,5.377618687253002,1.3657828569412231,0.01020725953647883,0.04894703109234122,0.04999999999999656,2.0,0.2307635527317129,3,5.923984151020471,4,"[{""id"":""0"",""x_m"":15.228009166001693,""y_m"":33.59031337351459},{""id"":""1"",""x_m"":13.739107125605345,""y_m"":33.96152704434394},{""id"":""2"",""x_m"":14.883319118670546,""y_m"":35.3728043649828},{""id"":""3"",""x_m"":17.64879336931141,""y_m"":11.113024965371933}]"
1,0.2,16.169019712133938,5.392309723128807,1.3691776990890503,0.03028772836614735,0.1469103587580456,0.1499999999999973,2.0,0.24053466210571361,3,5.873858088792584,4,"[{""id"":""0"",""x_m"":15.23359408543871,""y_m"":33.60851813435376},{""id"":""1"",""x_m"":13.777668929933416,""y_m"":33.983926778657384},{""id"":""2"",""x_m"":14.884939677003159,""y_m"":35.307824569733114},{""id"":""3"",""x_m"":17.680784705706458,""y_m"":11.068292056741443}]"
2,0.30000000000000004,16.173959202111845,5.416816894298857,1.3746384382247925,0.04939489977907385,0.24507171170050412,0.24999999999999953,2.0,0.24052403497217067,3,5.813002291087675,4,"[{""id"":""0"",""x_m"":15.234750506842307,""y_m"":33.614445316460525},{""id"":""1"",""x_m"":13.807446364873385,""y_m"":34.00183384331516},{""id"":""2"",""x_m"":14.878631721553496,""y_m"":35.243131373042544},{""id"":""3"",""x_m"":17.713848421497197,""y_m"":11.02214800211143}]"
3,0.4,16.18065702977262,5.451170047059944,1.3818458318710327,0.06697827660776312,0.34353152761086747,0.3500000000000032,2.0,0.21801396026367126,3,5.74170542627717,4,"[{""id"":""0"",""x_m"":15.231070092848482,""y_m"":33.61146747880735},{""id"":""1"",""x_m"":13.829299559624193,""y_m"":34.01414221585423},{""id"":""2"",""x_m"":14.869198443699547,""y_m"":35.17881952911835},{""id"":""3"",""x_m"":17.7477678581715,""y_m"":10.974877574948769}]"
4,0.5,16.188915802332826,5.495405696436875,1.3905978202819824,0.08258772560203909,0.44235649376931363,0.44999999999999835,2.0,0.23507149566198127,3,5.660224864998117,4,"[{""id"":""0"",""x_m"":15.223076983188896,""y_m"":33.60157734290752},{""id"":""1"",""x_m"":13.847241358876273,""y_m"":34.01781593358681},{""id"":""2"",""x_m"":14.858088146625402,""y_m"":35.11477609620814},{""id"":""3"",""x_m"":17.782369441312902,""y_m"":10.92670858089877}]"
5,0.6000000000000001,16.19849889286473,5.549564392653248,1.400731086730957,0.09583090531904759,0.541586962163727,0.5500000000000024,2.0,0.21619959730259275,3,5.56880173253727,4,"[{""id"":""0"",""x_m"":15.211770656475439,""y_m"":33.58574515175069},{""id"":""1"",""x_m"":13.858826619561006,""y_m"":34.01654109579234},{""id"":""2"",""x_m"":14.846198303316696,""y_m"":35.05087279718458},{""id"":""3"",""x_m"":17.817514092516994,""y_m"":10.877823256447783}]"
6,0.7000000000000001,16.20914100008347,5.6136872868014756,1.4119312763214111,0.10642107218739483,0.6412289414822769,0.6499999999999969,2.0,0.1998816494589608,3,5.467673913096063,4,"[{""id"":""0"",""x_m"":15.197649294128546,""y_m"":33.565389072770756},{""id"":""1"",""x_m"":13.865723292492648,""y_m"":34.01014075697823},{""id"":""2"",""x_m"":14.833497193594484,""y_m"":34.98712578304412},{""id"":""3"",""x_m"":17.85309035278511,""y_m"":10.828367386836671}]"
7,0.8,16.220560526523137,5.6878128182727155,1.423951506614685,0.11419526439667038,0.741255314712399,0.7500000000000021,2.0,0.18811902436080663,3,5.357087285500502,4,"[{""id"":""0"",""x_m"":15.181272569843165,""y_m"":33.541454237927994},{""id"":""1"",""x_m"":13.8689985283803,""y_m"":33.99872884940812},{""id"":""2"",""x_m"":14.820063543967668,""y_m"":34.92352910814909},{""id"":""3"",""x_m"":17.88900887621837,""y_m"":10.778457599522964}]"
8,0.9,16.232462763404747,5.771975379766612,1.4366650581359863,0.11902236881610406,0.8416256149389678,0.8499999999999955,2.0,0.19094401820017026,3,5.2373073464155055,4,"[{""id"":""0"",""x_m"":15.163163793946527,""y_m"":33.51459199126374},{""id"":""1"",""x_m"":13.86941219637015,""y_m"":33.98256986386824},{""id"":""2"",""x_m"":14.805976642750336,""y_m"":34.86007393330816},{""id"":""3"",""x_m"":17.925198020829534,""y_m"":10.728187198190929}]"
9,1.0,16.24454105619166,5.8662044349637945,1.4499576091766357,0.12078292786913636,0.9422905519718228,0.9500000000000018,2.0,0.17912028398812163,3,5.1086315638914455,4,"[{""id"":""0"",""x_m"":15.143770073549263,""y_m"":33.4852542923586},{""id"":""1"",""x_m"":13.867544532153941,""y_m"":33.96201395829761},{""id"":""2"",""x_m"":14.791300142613615,""y_m"":34.796752528208955},{""id"":""3"",""x_m"":17.961600317739357,""y_m"":10.677630829279854}]"
10,1.1,16.256485608284308,5.970522830634482,1.4636261463165283,0.11944552092646887,1.0431839567068746,1.0500000000000027,2.0,0.16194017237887603,3,4.971401146575198,4,"[{""id"":""0"",""x_m"":15.123451221743576,""y_m"":33.45375466093152},{""id"":""1"",""x_m"":13.863855204381736,""y_m"":33.937457164183456},{""id"":""2"",""x_m"":14.776087889994331,""y_m"":34.73355769162995},{""id"":""3"",""x_m"":17.998169643623246,""y_m"":10.62684821458422}]"
11,1.2000000000000002,16.2679411922155,6.084448330838762,1.4775335788726807,0.11455583931191171,1.1392550020427983,1.144999999999997,2.0,0.15920520895115509,3,4.8264952367457905,4,"[{""id"":""0"",""x_m"":15.102483325887693,""y_m"":33.420312105244626},{""id"":""1"",""x_m"":13.858712385535558,""y_m"":33.9093120258374},{""id"":""2"",""x_m"":14.760391473245965,""y_m"":34.670481368803856},{""id"":""3"",""x_m"":18.03486895618334,""y_m"":10.575887136750449}]"
12,1.3,16.278539801810624,6.207041038511976,1.4915802478790283,0.10598609595124486,1.2259270767321429,1.2305000000000015,2.0,0.146783942042239,3,4.675278656655848,4,"[{""id"":""0"",""x_m"":15.08106923295282,""y_m"":33.385083613377724},{""id"":""1"",""x_m"":13.852408932064264,""y_m"":33.87798428371995},{""id"":""2"",""x_m"":14.744264481635783,""y_m"":34.60751375695772},{""id"":""3"",""x_m"":18.071668480371045,""y_m"":10.524785827114687}]"
13,1.4000000000000001,16.287967163475862,6.337445715870699,1.5056772232055664,0.0942736166523872,1.304046773587233,1.3074499999999973,2.0,0.14422496114019534,3,4.519077933867524,4,"[{""id"":""0"",""x_m"":15.059351381932458,""y_m"":33.34818748449579},{""id"":""1"",""x_m"":13.845173870622874,""y_m"":33.84385479290065},{""id"":""2"",""x_m"":14.727763088861936,""y_m"":34.54464322302868},{""id"":""3"",""x_m"":18.10854425546211,""y_m"":10.473574875423537}]"
14,1.5,16.295956619948125,6.4748841935817385,1.5197837352752686,0.07989456472262901,1.3743847771103912,1.3767049999999994,2.0,0.13961959199444474,3,4.359202836382633,4,"[{""id"":""0"",""x_m"":15.037424296882467,""y_m"":33.30971897534147},{""id"":""1"",""x_m"":13.837182860872167,""y_m"":33.80726690643359},{""id"":""2"",""x_m"":14.71094407253995,""y_m"":34.481856913295104},{""id"":""3"",""x_m"":18.145476971000978,""y_m"":10.422278757058733}]"
15,1.6,16.302283682441402,6.61864848400919,1.5338456630706787,0.06327062493276969,1.4376429042745187,1.4390345000000022,2.0,0.13358012204470882,3,4.196968988803875,4,"[{""id"":""0"",""x_m"":15.015345316309032,""y_m"":33.26975971908285},{""id"":""1"",""x_m"":13.828568707782106,""y_m"":33.768519390303844},{""id"":""2"",""x_m"":14.693861764270943,""y_m"":34.419141725786794},{""id"":""3"",""x_m"":18.182451033972207,""y_m"":10.370917054250274}]"
16,1.7000000000000002,16.30676420103606,6.7680944391898645,1.5478031635284424,0.04480518594657923,1.4944595518067416,1.4951310500000041,2.0,0.12678782470543304,3,4.033720568597952,4,"[{""id"":""0"",""x_m"":14.993143020119481,""y_m"":33.228382476508806},{""id"":""1"",""x_m"":13.81943162607122,""y_m"":33.72786433253054},{""id"":""2"",""x_m"":14.676565227963758,""y_m"":34.356485282927544},{""id"":""3"",""x_m"":18.21945382103684,""y_m"":10.31950543245317}]"
17,1.8,16.30923227529931,6.922636527076923,1.5618516206741333,0.024680742632483543,1.545420878870587,1.5456179450000018,2.0,0.17055022283255195,3,3.870864089765519,4,"[{""id"":""0"",""x_m"":14.970823395543416,""y_m"":33.185652754323606},{""id"":""1"",""x_m"":13.809848507829692,""y_m"":33.68550895832037},{""id"":""2"",""x_m"":14.659096457568706,""y_m"":34.29387664086524},{""id"":""3"",""x_m"":18.256475078860163,""y_m"":10.268056420814734}]"
18,1.9000000000000001,16.309527970944114,7.0817418673534975,1.576024055480957,0.0029569564480524946,1.591053402765743,1.591056150500002,2.0,0.1351891669222942,3,3.7099030876763885,4,"[{""id"":""0"",""x_m"":14.94837409041604,""y_m"":33.14162862677687},{""id"":""1"",""x_m"":13.799880583266468,""y_m"":33.64161999910077},{""id"":""2"",""x_m"":14.641489826031904,""y_m"":34.23130662787238},{""id"":""3"",""x_m"":18.29350644291107,""y_m"":10.216580035859563}]"
19,2.0,16.307538994999604,7.244924799905427,1.5899447202682495,-0.01988975944509974,1.6318293255192984,1.6319505354500032,2.0,0.09793376912750773,3,3.5524454543136605,4,"[{""id"":""0"",""x_m"":14.925767193440858,""y_m"":33.096359777392564},{""id"":""1"",""x_m"":13.78957924423633,""y_m"":33.5963293097683},{""id"":""2"",""x_m"":14.623772599468746,""y_m"":34.168767840844566},{""id"":""3"",""x_m"":18.33054105099717,""y_m"":10.165084279677622}]"
20,2.1,16.30320512013681,7.411744061720583,1.6035951375961304,-0.04333874862794573,1.668192618151556,1.6687554819049972,2.0,0.12643798691060137,3,3.400221908575232,4,"[{""id"":""0"",""x_m"":14.893526543415406,""y_m"":33.047225849645855},{""id"":""1"",""x_m"":13.778990158476466,""y_m"":33.549739692124234},{""id"":""2"",""x_m"":14.612712608564312,""y_m"":34.104715701136406},{""id"":""3"",""x_m"":18.367573232506146,""y_m"":10.113575537624966}]"
21,2.2,16.2964456641093,7.5817977674785375,1.6174535751342773,-0.06759456027509714,1.7005370575795453,1.7018799337145032,2.0,0.18814081400283644,3,3.2551501690058027,4,"[{""id"":""0"",""x_m"":14.856592508066992,""y_m"":32.993738682653365},{""id"":""1"",""x_m"":13.76847403210909,""y_m"":33.50252400638452},{""id"":""2"",""x_m"":14.603880528216562,""y_m"":34.04031854004424},{""id"":""3"",""x_m"":18.40459825808641,""y_m"":10.062058895522537}]"
22,2.3000000000000003,16.28706215978638,7.7547125430447466,1.6325660943984985,-0.09383504322919123,1.7291477556620904,1.7316919403430475,2.0,0.339864577489025,3,3.122323166995797,4,"[{""id"":""0"",""x_m"":14.819706349726614,""y_m"":32.94021848718578},{""id"":""1"",""x_m"":13.757885853380307,""y_m"":33.45469311477356},{""id"":""2"",""x_m"":14.595548782813909,""y_m"":33.97585473610323},{""id"":""3"",""x_m"":18.443489801717686,""y_m"":10.012747481718915}]"
23,2.4000000000000004,16.274804775896822,7.927946828655021,1.6503033638000488,-0.12257383889558326,1.7323428561027487,1.7366738660646188,1.5630223951174687,0.48734073668626765,3,3.005436892541148,4,"[{""id"":""0"",""x_m"":14.783146811351886,""y_m"":32.88647464889871},{""id"":""1"",""x_m"":13.747362458502684,""y_m"":33.406132428158756},{""id"":""2"",""x_m"":14.587267271227615,""y_m"":33.91138445949574},{""id"":""3"",""x_m"":18.48424198897288,""y_m"":9.965356487148398}]"
24,2.5,16.259503186232212,8.095661384097816,1.6732573509216309,-0.15301589664609594,1.67714555442795,1.6841113607371232,0.859075230461686,0.9107368972358749,3,2.90993795439727,4,"[{""id"":""0"",""x_m"":14.747066079595948,""y_m"":32.832408200929976},{""id"":""1"",""x_m"":13.73696784403886,""y_m"":33.35675338482324},{""id"":""2"",""x_m"":14.578806028665781,""y_m"":33.846937524934745},{""id"":""3"",""x_m"":18.526878380362824,""y_m"":9.919599055040258}]"
25,2.6,16.240844972477063,8.253632163438766,1.7034695148468018,-0.18658213755148978,1.5797077934094972,1.5906884065120943,0.5617767772992185,1.0,3,2.8391696128702306,4,"[{""id"":""0"",""x_m"":14.711542571446483,""y_m"":32.77797401710441},{""id"":""1"",""x_m"":13.726750384293705,""y_m"":33.30648170082616},{""id"":""2"",""x_m"":14.570041016583712,""y_m"":33.782531200996786},{""id"":""3"",""x_m"":18.571411893178034,""y_m"":9.87515672963568}]"
26,2.7,16.218565862451076,8.402935934419983,1.734377145767212,-0.22279110025987592,1.4930377098121639,1.5095686394716066,0.9182930657023611,-0.2566897830872108,3,2.7924172452871097,4,"[{""id"":""0"",""x_m"":14.676612604541635,""y_m"":32.723157072534086},{""id"":""1"",""x_m"":13.716760304295772,""y_m"":33.25525898884693},{""id"":""2"",""x_m"":14.560903441079851,""y_m"":33.71817667734917},{""id"":""3"",""x_m"":18.617800524228652,""y_m"":9.831665128319893}]"
27,2.8000000000000003,16.193161046976968,8.54568511342208,1.759463906288147,-0.2540481547410778,1.4274917900209694,1.4499218170317385,0.9079077644433294,-0.28931616986206876,3,2.767612584446463,4,"[{""id"":""0"",""x_m"":14.642288019467617,""y_m"":32.66795903942152},{""id"":""1"",""x_m"":13.707053407751356,""y_m"":33.20304389865551},{""id"":""2"",""x_m"":14.551355851284084,""y_m"":33.65388170453565},{""id"":""3"",""x_m"":18.66592122796064,""y_m"":9.788720312009803}]"
28,2.9000000000000004,16.165653856767605,8.682476011241802,1.779014229774475,-0.27507190209362875,1.367908978197221,1.3952919135270483,0.8993377995263904,-0.316239509121365,3,2.762519346632364,4,"[{""id"":""0"",""x_m"":14.608564546843011,""y_m"":32.61239171634278},{""id"":""1"",""x_m"":13.69769109854948,""y_m"":33.149810823305366},{""id"":""2"",""x_m"":14.54137975840103,""y_m"":33.589651823866376},{""id"":""3"",""x_m"":18.715138415240418,""y_m"":9.746262468490995}]"
29,3.0,16.13690101642562,8.813903069121691,1.7933398485183716,-0.28752840341983443,1.3142705787988973,1.345354874027499,0.8925052375366743,-0.33770463591162114,3,2.7745513630408354,4,"[{""id"":""0"",""x_m"":14.575423838227037,""y_m"":32.55647487243657},{""id"":""1"",""x_m"":13.688740187447385,""y_m"":33.09554734076698},{""id"":""2"",""x_m"":14.530968436851968,""y_m"":33.52549105404866},{""id"":""3"",""x_m"":18.764722623546756,""y_m"":9.704233831984041}]"
30,3.1,16.107615033520414,8.940541966911267,1.802774429321289,-0.29285982905207675,1.2663889778957582,1.2998107257628992,0.8873215452265955,-0.3539896856379068,3,2.801278834858988,4,"[{""id"":""0"",""x_m"":14.542830500852785,""y_m"":32.50023721282303},{""id"":""1"",""x_m"":13.680273383774802,""y_m"":33.04025194219685},{""id"":""2"",""x_m"":14.520122314354781,""y_m"":33.46140235280752},{""id"":""3"",""x_m"":18.814332797284962,""y_m"":9.662235847964983}]"
31,3.2,16.078384889650387,9.062938069385531,1.8076685667037964,-0.2923014387002709,1.2239610247426391,1.2583801973788762,0.8836893386184534,-0.3654005990957607,3,2.840402362398527,4,"[{""id"":""0"",""x_m"":14.510724251668403,""y_m"":32.44372005822984},{""id"":""1"",""x_m"":13.67237043321115,""y_m"":32.98393330991403},{""id"":""2"",""x_m"":14.508845887178806,""y_m"":33.39738796231487},{""id"":""3"",""x_m"":18.863647625530295,""y_m"":9.619891453824394}]"
32,3.3000000000000003,16.049694640930717,9.181599106082249,1.808384895324707,-0.28690248719669853,1.1866103669671801,1.2208018676892813,0.8815044623475502,-0.3722645900219015,3,2.8898376816527436,4,"[{""id"":""0"",""x_m"":14.47900645369783,""y_m"":32.386983991289156},{""id"":""1"",""x_m"":13.665119584375793,""y_m"":32.926612125453666},{""id"":""2"",""x_m"":14.497145684690288,""y_m"":33.33344966970608},{""id"":""3"",""x_m"":18.91237228849666,""y_m"":9.576869282577299}]"
33,3.4000000000000004,16.02193977140884,9.296991118482149,1.8052937984466553,-0.27754869521878334,1.1539201239989971,1.186829781724199,0.8806575537293985,-0.3749252314319387,3,2.9477560433032886,4,"[{""id"":""0"",""x_m"":14.45653887979006,""y_m"":32.325990482432076},{""id"":""1"",""x_m"":13.656978934870839,""y_m"":32.877404480936555},{""id"":""2"",""x_m"":14.498269457599573,""y_m"":33.268459384782496},{""id"":""3"",""x_m"":18.96024102020791,""y_m"":9.53289673973115}]"
34,3.5,15.995441309020134,9.409536858345843,1.798768401145935,-0.26498462388705235,1.1254573986369465,1.156231467762059,0.8810357304760219,-0.3737371535030256,0,22.906470318307072,4,"[{""id"":""0"",""x_m"":14.439981876499063,""y_m"":32.263134570681295},{""id"":""1"",""x_m"":13.65016601294656,""y_m"":32.82647067534258},{""id"":""2"",""x_m"":14.508078663254189,""y_m"":33.204203805379414},{""id"":""3"",""x_m"":13.54213476210714,""y_m"":34.019242776142924}]"
35,3.6,15.970457822066292,9.519615970644102,1.7891815900802612,-0.2498348695384145,1.100791122982585,1.1287863209990354,0.8825242697879229,-0.36906076855061887,0,22.73211011092447,4,"[{""id"":""0"",""x_m"":14.427665068500524,""y_m"":32.19931219027499},{""id"":""1"",""x_m"":13.647027225806685,""y_m"":32.7732731938375},{""id"":""2"",""x_m"":14.521996425152853,""y_m"":33.1407113183929},{""id"":""3"",""x_m"":13.574942042077875,""y_m"":33.97741108602043}]"
36,3.7,15.94719547948304,9.627566428797344,1.7769018411636353,-0.23262342583251439,1.0795045815324222,1.1042842930131467,0.8850078124923613,-0.36125848811629746,0,22.559217516594558,4,"[{""id"":""0"",""x_m"":14.418654166440472,""y_m"":32.134939807655854},{""id"":""1"",""x_m"":13.647778503439648,""y_m"":32.71887711110884},{""id"":""2"",""x_m"":14.53780539549018,""y_m"":33.07766311098878},{""id"":""3"",""x_m"":13.60240525374929,""y_m"":33.93409865478065}]"
37,3.8000000000000003,15.925816391419723,9.73368680804312,1.7622902393341064,-0.21379088063318008,1.06120379245775,1.0825248402547731,0.8883717183664064,-0.350690465094611,0,22.387789732273223,4,"[{""id"":""0"",""x_m"":14.412260779147813,""y_m"":32.07025499800996},{""id"":""1"",""x_m"":13.651712786237223,""y_m"":32.66426503676756},{""id"":""2"",""x_m"":14.554507057736174,""y_m"":33.014845482267056},{""id"":""3"",""x_m"":13.62584982493889,""y_m"":33.888470894393095}]"
38,3.9000000000000004,15.906445457059087,9.838239083191556,1.7456978559494019,-0.19370934360635417,1.0455227514843735,1.0633161024229152,0.8925032055059994,-0.3377110142994102,0,22.217754942607513,4,"[{""id"":""0"",""x_m"":14.407915215458761,""y_m"":32.005400421639244},{""id"":""1"",""x_m"":13.657914411199094,""y_m"":32.60985878567933},{""id"":""2"",""x_m"":14.571674425350139,""y_m"":32.95215352513373},{""id"":""3"",""x_m"":13.646355310031275,""y_m"":33.84040945069505}]"
39,4.0,15.889175942747617,9.941451716463508,1.727462887763977,-0.17269514311470502,1.032126332719514,1.0464742611017441,0.8972921729163021,-0.3226660282199094,0,22.049006742457795,4,"[{""id"":""0"",""x_m"":14.405143367218285,""y_m"":31.940459549629917},{""id"":""1"",""x_m"":13.665603758520604,""y_m"":32.555666343416654},{""id"":""2"",""x_m"":14.589082612940931,""y_m"":32.88952801112543},{""id"":""3"",""x_m"":13.6647688724663,""y_m"":33.7902049398075}]"
40,4.1000000000000005,15.874073999938172,10.043522865878531,1.7079086303710938,-0.15101942809444324,1.0207114941502304,1.0318230574824196,0.9026322769006464,-0.3058895954448797,0,21.881424010506056,4,"[{""id"":""0"",""x_m"":14.40355906211632,""y_m"":31.875478860365},{""id"":""1"",""x_m"":13.674235071103158,""y_m"":32.50153632408029},{""id"":""2"",""x_m"":14.606560058821053,""y_m"":32.82692179030427},{""id"":""3"",""x_m"":13.681735301465759,""y_m"":33.73827932185095}]"
41,4.2,15.861182313671803,10.14462359376286,1.6873418092727661,-0.12891686266369717,1.0110072788432944,1.0191934435391417,0.9084215591985931,-0.2877020273086366,0,21.714883514601862,4,"[{""id"":""0"",""x_m"":14.402855640194389,""y_m"":31.810482666648753},{""id"":""1"",""x_m"":13.683474752575869,""y_m"":32.44731660401068},{""id"":""2"",""x_m"":14.62395972251552,""y_m"":32.76429390750979},{""id"":""3"",""x_m"":13.697716692901293,""y_m"":33.68503900513246}]"
42,4.3,15.850523051368711,10.24490099039706,1.6660510301589966,-0.10659262303091666,1.0027739663419943,1.0084233311748922,0.9145630805948012,-0.26840786734991795,0,21.549267410891748,4,"[{""id"":""0"",""x_m"":14.402796430315759,""y_m"":31.745482693616527},{""id"":""1"",""x_m"":13.693135399555224,""y_m"":32.392914742166916},{""id"":""2"",""x_m"":14.641166905227013,""y_m"":32.7016128668106},{""id"":""3"",""x_m"":13.713021780452843,""y_m"":33.63082103875782}]"
43,4.4,15.842100259778428,10.3444811548808,1.644305944442749,-0.08422791590282586,0.9958016448373996,0.9993574223861071,0.9209654059793947,-0.248294367449736,0,21.384467215355023,4,"[{""id"":""0"",""x_m"":14.403204210430054,""y_m"":31.680483972741587},{""id"":""1"",""x_m"":13.70311244552567,""y_m"":32.33830002488896},{""id"":""2"",""x_m"":14.65810500565415,""y_m"":32.6388585780813},{""id"":""3"",""x_m"":13.727844051330043,""y_m"":33.57588597777698}]"
44,4.5,15.835901836526213,10.443471993655564,1.6223556995391846,-0.061984232522149796,0.98990838774764,0.9918470956828436,0.9275429047275517,-0.22763054416096562,0,21.22038543930322,4,"[{""id"":""0"",""x_m"":14.403950120285673,""y_m"":31.61548825274029},{""id"":""1"",""x_m"":13.713342146777277,""y_m"":32.28348262334665},{""id"":""2"",""x_m"":14.674731698349659,""y_m"":32.57602106468357},{""id"":""3"",""x_m"":13.742297822748226,""y_m"":33.52042833028187}]"
45,4.6000000000000005,15.831901182013885,10.541965811784442,1.6004289388656616,-0.04000654512328339,0.9849381812887792,0.9857503459868271,0.9342162927176966,-0.20666547590790296,0,21.056935758760222,4,"[{""id"":""0"",""x_m"":14.404942953531101,""y_m"":31.550495835627622},{""id"":""1"",""x_m"":13.723779892674226,""y_m"":32.22849107039405},{""id"":""2"",""x_m"":14.691029776281171,""y_m"":32.51309751856816},{""id"":""3"",""x_m"":13.75644599209034,""y_m"":33.46459058512566}]"
46,4.7,15.830058618401965,10.640041680657038,1.5787334442138672,-0.01842563611919701,0.9807586887259667,0.9809317558209005,0.9409125959373932,-0.18562841732166646,0,20.89404233634956,4,"[{""id"":""0"",""x_m"":14.406119669572384,""y_m"":31.485506487736153},{""id"":""1"",""x_m"":13.734391160441378,""y_m"":32.17335659278864},{""id"":""2"",""x_m"":14.706997646351432,""y_m"":32.45008936730644},{""id"":""3"",""x_m"":13.770318872983683,""y_m"":33.408475655700634}]"
47,4.800000000000001,15.830322645192132,10.73776757168062,1.5574557781219482,0.002640267901661275,0.9772589102358076,0.9772624768453309,0.9475653361929494,-0.16472821581623265,0,20.731638712061482,4,"[{""id"":""0"",""x_m"":14.407437589348282,""y_m"":31.420519849975268},{""id"":""1"",""x_m"":13.745148326195466,""y_m"":32.11810517501657},{""id"":""2"",""x_m"":14.722642032522254,""y_m"":32.387000119559},{""id"":""3"",""x_m"":13.783926129299717,""y_m"":33.352156662265216}]"
48,4.9,15.832631085375876,10.835202252166958,1.5367614030838013,0.023084401837447643,0.9743468048633908,0.9746202264244731,0.954114609080602,-0.14415306663469707,0,20.569666525222374,4,"[{""id"":""0"",""x_m"":14.40886835896219,""y_m"":31.355535598819223},{""id"":""1"",""x_m"":13.756029411053863,""y_m"":32.06275512292968},{""id"":""2"",""x_m"":14.737973347469211,""y_m"":32.323834062360554},{""id"":""3"",""x_m"":13.797264131007804,""y_m"":33.29568438937675}]"
49,5.0,15.836912162458233,10.932396943848449,1.5167953968048096,0.04281077082357143,0.9719469168149075,0.9728892903123731,0.9605071215262234,-0.1240703949147699,0,20.40807422584293,4,"[{""id"":""0"",""x_m"":14.410393504167576,""y_m"":31.2905534941126},{""id"":""1"",""x_m"":13.767017143834318,""y_m"":32.00731753697434},{""id"":""2"",""x_m"":14.753003180590515,""y_m"":32.26059559213597},{""id"":""3"",""x_m"":13.810320485231685,""y_m"":33.23909299275787}]"
50,5.1000000000000005,15.843085537076595,11.0293967469422,1.4976824522018433,0.06173374618361649,0.9699980309375178,0.9719605112557428,0.9666958779661154,-0.10462784158091942,0,20.246815868312243,4,"[{""id"":""0"",""x_m"":14.412001276251663,""y_m"":31.22557338124008},{""id"":""1"",""x_m"":13.778097958415897,""y_m"":31.951797848298714},{""id"":""2"",""x_m"":14.767743131869793,""y_m"":32.19728892711336},{""id"":""3"",""x_m"":13.82307684116204,""y_m"":33.18240440552032}]"
51,5.2,15.851063322299302,11.126241837181357,1.4795278310775757,0.07977785222706757,0.9684509023915666,0.9717312674031867,0.9726402674940815,-0.08595298956371877,0,20.08590740788029,4,"[{""id"":""0"",""x_m"":14.413682986114505,""y_m"":31.160652588862813},{""id"":""1"",""x_m"":13.789260996534054,""y_m"":31.89619743671282},{""id"":""2"",""x_m"":14.782204370031366,""y_m"":32.133918014299724},{""id"":""3"",""x_m"":13.835510598402731,""y_m"":33.12563174141564}]"
52,5.300000000000001,15.860751088775398,11.222968447212768,1.4624181985855103,0.09687766476096371,0.9672661003141059,0.9721054421956477,0.9783057631616047,-0.06815430847623594,0,19.92545568285775,4,"[{""id"":""0"",""x_m"":14.415419734711044,""y_m"":31.095935046250936},{""id"":""1"",""x_m"":13.800498915871293,""y_m"":31.8405258508075},{""id"":""2"",""x_m"":14.796406214038337,""y_m"":32.070488465769074},{""id"":""3"",""x_m"":13.847596174424211,""y_m"":33.06878277421824}]"
53,5.4,15.872048864678675,11.31960964528567,1.4464222192764282,0.1129777590327663,0.9664119807290206,0.9729933661298286,0.9836635999132511,-0.051322166409809356,0,19.765492924256137,4,"[{""id"":""0"",""x_m"":14.41717386122257,""y_m"":31.031485488622803},{""id"":""1"",""x_m"":13.811807792320472,""y_m"":31.78481521098327},{""id"":""2"",""x_m"":14.81038526244301,""y_m"":32.00700944399259},{""id"":""3"",""x_m"":13.859307207004662,""y_m"":33.01186372307165}]"
54,5.5,15.884852130904509,11.416195928630817,1.431591510772705,0.12803266225834165,0.9658628334514674,0.9743117445909475,0.9886907015689702,-0.035529059325918766,0,19.60601358842874,4,"[{""id"":""0"",""x_m"":14.418911974534499,""y_m"":30.96732858859695},{""id"":""1"",""x_m"":13.823180226735946,""y_m"":31.72909804804482},{""id"":""2"",""x_m"":14.8241753391857,""y_m"":31.943489102499246},{""id"":""3"",""x_m"":13.87061863593905,""y_m"":32.95488071946828}]"
