# AI-GENERATED NEEDS-REVIEW
config_id,config_sha256_16,scenario_id,seed,route_complete,termination_reason,collision_event,timeout_event,steps
canonical,85fe7a8764671c83,classic_bottleneck_medium,131,0,max_steps,0,1,100
canonical,85fe7a8764671c83,classic_bottleneck_medium,132,0,max_steps,0,1,100
canonical,85fe7a8764671c83,classic_bottleneck_medium,133,0,max_steps,0,1,100
canonical,85fe7a8764671c83,classic_cross_trap_high,101,0,max_steps,0,1,100
canonical,85fe7a8764671c83,classic_cross_trap_high,102,0,collision,1,0,1
canonical,85fe7a8764671c83,classic_cross_trap_high,103,0,max_steps,0,1,100
canonical,85fe7a8764671c83,classic_t_intersection_low,161,0,collision,1,0,96
canonical,85fe7a8764671c83,classic_t_intersection_low,162,0,collision,1,0,78
canonical,85fe7a8764671c83,classic_t_intersection_low,163,0,collision,1,0,66
mobility_and_goal,1be09d2da145af87,classic_bottleneck_medium,131,0,max_steps,0,1,100
mobility_and_goal,1be09d2da145af87,classic_bottleneck_medium,132,0,max_steps,0,1,100
mobility_and_goal,1be09d2da145af87,classic_bottleneck_medium,133,0,max_steps,0,1,100
mobility_and_goal,1be09d2da145af87,classic_cross_trap_high,101,0,max_steps,0,1,100
mobility_and_goal,1be09d2da145af87,classic_cross_trap_high,102,0,collision,1,0,1
mobility_and_goal,1be09d2da145af87,classic_cross_trap_high,103,0,max_steps,0,1,100
mobility_and_goal,1be09d2da145af87,classic_t_intersection_low,161,0,collision,1,0,71
mobility_and_goal,1be09d2da145af87,classic_t_intersection_low,162,0,collision,1,0,55
mobility_and_goal,1be09d2da145af87,classic_t_intersection_low,163,0,collision,1,0,44
progress_weight_400,a025ed6417cdb533,classic_bottleneck_medium,131,0,max_steps,0,1,100
progress_weight_400,a025ed6417cdb533,classic_bottleneck_medium,132,0,max_steps,0,1,100
progress_weight_400,a025ed6417cdb533,classic_bottleneck_medium,133,0,max_steps,0,1,100
progress_weight_400,a025ed6417cdb533,classic_cross_trap_high,101,0,max_steps,0,1,100
progress_weight_400,a025ed6417cdb533,classic_cross_trap_high,102,0,collision,1,0,1
progress_weight_400,a025ed6417cdb533,classic_cross_trap_high,103,0,max_steps,0,1,100
progress_weight_400,a025ed6417cdb533,classic_t_intersection_low,161,0,collision,1,0,94
progress_weight_400,a025ed6417cdb533,classic_t_intersection_low,162,0,collision,1,0,75
progress_weight_400,a025ed6417cdb533,classic_t_intersection_low,163,0,collision,1,0,52
