scenario_id,source_config_hash,scenario_family,interaction_class,geometry_group,geometry_group_provenance,hazard_tags,predicate_export_status,evidence_eligibility,exclusion_reason,validated_mechanism,trace_ids,replay_ids,generated_candidate_ids,case_capsule_ids
classic_bottleneck_high,58ba0d39aa9e0eef,bottleneck,unknown,bottleneck (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_bottleneck_low,707e40cafbe857d0,bottleneck,unknown,bottleneck (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_bottleneck_medium,488df820f5774565,bottleneck,unknown,bottleneck (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_cross_trap_high,26ed69e5420a5940,cross_trap,unknown,cross_trap (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_cross_trap_low,9288eea08102db81,cross_trap,unknown,cross_trap (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_cross_trap_medium,4c698a720b69f064,cross_trap,unknown,cross_trap (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_doorway_high,477b972e75c3783a,doorway,unknown,doorway (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_doorway_low,91b5caf529482689,doorway,unknown,doorway (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_doorway_medium,422419ddbb65aaa2,doorway,unknown,doorway (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_group_crossing_high,8fa6eb038e13af1f,group_crossing,unknown,group_crossing (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_group_crossing_low,b64e47659836a1bb,group_crossing,unknown,group_crossing (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_group_crossing_medium,81e7681b50d4cbb6,group_crossing,unknown,group_crossing (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_head_on_corridor_low,7a4105a6c8f11222,head_on_corridor,unknown,head_on_corridor (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_head_on_corridor_medium,2a63c2c2ed726415,head_on_corridor,unknown,head_on_corridor (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_merging_low,cb6c8b929bcb8780,merging,unknown,merging (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_merging_medium,8a51fbfc31d38ce6,merging,unknown,merging (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_overtaking_low,a5a93cd06b627072,overtaking,unknown,overtaking (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_overtaking_medium,c2a19b2f1caa15da,overtaking,unknown,overtaking (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_realworld_double_bottleneck_high,876ff651240d0297,bottleneck,unknown,bottleneck (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_station_platform_medium,4d0526620abd0750,station_platform,unknown,station_platform (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_t_intersection_low,5f3a184b86f499e4,t_intersection,unknown,t_intersection (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_t_intersection_medium,6768ae0aec25992c,t_intersection,unknown,t_intersection (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
classic_urban_crossing_medium,7f03d8bdd99a7108,crossing,unknown,crossing (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_accompanying_peer,279dddda28af88b5,accompanying_peer,unknown,accompanying_peer (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_blind_corner,c09a56f050e1307d,blind_corner,unknown,blind_corner (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_circular_crossing,726008c6b3310310,circular_crossing,unknown,circular_crossing (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_crowd_navigation,0ab355f50db5b135,crowd_navigation,unknown,crowd_navigation (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_down_path,99007a4baab8f8c5,down_path,unknown,down_path (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_entering_elevator,6a3fe81a6770a589,entering_elevator,unknown,entering_elevator (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_entering_room,2d30c2b400d7e053,entering_room,unknown,entering_room (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_exiting_elevator,240bb0295584dda5,exiting_elevator,unknown,exiting_elevator (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_exiting_room,7d0740b04541bd86,exiting_room,unknown,exiting_room (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_following_human,c3e0523accbfdd67,following_human,unknown,following_human (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_frontal_approach,0af9eb6163269cb0,frontal_approach,unknown,frontal_approach (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_intersection_no_gesture,f078303df61ef618,intersection_no_gesture,unknown,intersection_no_gesture (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_intersection_proceed,e8210c85d475757e,intersection_proceed,unknown,intersection_proceed (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_intersection_wait,9461231494c36f40,intersection_wait,unknown,intersection_wait (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_join_group,972a33c1ccfb65f7,join_group,unknown,join_group (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_leading_human,ccc0d34a8846947d,leading_human,unknown,leading_human (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
francis2023_leave_group,b903c3b5e6a5451c,leave_group,unknown,leave_group (geometry_only),config_metadata,,unavailable,excluded,no_evidence_bundle_provided,,,,,
