variant,planner,success_rate,collision_rate,min_clearance,mean_clearance,near_miss_rate,comfort_exposure_mean,time_to_goal_norm
clearance_radius__radius_0_30,baseline_social_force,0.0,0.25,3.0361620718826106,7.053572645599011,0.03134725702544503,0.03228161898844317,0.8992476851851853
clearance_radius__radius_0_30,goal_seek,0.125,0.4791666666666667,1.7677869784250795,6.740578940370564,0.043477186739482726,0.0387345966480177,0.7394097222222221
clearance_radius__radius_0_30,orca,0.1111111111111111,0.2569444444444444,2.458535484747446,6.81078504155571,0.024467292277085058,0.028702592448254453,0.8957754629629631
clearance_radius__radius_0_40_nominal,baseline_social_force,0.0,0.2916666666666667,2.9624688994570447,6.990754577750571,0.02755229236642419,0.03266239686838908,0.889236111111111
clearance_radius__radius_0_40_nominal,goal_seek,0.125,0.4930555555555556,1.7237951585485933,6.683347168058784,0.04276342165650859,0.03930422193894126,0.7348958333333334
clearance_radius__radius_0_40_nominal,orca,0.10416666666666667,0.25,2.360877169646054,6.694747234929712,0.029031100641178285,0.031579337363145756,0.8924768518518518
clearance_radius__radius_0_50,baseline_social_force,0.0,0.2986111111111111,2.8950784279292985,6.935366438045749,0.03429093152997864,0.032667369049048024,0.8863425925925926
clearance_radius__radius_0_50,goal_seek,0.11805555555555555,0.5416666666666666,1.658766791689157,6.616654565868231,0.034308541059609704,0.03779130289868094,0.7171875
clearance_radius__radius_0_50,orca,0.10416666666666667,0.2708333333333333,2.2880376493749206,6.632554019226903,0.025933053920005108,0.031092157840780083,0.8880208333333335
integration_timestep__dt_0_05,baseline_social_force,0.006944444444444444,0.2569444444444444,2.9192851991144684,6.958887122988861,0.03050867073980665,0.03376680416149405,0.9004918981481482
integration_timestep__dt_0_05,goal_seek,0.125,0.4930555555555556,1.9946532215160617,6.834325921226628,0.035078085914165016,0.039083038707807466,0.7203993055555559
integration_timestep__dt_0_05,orca,0.11805555555555555,0.2361111111111111,2.408994611122174,6.7754038884902315,0.025577642586865117,0.031160460315302545,0.8741608796296299
integration_timestep__dt_0_10_nominal,baseline_social_force,0.006944444444444444,0.2847222222222222,2.977968947231406,7.019330299578046,0.026696573536257553,0.03287266027733903,0.8944444444444444
integration_timestep__dt_0_10_nominal,goal_seek,0.125,0.4930555555555556,1.7126347873800576,6.674297528859452,0.04185079837798492,0.039708436948527194,0.7354166666666668
integration_timestep__dt_0_10_nominal,orca,0.10416666666666667,0.2638888888888889,2.358470380916982,6.711835316392018,0.02740770743307094,0.03159376640798024,0.8927083333333332
integration_timestep__dt_0_20,baseline_social_force,0.0,0.2847222222222222,2.959987572416312,6.931515754516538,0.029654675059870475,0.035922340240024546,0.8907407407407406
integration_timestep__dt_0_20,goal_seek,0.11805555555555555,0.5,1.7202546667023575,6.6153704006327985,0.036473498808321896,0.04293903385060968,0.7369212962962961
