scenario_id,scenario_family,planner_key,arm_id,configuration_identity,kinematics,episodes,success_fraction,collision_fraction,ped_collision_fraction,obstacle_collision_fraction,total_collision_fraction,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,snqi_mean,source_row_sha256
classic_bottleneck_high,bottleneck,goal,goal,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.9667,0.0333,1.0,3.7667,1.0,1.0,-0.2755,e12def14a6df7ff0761687aa635e17e44155a001ccc8b3fa429f0f666123379f
classic_bottleneck_high,bottleneck,guarded_ppo,guarded_ppo,cd25d8be47ea6cfd,differential_drive,30,0.0,0.5,0.0,0.5,0.5,30.3333,1.0,0.9931,-0.7443,1cb80070444dc9e3e8156c53539c5bf818343320467c88b3fce4c2e68a2fe850
classic_bottleneck_high,bottleneck,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,0.7667,0.2333,0.2333,0.0,0.2333,48.6667,0.464,1.0,-0.2318,a894448c53320fe734552c0f1740f58c822b2e4a881e90c214bedaffd430d956
classic_bottleneck_high,bottleneck,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,0.5333,0.4667,0.4667,0.0,0.4667,17.4333,0.6527,1.0,-0.2909,7d3829a8a2c7fc0670f3242ccfd893d09daddb0919fc318852c2ba58b6716585
classic_bottleneck_high,bottleneck,orca,orca,cd25d8be47ea6cfd,differential_drive,30,0.5333,0.4667,0.0,0.4667,0.4667,48.8333,0.7162,0.9861,-1.0855,0ddc0e2d0e4d497abb7db6c6c15df4037513fe6045f2cf865c2095583058254d
classic_bottleneck_high,bottleneck,ppo,ppo,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,9.5667,1.0,1.0,-0.5633,f71bd8b4a4dac806490f0a031ded2576d2d5a4dfa7c166f90cdcd9a461fcca6b
classic_bottleneck_high,bottleneck,prediction_planner,prediction_planner,cd25d8be47ea6cfd,differential_drive,30,0.0667,0.9333,0.7667,0.1667,0.9333,7.4333,0.9546,1.0,-0.2606,73e2cf482090de27df37509a30ccb60c47bddcaad15648d14a4e92ee8fe5c38c
classic_bottleneck_high,bottleneck,predictive_mppi,predictive_mppi,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.8333,0.1667,1.0,3.7667,1.0,1.0,-0.2555,20331c419617b33a923fcbacf220df4502f9b7a44ea4cb9f75f18858561bca85
classic_bottleneck_high,bottleneck,risk_dwa,risk_dwa,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.8,0.2,1.0,4.9667,1.0,1.0,-0.2729,fda43df7a3ade793b061f44ccb98ae43f2161a530ea862773a8c800765fed797
classic_bottleneck_high,bottleneck,sacadrl,sacadrl,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.3971,966d17c181d87318a8e11d2987d34f03a8c4e426d4fd1f090c576a345648d68c
classic_bottleneck_high,bottleneck,scenario_adaptive_hybrid_orca_v1,scenario_adaptive_hybrid_orca_v1,cd25d8be47ea6cfd,differential_drive,30,0.7667,0.2333,0.2333,0.0,0.2333,48.6667,0.464,1.0,-0.2318,bd36e79b472685cd860e7bb45baafea413cb72240be0f71723558191a7470c7e
classic_bottleneck_high,bottleneck,scenario_adaptive_hybrid_orca_v2_collision_guard,scenario_adaptive_hybrid_orca_v2_collision_guard,cd25d8be47ea6cfd,differential_drive,30,0.7667,0.2333,0.2333,0.0,0.2333,48.6667,0.464,1.0,-0.2318,9bbecb02e8ec44bc8ed2108dd839b940f9c7074e57d68a381f844fffaeec8424
classic_bottleneck_high,bottleneck,social_force,social_force,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,1.0,0.0,1.0,9.2333,1.0,0.1281,-1.1295,9ee79bb0887a1d1606e535d14f271797ddcfa4a57bb416571d32bdc1dde943d3
classic_bottleneck_high,bottleneck,socnav_sampling,socnav_sampling,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.9667,0.0333,1.0,2.8,1.0,1.0,-0.2544,c6a4349412f6613f5ac15ac092214c64edfd88448e716e0d03fa3e48d27f367e
classic_bottleneck_low,bottleneck,goal,goal,cd25d8be47ea6cfd,differential_drive,30,0.9667,0.0333,0.0,0.0333,0.0333,0.0,0.4083,1.0,0.1295,8a7302dbab05a994888499347065cc56431f92ca647cad469918050bc412456f
classic_bottleneck_low,bottleneck,guarded_ppo,guarded_ppo,cd25d8be47ea6cfd,differential_drive,30,0.4667,0.5333,0.0,0.5333,0.5333,0.0,0.6262,0.9867,-0.0265,536b5561bbc8418b0ae1fd9ee50c84baab44c8ebb404b96c7d6d5290c89e2f20
classic_bottleneck_low,bottleneck,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,1.0,0.0,0.0,0.0,0.0,0.0,0.2064,1.0,0.1489,ac1d1fa79074414d401537bb217ea0c2af463fdde4b6460351bc5204d9414380
classic_bottleneck_low,bottleneck,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,1.0,0.0,0.0,0.0,0.0,0.0,0.2159,1.0,0.1104,f15bde5da8c335ce7c168718495cf3e3853364b28bff8d32477f5b52464d5e75
classic_bottleneck_low,bottleneck,orca,orca,cd25d8be47ea6cfd,differential_drive,30,1.0,0.0,0.0,0.0,0.0,0.0,0.2057,1.0,0.1395,8212f797fb3dad26d6cfc8ea0010ac67e25f04aa6c965bfabf980026932afb3b
