# AI-GENERATED NEEDS-REVIEW
# distance_convention: center_center
step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,7.290662292414402,simulator-slot-2
1,0.2,7.299822613067401,simulator-slot-2
2,0.30000000000000004,7.304698267503992,simulator-slot-2
3,0.4,7.304489216031568,simulator-slot-2
4,0.5,7.298489777174117,simulator-slot-2
5,0.6000000000000001,7.285954610875597,simulator-slot-2
6,0.7000000000000001,7.266625783789925,simulator-slot-2
7,0.8,7.24040472309325,simulator-slot-2
8,0.9,7.207327250037431,simulator-slot-2
9,1.0,7.166066455138577,simulator-slot-2
10,1.1,7.126548726174714,simulator-slot-2
11,1.2000000000000002,7.085572690109762,simulator-slot-2
12,1.3,6.9854876189466575,simulator-slot-0
13,1.4000000000000001,6.883687511683624,simulator-slot-0
14,1.5,6.7826431456099385,simulator-slot-0
15,1.6,6.683154248886702,simulator-slot-0
16,1.7000000000000002,6.585240109784763,simulator-slot-0
17,1.8,6.488939199703607,simulator-slot-0
18,1.9000000000000001,6.397293608963678,simulator-slot-0
19,2.0,6.310343778544182,simulator-slot-0
20,2.1,6.224849928389616,simulator-slot-0
21,2.2,6.140134609551791,simulator-slot-0
22,2.3000000000000003,6.055601159741695,simulator-slot-0
23,2.4000000000000004,5.970856546227105,simulator-slot-0
24,2.5,5.885797836707474,simulator-slot-0
25,2.6,5.800520728764777,simulator-slot-0
26,2.7,5.715170268849264,simulator-slot-0
27,2.8000000000000003,5.629882049298639,simulator-slot-0
28,2.9000000000000004,5.544780370631841,simulator-slot-0
29,3.0,5.459979716287219,simulator-slot-0
30,3.1,5.375586387177068,simulator-slot-0
31,3.2,5.291700908482343,simulator-slot-0
32,3.3000000000000003,5.2084180834505265,simulator-slot-0
33,3.4000000000000004,5.12582828202352,simulator-slot-0
34,3.5,5.044008365270439,simulator-slot-0
35,3.6,4.963048468951375,simulator-slot-0
36,3.7,4.883036447399173,simulator-slot-0
37,3.8000000000000003,4.804058998787555,simulator-slot-0
38,3.9000000000000004,4.726202637212924,simulator-slot-0
39,4.0,4.6495545342927,simulator-slot-0
40,4.1000000000000005,4.574203252961797,simulator-slot-0
41,4.2,4.500239405597245,simulator-slot-0
42,4.3,4.4277562299840225,simulator-slot-0
43,4.4,4.356850093060402,simulator-slot-0
44,4.5,4.28762093479219,simulator-slot-0
45,4.6000000000000005,4.220172647486126,simulator-slot-0
46,4.7,4.154613389675947,simulator-slot-0
47,4.800000000000001,4.091055826386421,simulator-slot-0
48,4.9,4.029617284332592,simulator-slot-0
49,5.0,3.9704198250840372,simulator-slot-0
50,5.1000000000000005,3.91359020928213,simulator-slot-0
51,5.2,3.859259743927521,simulator-slot-0
52,5.300000000000001,3.807564004336856,simulator-slot-0
53,5.4,3.7586424013990225,simulator-slot-0
54,5.5,3.712637588518518,simulator-slot-0
55,5.6000000000000005,3.669694703654181,simulator-slot-0
56,5.7,3.6299604252492115,simulator-slot-0
57,5.800000000000001,3.5935818473561665,simulator-slot-0
58,5.9,3.560705165315754,simulator-slot-0
59,6.0,3.531474196959958,simulator-slot-0
60,6.1000000000000005,3.5060287482599555,simulator-slot-0
61,6.2,3.484502852618047,simulator-slot-0
62,6.300000000000001,3.467022930733674,simulator-slot-0
63,6.4,3.4537059070411416,simulator-slot-0
64,6.5,3.4446573437257064,simulator-slot-0
