# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.07875348225891,18.649128887657714,0.029838047921657562,0.04998131694282648,0.0013667321102062147,0.050000000000003424,0.8640665842715763,0.4270474202297829,simulator-slot-2,7.290662292414402,3,"[{""id"":""simulator-slot-0"",""x_m"":19.628483493763564,""y_m"":20.93898694297279},{""id"":""simulator-slot-1"",""x_m"":20.285305466625804,""y_m"":17.807067362775072},{""id"":""simulator-slot-2"",""x_m"":19.280071615100564,""y_m"":17.511247605783705}]"
1,0.2,12.093743027500256,18.649688828241736,0.04483804851770401,0.14989545241345326,0.005599405840222005,0.14999999999999114,0.8654539229969097,0.42268896708223513,simulator-slot-2,7.299822613067401,3,"[{""id"":""simulator-slot-0"",""x_m"":19.63223178096182,""y_m"":20.881346028379184},{""id"":""simulator-slot-1"",""x_m"":20.281530643397556,""y_m"":17.765852712613874},{""id"":""simulator-slot-2"",""x_m"":19.294216450369415,""y_m"":17.449441908310227}]"
2,0.30000000000000004,12.118701943112121,18.651121494106413,0.06983804702758789,0.2495891561186525,0.014326658646766077,0.2500000000000041,0.8696264733262044,0.40958051362098935,simulator-slot-2,7.304698267503992,3,"[{""id"":""simulator-slot-0"",""x_m"":19.636548371491724,""y_m"":20.821108089771617},{""id"":""simulator-slot-1"",""x_m"":20.279094536163655,""y_m"":17.725654530635854},{""id"":""simulator-slot-2"",""x_m"":19.31348579910777,""y_m"":17.38870237005125}]"
3,0.4,12.153569481901021,18.654163654326485,0.10421931743621826,0.3486753878889992,0.030421602200725317,0.35000000000000464,0.876615021262037,0.3876253427665173,simulator-slot-2,7.304489216031568,3,"[{""id"":""simulator-slot-0"",""x_m"":19.641294259298054,""y_m"":20.75889800793481},{""id"":""simulator-slot-1"",""x_m"":20.27802955219855,""y_m"":17.686865770934734},{""id"":""simulator-slot-2"",""x_m"":19.336781451571568,""y_m"":17.32863413526504}]"
4,0.5,12.19823038098107,18.659677645019425,0.14146436750888824,0.4466089908004811,0.05513990692939785,0.4500000000000076,0.8862755795209065,0.35727580391087654,simulator-slot-2,7.298489777174117,3,"[{""id"":""simulator-slot-0"",""x_m"":19.646364160728137,""y_m"":20.695228166115214},{""id"":""simulator-slot-1"",""x_m"":20.278140494118198,""y_m"":17.649552519431168},{""id"":""simulator-slot-2"",""x_m"":19.36303665760933,""y_m"":17.269172684257562}]"
5,0.6000000000000001,12.252540811538285,18.668359645519875,0.1755708009004593,0.5431043055721574,0.0868200050044976,0.5499999999999966,0.8965961279985133,0.32485284463261,simulator-slot-2,7.285954610875597,3,"[{""id"":""simulator-slot-0"",""x_m"":19.65137152556182,""y_m"":20.630455576153715},{""id"":""simulator-slot-1"",""x_m"":20.279412811810424,""y_m"":17.613670489050932},{""id"":""simulator-slot-2"",""x_m"":19.391168147649267,""y_m"":17.21057559159817}]"
6,0.7000000000000001,12.316357576202476,18.68070551721025,0.2066241055727005,0.6381676466419073,0.12345871690374821,0.6499999999999924,0.905712400878756,0.29621322872391964,simulator-slot-2,7.266625783789925,3,"[{""id"":""simulator-slot-0"",""x_m"":19.656192028457372,""y_m"":20.56563457067066},{""id"":""simulator-slot-1"",""x_m"":20.281470926605042,""y_m"":17.579002193258926},{""id"":""simulator-slot-2"",""x_m"":19.42048520990855,""y_m"":17.152562577019673}]"
7,0.8,12.389536616377738,18.69713196171378,0.2349943220615387,0.7317904017526189,0.16426444503530035,0.7500000000000098,0.91367723687723,0.27119095846406616,simulator-slot-2,7.24040472309325,3,"[{""id"":""simulator-slot-0"",""x_m"":19.660806210448175,""y_m"":20.50079855194221},{""id"":""simulator-slot-1"",""x_m"":20.283932864942436,""y_m"":17.54530868027853},{""id"":""simulator-slot-2"",""x_m"":19.45043041949784,""y_m"":17.09487129151958}]"
8,0.9,12.471935894604702,18.717997218665836,0.2610221207141876,0.823992782269638,0.20865256952056654,0.8499999999999964,0.920624583588604,0.2493652250736722,simulator-slot-2,7.207327250037431,3,"[{""id"":""simulator-slot-0"",""x_m"":19.66520372994965,""y_m"":20.435947477762717},{""id"":""simulator-slot-1"",""x_m"":20.286447366807053,""y_m"":17.51234444185828},{""id"":""simulator-slot-2"",""x_m"":19.48055434641701,""y_m"":17.037273122911813}]"
9,1.0,12.559886655283167,18.74262407577967,0.28500884771347046,0.879507606784653,0.24626857113833722,0.9133355569135508,0.9266711138271064,0.23036949009668461,simulator-slot-2,7.166066455138577,3,"[{""id"":""simulator-slot-0"",""x_m"":19.669379296119605,""y_m"":20.37108173451437},{""id"":""simulator-slot-1"",""x_m"":20.2887043643752,""y_m"":17.47987186899956},{""id"":""simulator-slot-2"",""x_m"":19.50505139080937,""y_m"":16.977066023529442}]"
