# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,14.256720775725555,3.706027510052663,1.3696290254592896,0.010113111119114393,0.04896657006052685,0.0500000000000004,0.9343216730486021,0.20633454945058016,simulator-slot-2,8.112717480842466,4,"[{""id"":""simulator-slot-0"",""x_m"":17.418874240809476,""y_m"":13.537857114620529},{""id"":""simulator-slot-1"",""x_m"":15.058753434454054,""y_m"":24.09903996364968},{""id"":""simulator-slot-2"",""x_m"":19.315194075648396,""y_m"":10.048584785941832},{""id"":""simulator-slot-3"",""x_m"":13.461246461617414,""y_m"":29.639977752091532}]"
1,0.2,14.259607660104022,3.720747085406095,1.3846290111541748,0.028868843784675136,0.14719575353431935,0.15000000000000022,0.9358428115960866,0.2015557517647104,simulator-slot-2,8.05841233695291,4,"[{""id"":""simulator-slot-0"",""x_m"":17.439556393075737,""y_m"":13.486726878148646},{""id"":""simulator-slot-1"",""x_m"":15.073770738711193,""y_m"":24.045578986087655},{""id"":""simulator-slot-2"",""x_m"":19.317897915434756,""y_m"":9.99384114537212},{""id"":""simulator-slot-3"",""x_m"":13.476489063144891,""y_m"":29.5861323521703}]"
2,0.30000000000000004,14.263996980274463,3.745358746634898,1.4039884805679321,0.043893201704410245,0.24611661228802983,0.2500000000000009,0.9404155051072312,0.1871902114229811,simulator-slot-2,7.994417772052951,4,"[{""id"":""simulator-slot-0"",""x_m"":17.460927743760593,""y_m"":13.433901655206073},{""id"":""simulator-slot-1"",""x_m"":15.0893244831012,""y_m"":23.990228044126678},{""id"":""simulator-slot-2"",""x_m"":19.320619235018707,""y_m"":9.937392894388065},{""id"":""simulator-slot-3"",""x_m"":13.492315173975316,""y_m"":29.53025619913245}]"
3,0.4,14.269500819292862,3.779923291417949,1.421788215637207,0.05503839018398793,0.34564544783051154,0.3499999999999997,0.9462678973574202,0.16880437892386135,simulator-slot-2,7.921322738633622,4,"[{""id"":""simulator-slot-0"",""x_m"":17.482849618026677,""y_m"":13.379722459565246},{""id"":""simulator-slot-1"",""x_m"":15.105306852922746,""y_m"":23.933366220766636},{""id"":""simulator-slot-2"",""x_m"":19.3233570980304,""y_m"":9.879586449614411},{""id"":""simulator-slot-3"",""x_m"":13.50860714724485,""y_m"":29.472760093988114}]"
4,0.5,14.275824010181344,3.8244768239040248,1.4378405809402466,0.06323190888481989,0.4455353248607574,0.4499999999999987,0.951539538176304,0.15224303085489188,simulator-slot-2,7.839648528451631,4,"[{""id"":""simulator-slot-0"",""x_m"":17.50521104705145,""y_m"":13.324462123055671},{""id"":""simulator-slot-1"",""x_m"":15.121631580510526,""y_m"":23.87529680167495},{""id"":""simulator-slot-2"",""x_m"":19.326111626723247,""y_m"":9.820699304754559},{""id"":""simulator-slot-3"",""x_m"":13.52527084101958,""y_m"":29.41397271122951}]"
5,0.6000000000000001,14.282719787607206,3.8790428229665634,1.4523348808288574,0.06895777425862448,0.5456599906253867,0.5500000000000005,0.9561871421057224,0.13764215249343614,simulator-slot-2,7.749880489919865,4,"[{""id"":""simulator-slot-0"",""x_m"":17.527923231489716,""y_m"":13.26833892967162},{""id"":""simulator-slot-1"",""x_m"":15.138229639576938,""y_m"":23.816262428459233},{""id"":""simulator-slot-2"",""x_m"":19.32888376865058,""y_m"":9.760953795130376},{""id"":""simulator-slot-3"",""x_m"":13.5422309239076,""y_m"":29.35415699279061}]"
6,0.7000000000000001,14.28997818832027,3.9436362871799697,1.4654556512832642,0.0725840071306294,0.6459346421340628,0.6499999999999992,0.9602835497923954,0.12477290819887532,simulator-slot-2,7.652484013344846,4,"[{""id"":""simulator-slot-0"",""x_m"":17.550915111141332,""y_m"":13.211527524833253},{""id"":""simulator-slot-1"",""x_m"":15.1550457999281,""y_m"":23.756457222621616},{""id"":""simulator-slot-2"",""x_m"":19.331675131506216,""y_m"":9.700528114161603},{""id"":""simulator-slot-3"",""x_m"":13.559427118187633,""y_m"":29.293523270673543}]"
7,0.8,14.29741986525369,4.018266183631852,1.477365255355835,0.07441676933421348,0.7462989645188189,0.7500000000000019,0.9638972994370123,0.11341997886343425,simulator-slot-2,7.5479173265019,4,"[{""id"":""simulator-slot-0"",""x_m"":17.57412981986094,""y_m"":13.15416764394074},{""id"":""simulator-slot-1"",""x_m"":15.172035870630877,""y_m"":23.69603648578413},{""id"":""simulator-slot-2"",""x_m"":19.334487872466774,""y_m"":9.639565131243339},{""id"":""simulator-slot-3"",""x_m"":13.576811193227096,""y_m"":29.232239770917}]"
8,0.9,14.304891114346733,4.10293719659963,1.488206148147583,0.07471249093041976,0.8467101296777813,0.849999999999996,0.9670874241415973,0.1033979065274746,simulator-slot-0,9.577221984504874,4,"[{""id"":""simulator-slot-0"",""x_m"":17.597521701269326,""y_m"":13.096366173277282},{""id"":""simulator-slot-1"",""x_m"":15.189164494062084,""y_m"":23.635124460711715},{""id"":""simulator-slot-2"",""x_m"":15.156687165562056,""y_m"":34.5914173314759},{""id"":""simulator-slot-3"",""x_m"":13.594344568314261,""y_m"":29.17044098899711}]"
9,1.0,14.312142936296883,4.196150760088132,1.498103380203247,0.07251821950150728,0.9321356348850252,0.9349522629429685,0.9699045258859375,0.09454772038304071,simulator-slot-0,9.440919865663247,4,"[{""id"":""simulator-slot-0"",""x_m"":17.62105434963696,""y_m"":13.038213481452571},{""id"":""simulator-slot-1"",""x_m"":15.206403380760447,""y_m"":23.573820540798305},{""id"":""simulator-slot-2"",""x_m"":15.14833947833363,""y_m"":34.5272916012466},{""id"":""simulator-slot-3"",""x_m"":13.611996379026081,""y_m"":29.108234430541465}]"
