# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,14.256720775725555,3.706027510052663,1.3696290254592896,0.010113111119114393,0.04896657006052685,0.0500000000000004,2.0,0.93835325443965,simulator-slot-2,8.112717480842466,4,"[{""id"":""simulator-slot-0"",""x_m"":17.418874240809476,""y_m"":13.537857114620529},{""id"":""simulator-slot-1"",""x_m"":15.058753434454054,""y_m"":24.09903996364968},{""id"":""simulator-slot-2"",""x_m"":19.315194075648396,""y_m"":10.048584785941832},{""id"":""simulator-slot-3"",""x_m"":13.461246461617414,""y_m"":29.639977752091532}]"
1,0.2,14.259607660104022,3.720747085406095,1.3846290111541748,0.028868843784675136,0.14719575353431935,0.15000000000000022,2.0,0.7734453394030747,simulator-slot-2,8.05841233695291,4,"[{""id"":""simulator-slot-0"",""x_m"":17.439556393075737,""y_m"":13.486726878148646},{""id"":""simulator-slot-1"",""x_m"":15.073770738711193,""y_m"":24.045578986087655},{""id"":""simulator-slot-2"",""x_m"":19.317897915434756,""y_m"":9.99384114537212},{""id"":""simulator-slot-3"",""x_m"":13.476489063144891,""y_m"":29.5861323521703}]"
2,0.30000000000000004,14.26392755200315,3.745371027697691,1.409628987312317,0.04319891899127626,0.24623942291595924,0.24999999999999897,2.0,0.574391606581695,simulator-slot-2,7.994452174767853,4,"[{""id"":""simulator-slot-0"",""x_m"":17.460927743760593,""y_m"":13.433901655206073},{""id"":""simulator-slot-1"",""x_m"":15.0893244831012,""y_m"":23.990228044126678},{""id"":""simulator-slot-2"",""x_m"":19.320619235018707,""y_m"":9.937392894388065},{""id"":""simulator-slot-3"",""x_m"":13.492315173975316,""y_m"":29.53025619913245}]"
3,0.4,14.268988981144155,3.78000312170095,1.4417214393615723,0.05061429141004936,0.34632094003259173,0.34999999999999915,2.0,0.3418493936403748,simulator-slot-2,7.921587835475666,4,"[{""id"":""simulator-slot-0"",""x_m"":17.482849618026677,""y_m"":13.379722459565246},{""id"":""simulator-slot-1"",""x_m"":15.105306852922746,""y_m"":23.933366220766636},{""id"":""simulator-slot-2"",""x_m"":19.3233570980304,""y_m"":9.879586449614411},{""id"":""simulator-slot-3"",""x_m"":13.50860714724485,""y_m"":29.472760093988114}]"
4,0.5,14.274129443229302,3.8247085536925005,1.470906376838684,0.051404620851478455,0.44705431991550526,0.44999999999999907,2.0,0.19829408409416494,simulator-slot-2,7.840563058171395,4,"[{""id"":""simulator-slot-0"",""x_m"":17.50521104705145,""y_m"":13.324462123055671},{""id"":""simulator-slot-1"",""x_m"":15.121631580510526,""y_m"":23.87529680167495},{""id"":""simulator-slot-2"",""x_m"":19.326111626723247,""y_m"":9.820699304754559},{""id"":""simulator-slot-3"",""x_m"":13.52527084101958,""y_m"":29.41397271122951}]"
5,0.6000000000000001,14.279069275644218,3.879486268647695,1.4908136129379272,0.04939832414915912,0.5477771495519468,0.5500000000000012,2.0,0.15629464966570383,simulator-slot-2,7.751921483016157,4,"[{""id"":""simulator-slot-0"",""x_m"":17.527923231489716,""y_m"":13.26833892967162},{""id"":""simulator-slot-1"",""x_m"":15.138229639576938,""y_m"":23.816262428459233},{""id"":""simulator-slot-2"",""x_m"":19.32888376865058,""y_m"":9.760953795130376},{""id"":""simulator-slot-3"",""x_m"":13.5422309239076,""y_m"":29.35415699279061}]"
6,0.7000000000000001,14.283594032966223,3.944328589481985,1.511443018913269,0.045247573220041915,0.6484232083428987,0.6500000000000009,2.0,0.5341200973296423,simulator-slot-2,7.6561710890861505,4,"[{""id"":""simulator-slot-0"",""x_m"":17.550915111141332,""y_m"":13.211527524833253},{""id"":""simulator-slot-1"",""x_m"":15.1550457999281,""y_m"":23.756457222621616},{""id"":""simulator-slot-2"",""x_m"":19.331675131506216,""y_m"":9.700528114161603},{""id"":""simulator-slot-3"",""x_m"":13.559427118187633,""y_m"":29.293523270673543}]"
7,0.8,14.286932819451378,4.019254235991085,1.5410858392715454,0.033387864851555094,0.749256465090995,0.7499999999999993,2.0,0.3365610281801077,simulator-slot-2,7.5541847060098055,4,"[{""id"":""simulator-slot-0"",""x_m"":17.57412981986094,""y_m"":13.15416764394074},{""id"":""simulator-slot-1"",""x_m"":15.172035870630877,""y_m"":23.69603648578413},{""id"":""simulator-slot-2"",""x_m"":19.334487872466774,""y_m"":9.639565131243339},{""id"":""simulator-slot-3"",""x_m"":13.576811193227096,""y_m"":29.232239770917}]"
8,0.9,14.288240274162519,4.104244179879632,1.56974196434021,0.013074547111404655,0.8498994388854708,0.8500000000000039,2.0,0.11112230506623244,simulator-slot-0,9.581732698627102,4,"[{""id"":""simulator-slot-0"",""x_m"":17.597521701269326,""y_m"":13.096366173277282},{""id"":""simulator-slot-1"",""x_m"":15.189164494062084,""y_m"":23.635124460711715},{""id"":""simulator-slot-2"",""x_m"":15.156687165562056,""y_m"":34.5914173314759},{""id"":""simulator-slot-3"",""x_m"":13.594344568314261,""y_m"":29.17044098899711}]"
9,1.0,14.287454283903749,4.199240928346688,1.5883980989456177,-0.007859902587696865,0.9499674846705641,0.9500000000000035,2.0,0.013542459965421472,simulator-slot-0,9.446709754873154,4,"[{""id"":""simulator-slot-0"",""x_m"":17.62105434963696,""y_m"":13.038213481452571},{""id"":""simulator-slot-1"",""x_m"":15.206403380760447,""y_m"":23.573820540798305},{""id"":""simulator-slot-2"",""x_m"":15.14833947833363,""y_m"":34.5272916012466},{""id"":""simulator-slot-3"",""x_m"":13.611996379026081,""y_m"":29.108234430541465}]"
10,1.1,14.285151841677974,4.304215681310422,1.597054123878479,-0.023024422257744703,1.0497475296373437,1.0500000000000043,2.0,-0.014452148210843951,simulator-slot-0,9.3033329506905,4,"[{""id"":""simulator-slot-0"",""x_m"":17.644698630171284,""y_m"":12.979781908786753},{""id"":""simulator-slot-1"",""x_m"":15.223729896998476,""y_m"":23.512204238184278},{""id"":""simulator-slot-2"",""x_m"":15.13612992243701,""y_m"":34.463448616159695},{""id"":""simulator-slot-3"",""x_m"":13.629741938970826,""y_m"":29.0457059883073}]"
11,1.2000000000000002,14.282107903788567,4.4191753892176955,1.597482681274414,-0.030439378894069336,1.1495970790727306,1.1500000000000046,2.0,-0.027989566220128825,simulator-slot-0,9.151524854213461,4,"[{""id"":""simulator-slot-0"",""x_m"":17.668431225554414,""y_m"":12.921129371553253},{""id"":""simulator-slot-1"",""x_m"":15.241125934592274,""y_m"":23.45033915866843},{""id"":""simulator-slot-2"",""x_m"":15.120894034665037,""y_m"":34.40025947370785},{""id"":""simulator-slot-3"",""x_m"":13.647490068887828,""y_m"":28.983175964443166}]"
