# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,16.16598152445559,5.377620641149821,1.3696290254592896,0.010113111119132157,0.04896657006052685,0.050000000000003986,2.0,1.0,simulator-slot-3,5.923984615911019,4,"[{""id"":""simulator-slot-0"",""x_m"":15.228009166001693,""y_m"":33.59031337351459},{""id"":""simulator-slot-1"",""x_m"":13.739107125605345,""y_m"":33.96152704434394},{""id"":""simulator-slot-2"",""x_m"":14.883319118670546,""y_m"":35.3728043649828},{""id"":""simulator-slot-3"",""x_m"":17.64879336931141,""y_m"":11.113024965371933}]"
1,0.2,16.168868408834054,5.392340216503253,1.3846290111541748,0.028868843784657372,0.14719575353431935,0.1499999999999968,2.0,1.0,simulator-slot-3,5.873867565876138,4,"[{""id"":""simulator-slot-0"",""x_m"":15.23359408543871,""y_m"":33.60851813435376},{""id"":""simulator-slot-1"",""x_m"":13.777668929933416,""y_m"":33.983926778657384},{""id"":""simulator-slot-2"",""x_m"":14.884939677003159,""y_m"":35.307824569733114},{""id"":""simulator-slot-3"",""x_m"":17.680784705706458,""y_m"":11.068292056741443}]"
2,0.30000000000000004,16.173188300733184,5.4169641587948485,1.409628987312317,0.04319891899129402,0.24623942291595924,0.25000000000000205,2.0,1.0,simulator-slot-3,5.813064555386413,4,"[{""id"":""simulator-slot-0"",""x_m"":15.234750506842307,""y_m"":33.614445316460525},{""id"":""simulator-slot-1"",""x_m"":13.807446364873385,""y_m"":34.00183384331516},{""id"":""simulator-slot-2"",""x_m"":14.878631721553496,""y_m"":35.243131373042544},{""id"":""simulator-slot-3"",""x_m"":17.713848421497197,""y_m"":11.02214800211143}]"
3,0.4,16.178199377611783,5.451603574328555,1.4446289539337158,0.05011076878599141,0.3463941553370642,0.3500000000000018,2.0,1.0,simulator-slot-3,5.741959674283142,4,"[{""id"":""simulator-slot-0"",""x_m"":15.231070092848482,""y_m"":33.61146747880735},{""id"":""simulator-slot-1"",""x_m"":13.829299559624193,""y_m"":34.01414221585423},{""id"":""simulator-slot-2"",""x_m"":14.869198443699547,""y_m"":35.17881952911835},{""id"":""simulator-slot-3"",""x_m"":17.7477678581715,""y_m"":10.974877574948769}]"
4,0.5,16.182856056538924,5.496361985173552,1.4896290302276611,0.04656678927140945,0.4475841084499699,0.4500000000000025,2.0,1.0,simulator-slot-3,5.661016447403733,4,"[{""id"":""simulator-slot-0"",""x_m"":15.223076983188896,""y_m"":33.60157734290752},{""id"":""simulator-slot-1"",""x_m"":13.847241358876273,""y_m"":34.01781593358681},{""id"":""simulator-slot-2"",""x_m"":14.858088146625402,""y_m"":35.11477609620814},{""id"":""simulator-slot-3"",""x_m"":17.782369441312902,""y_m"":10.92670858089877}]"
5,0.6000000000000001,16.185806343437886,5.551282799144339,1.5446289777755737,0.02950286898961707,0.5492081397078685,0.5499999999999965,2.0,1.0,simulator-slot-3,5.570861999878941,4,"[{""id"":""simulator-slot-0"",""x_m"":15.211770656475439,""y_m"":33.58574515175069},{""id"":""simulator-slot-1"",""x_m"":13.858826619561006,""y_m"":34.01654109579234},{""id"":""simulator-slot-2"",""x_m"":14.846198303316696,""y_m"":35.05087279718458},{""id"":""simulator-slot-3"",""x_m"":17.817514092516994,""y_m"":10.877823256447783}]"
6,0.7000000000000001,16.185394723174173,5.61628149581403,1.6096290349960327,-0.004116202637121091,0.6499869666969094,0.6499999999999992,2.0,0.9630161423515973,simulator-slot-3,5.472389610437172,4,"[{""id"":""simulator-slot-0"",""x_m"":15.197649294128546,""y_m"":33.565389072770756},{""id"":""simulator-slot-1"",""x_m"":13.865723292492648,""y_m"":34.01014075697823},{""id"":""simulator-slot-2"",""x_m"":14.833497193594484,""y_m"":34.98712578304412},{""id"":""simulator-slot-3"",""x_m"":17.85309035278511,""y_m"":10.828367386836671}]"
7,0.8,16.179675331492522,5.691063101565657,1.684628963470459,-0.057193916816515866,0.7478160575162729,0.7499999999999974,2.0,0.882483759017817,simulator-slot-3,5.366880280476853,4,"[{""id"":""simulator-slot-0"",""x_m"":15.181272569843165,""y_m"":33.541454237927994},{""id"":""simulator-slot-1"",""x_m"":13.8689985283803,""y_m"":33.99872884940812},{""id"":""simulator-slot-2"",""x_m"":14.820063543967668,""y_m"":34.92352910814909},{""id"":""simulator-slot-3"",""x_m"":17.88900887621837,""y_m"":10.778457599522964}]"
8,0.9,16.166675767031908,5.775063168969406,1.7640408277511597,-0.1299956446061401,0.8400006740374888,0.8500000000000009,2.0,0.7882374312503377,simulator-slot-3,5.256028744779954,4,"[{""id"":""simulator-slot-0"",""x_m"":15.163163793946527,""y_m"":33.51459199126374},{""id"":""simulator-slot-1"",""x_m"":13.86941219637015,""y_m"":33.98256986386824},{""id"":""simulator-slot-2"",""x_m"":14.805976642750336,""y_m"":34.86007393330816},{""id"":""simulator-slot-3"",""x_m"":17.925198020829534,""y_m"":10.728187198190929}]"
9,1.0,16.145003435373162,5.86755808796755,1.837864637374878,-0.21672331658745492,0.9249491899814455,0.9499999999999992,2.0,0.6880124955682743,simulator-slot-3,5.141675214338051,4,"[{""id"":""simulator-slot-0"",""x_m"":15.143770073549263,""y_m"":33.4852542923586},{""id"":""simulator-slot-1"",""x_m"":13.867544532153941,""y_m"":33.96201395829761},{""id"":""simulator-slot-2"",""x_m"":14.791300142613615,""y_m"":34.796752528208955},{""id"":""simulator-slot-3"",""x_m"":17.961600317739357,""y_m"":10.677630829279854}]"
