# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,12.07875348225891,18.649128887657714,0.029838047921657562,0.04998131694282648,0.0013667321102062147,0.050000000000003424,0.7376583582451857,1.0,simulator-slot-2,7.290662292414402,3,"[{""id"":""simulator-slot-0"",""x_m"":19.628483493763564,""y_m"":20.93898694297279},{""id"":""simulator-slot-1"",""x_m"":20.285305466625804,""y_m"":17.807067362775072},{""id"":""simulator-slot-2"",""x_m"":19.280071615100564,""y_m"":17.511247605783705}]"
1,0.2,12.093743027500256,18.649688828241736,0.04483804851770401,0.14989545241345326,0.005599405840222005,0.14999999999999114,0.7468409228912255,1.0,simulator-slot-2,7.299822613067401,3,"[{""id"":""simulator-slot-0"",""x_m"":19.63223178096182,""y_m"":20.881346028379184},{""id"":""simulator-slot-1"",""x_m"":20.281530643397556,""y_m"":17.765852712613874},{""id"":""simulator-slot-2"",""x_m"":19.294216450369415,""y_m"":17.449441908310227}]"
2,0.30000000000000004,12.118701943112121,18.651121494106413,0.06983804702758789,0.2495891561186525,0.014326658646766077,0.2500000000000041,0.7507837583427863,1.0,simulator-slot-2,7.304698267503992,3,"[{""id"":""simulator-slot-0"",""x_m"":19.636548371491724,""y_m"":20.821108089771617},{""id"":""simulator-slot-1"",""x_m"":20.279094536163655,""y_m"":17.725654530635854},{""id"":""simulator-slot-2"",""x_m"":19.31348579910777,""y_m"":17.38870237005125}]"
3,0.4,12.153568539090243,18.65417444102676,0.1048380509018898,0.3486659597812114,0.030529469203486315,0.3499999999999999,0.7805920343515566,1.0,simulator-slot-2,7.304492100634877,3,"[{""id"":""simulator-slot-0"",""x_m"":19.641294259298054,""y_m"":20.75889800793481},{""id"":""simulator-slot-1"",""x_m"":20.27802955219855,""y_m"":17.686865770934734},{""id"":""simulator-slot-2"",""x_m"":19.336781451571568,""y_m"":17.32863413526504}]"
4,0.5,12.198204194797432,18.659889179829996,0.14983804523944855,0.44635655707189414,0.05714738803234809,0.4499999999999943,0.8362710646719183,1.0,simulator-slot-2,7.29855578804605,3,"[{""id"":""simulator-slot-0"",""x_m"":19.646364160728137,""y_m"":20.695228166115214},{""id"":""simulator-slot-1"",""x_m"":20.278140494118198,""y_m"":17.649552519431168},{""id"":""simulator-slot-2"",""x_m"":19.36303665760933,""y_m"":17.269172684257562}]"
5,0.6000000000000001,12.252341617407119,18.669591729658784,0.20483805239200592,0.5413742260968668,0.0970254982878771,0.549999999999993,0.884217664462849,1.0,simulator-slot-2,7.286396387790775,3,"[{""id"":""simulator-slot-0"",""x_m"":19.65137152556182,""y_m"":20.630455576153715},{""id"":""simulator-slot-1"",""x_m"":20.279412811810424,""y_m"":17.613670489050932},{""id"":""simulator-slot-2"",""x_m"":19.391168147649267,""y_m"":17.21057559159817}]"
6,0.7000000000000001,12.315519490983988,18.684874278212774,0.26983803510665894,0.631778735768691,0.15282548553990694,0.6499999999999952,0.9596349025095134,1.0,simulator-slot-2,7.26832284758365,3,"[{""id"":""simulator-slot-0"",""x_m"":19.656192028457372,""y_m"":20.56563457067066},{""id"":""simulator-slot-1"",""x_m"":20.281470926605042,""y_m"":17.579002193258926},{""id"":""simulator-slot-2"",""x_m"":19.42048520990855,""y_m"":17.152562577019673}]"
7,0.8,12.38700515946865,18.707563465093333,0.34483805298805237,0.7148566848466231,0.22689186880558765,0.7499999999999976,1.046777797124135,1.0,simulator-slot-2,7.245188227418559,3,"[{""id"":""simulator-slot-0"",""x_m"":19.660806210448175,""y_m"":20.50079855194221},{""id"":""simulator-slot-1"",""x_m"":20.283932864942436,""y_m"":17.54530868027853},{""id"":""simulator-slot-2"",""x_m"":19.45043041949784,""y_m"":17.09487129151958}]"
8,0.9,12.46570817461714,18.7396700906796,0.42983806133270264,0.7870301514848954,0.3210662558626609,0.850000000000003,1.1145895708963158,1.0,simulator-slot-2,7.218463981338428,3,"[{""id"":""simulator-slot-0"",""x_m"":19.66520372994965,""y_m"":20.435947477762717},{""id"":""simulator-slot-1"",""x_m"":20.286447366807053,""y_m"":17.51234444185828},{""id"":""simulator-slot-2"",""x_m"":19.48055434641701,""y_m"":17.037273122911813}]"
9,1.0,12.550089170853353,18.783314649036676,0.5248380303382874,0.8438099623621298,0.4364455835707659,0.9500000000000028,1.212138748350015,1.0,simulator-slot-2,7.185682540869887,3,"[{""id"":""simulator-slot-0"",""x_m"":19.669379296119605,""y_m"":20.37108173451437},{""id"":""simulator-slot-1"",""x_m"":20.2887043643752,""y_m"":17.47987186899956},{""id"":""simulator-slot-2"",""x_m"":19.50505139080937,""y_m"":16.977066023529442}]"
10,1.1,12.638213609378226,18.840403030820323,0.6248380541801453,0.8812443852487384,0.5708838178364672,1.0499999999999845,1.3470560671129843,1.0,simulator-slot-2,7.155416203101005,3,"[{""id"":""simulator-slot-0"",""x_m"":19.673335259028477,""y_m"":20.306202228062304},{""id"":""simulator-slot-1"",""x_m"":20.290072571197694,""y_m"":17.44665027293782},{""id"":""simulator-slot-2"",""x_m"":19.53032481246451,""y_m"":16.91718068176836}]"
11,1.2000000000000002,12.7280065460157,18.912251680981747,0.7248380184173584,0.8979293663747434,0.7184865016142439,1.1500000000000101,1.4474128075998731,1.0,simulator-slot-0,7.075038883050107,3,"[{""id"":""simulator-slot-0"",""x_m"":19.67709115970934,""y_m"":20.24131083256124},{""id"":""simulator-slot-1"",""x_m"":20.29054539980671,""y_m"":17.413067774521533},{""id"":""simulator-slot-2"",""x_m"":19.551452038863598,""y_m"":16.855710035890173}]"
12,1.3,12.817323339211088,18.999701726455108,0.8248380422592163,0.8931679319538688,0.8745004547336066,1.2500000000000142,1.59271902561004,1.0,simulator-slot-0,6.963477403673365,3,"[{""id"":""simulator-slot-0"",""x_m"":19.680659112714757,""y_m"":20.176408831734214},{""id"":""simulator-slot-1"",""x_m"":20.289828522328204,""y_m"":17.378511570855885},{""id"":""simulator-slot-2"",""x_m"":19.56975141960397,""y_m"":16.79333910785059}]"
13,1.4000000000000001,12.9038746951989,19.103306083393758,0.9248380661010742,0.8655135598781172,1.0360435693865,1.3500000000000039,1.71110429556282,1.0,simulator-slot-0,6.8547339059116235,3,"[{""id"":""simulator-slot-0"",""x_m"":19.684060806454312,""y_m"":20.111499129190857},{""id"":""simulator-slot-1"",""x_m"":20.287799608983267,""y_m"":17.342815221550694},{""id"":""simulator-slot-2"",""x_m"":19.586087113143254,""y_m"":16.730425316702775}]"
14,1.5,12.985263498931635,19.223309677618907,1.0248380899429321,0.8138880373273594,1.2000359422514961,1.450000000000006,1.8593934938089982,1.0,simulator-slot-0,6.752437192096828,3,"[{""id"":""simulator-slot-0"",""x_m"":19.687314314788583,""y_m"":20.046670409548543},{""id"":""simulator-slot-1"",""x_m"":20.284436477321226,""y_m"":17.306005748293263},{""id"":""simulator-slot-2"",""x_m"":19.60104758630059,""y_m"":16.66717040193002}]"
15,1.6,13.05902407572094,19.35963420700269,1.1248379945755005,0.7376057678930437,1.3632452938378137,1.550000000000011,1.9472951512860384,1.0,simulator-slot-0,6.6611799765955455,3,"[{""id"":""simulator-slot-0"",""x_m"":19.691053685993882,""y_m"":19.98213073635876},{""id"":""simulator-slot-1"",""x_m"":20.279160258301292,""y_m"":17.268049161700493},{""id"":""simulator-slot-2"",""x_m"":19.615043328685214,""y_m"":16.603695058724146}]"
16,1.7000000000000002,13.122742411315743,19.511834646256418,1.2237991094589233,0.6371833559480322,1.5220043925372906,1.650000000000001,2.0,0.9792209805456782,simulator-slot-0,6.584950012144188,3,"[{""id"":""simulator-slot-0"",""x_m"":19.695159045989442,""y_m"":19.917921142833436},{""id"":""simulator-slot-1"",""x_m"":20.272214509508608,""y_m"":17.229175607596158},{""id"":""simulator-slot-2"",""x_m"":19.62832153597458,""y_m"":16.540065747780364}]"
17,1.8,13.174347387425884,19.679052846344423,1.319122076034546,0.5160497611014137,1.6721820008800492,1.7500000000000089,2.0,0.9272374609951584,simulator-slot-0,6.527537965594709,3,"[{""id"":""simulator-slot-0"",""x_m"":19.699538523698052,""y_m"":19.854074351867148},{""id"":""simulator-slot-1"",""x_m"":20.263811553310365,""y_m"":17.189540227358005},{""id"":""simulator-slot-2"",""x_m"":19.641085109753575,""y_m"":16.47633121095465}]"
18,1.9000000000000001,13.21224893129999,19.860128722628257,1.4098023176193237,0.3790154387410638,1.810758762838347,1.8499999999999843,2.0,0.8863681548013478,simulator-slot-0,6.49224475005456,3,"[{""id"":""simulator-slot-0"",""x_m"":19.704121523660977,""y_m"":19.79061513285442},{""id"":""simulator-slot-1"",""x_m"":20.254138106193746,""y_m"":17.149242239380154},{""id"":""simulator-slot-2"",""x_m"":19.653499522272607,""y_m"":16.41252774426351}]"
19,2.0,13.23408845724531,20.050576936152,1.5034390687942505,0.21839525945319238,1.9044821352374441,1.91696340413431,1.9339268082686196,1.0,simulator-slot-0,6.4828176079950675,3,"[{""id"":""simulator-slot-0"",""x_m"":19.708853683549776,""y_m"":19.727560833195252},{""id"":""simulator-slot-1"",""x_m"":20.24335974733745,""y_m"":17.108339785339147},{""id"":""simulator-slot-2"",""x_m"":19.665698839690716,""y_m"":16.34868280198511}]"
20,2.1,13.237422458404579,20.238940113618835,1.6027575731277466,0.03334001159268851,1.8836317746683306,1.8839268082686136,1.1514781834681838,1.0,simulator-slot-0,6.5016625270918995,3,"[{""id"":""simulator-slot-0"",""x_m"":19.713695673426113,""y_m"":19.66491845846489},{""id"":""simulator-slot-1"",""x_m"":20.230168818915512,""y_m"":17.06270197709504},{""id"":""simulator-slot-2"",""x_m"":20.880381729023462,""y_m"":27.741678167038256}]"
21,2.2,13.222817545562668,20.416733941108642,1.702757477760315,-0.1460491284191079,1.7779382748980765,1.783926808268638,0.7163161983011557,1.0,simulator-slot-0,6.546562879668677,3,"[{""id"":""simulator-slot-0"",""x_m"":19.718560889002788,""y_m"":19.60260621549723},{""id"":""simulator-slot-1"",""x_m"":20.21520764030292,""y_m"":17.013265053464394},{""id"":""simulator-slot-2"",""x_m"":20.8759081576599,""y_m"":27.687189136531813}]"
22,2.3000000000000003,13.192345418573153,20.58234657478371,1.8027575016021729,-0.304721269895154,1.656126336750674,1.6839268082686143,0.6543895511295497,1.0,simulator-slot-0,6.613621647416639,3,"[{""id"":""simulator-slot-0"",""x_m"":19.723403400298572,""y_m"":19.540582237460406},{""id"":""simulator-slot-1"",""x_m"":20.198989369360703,""y_m"":16.960743297208253},{""id"":""simulator-slot-2"",""x_m"":20.865230143488095,""y_m"":27.636111323185034}]"
23,2.4000000000000004,13.148274249570465,20.734484582534098,1.9027575254440308,-0.4407116900268804,1.5213800775038777,1.5839268082686315,0.6950627682318588,1.0,simulator-slot-0,6.698664164478824,3,"[{""id"":""simulator-slot-0"",""x_m"":19.728200225205327,""y_m"":19.47882708797661},{""id"":""simulator-slot-1"",""x_m"":20.1819282856428,""y_m"":16.905739207789416},{""id"":""simulator-slot-2"",""x_m"":20.849462630755536,""y_m"":27.587778195537688}]"
24,2.5,13.092962206208238,20.872183404540962,2.0027575492858887,-0.553120433622265,1.3769882200686467,1.483926808268623,0.7759740495665398,1.0,simulator-slot-0,6.797493444465093,3,"[{""id"":""simulator-slot-0"",""x_m"":19.73294192738429,""y_m"":19.41733412371606},{""id"":""simulator-slot-1"",""x_m"":20.164359508334815,""y_m"":16.84873963142495},{""id"":""simulator-slot-2"",""x_m"":20.829541441695167,""y_m"":27.541628712555703}]"
25,2.6,13.028814727373144,20.994811439938854,2.102757453918457,-0.6414747883509442,1.2262803539789147,1.3839268082686096,0.9178381393119134,1.0,simulator-slot-0,6.906049955383717,3,"[{""id"":""simulator-slot-0"",""x_m"":19.737626922981182,""y_m"":19.356103134499385},{""id"":""simulator-slot-1"",""x_m"":20.146554315654246,""y_m"":16.790124870425654},{""id"":""simulator-slot-2"",""x_m"":20.806254563643385,""y_m"":27.497190318047288}]"
26,2.7,12.958241976477014,21.10206892136025,2.2027575969696045,-0.7057275089612958,1.072574814213958,1.2839268082686108,1.0354691542858847,1.0,simulator-slot-0,7.0205326840932045,3,"[{""id"":""simulator-slot-0"",""x_m"":19.742258046692132,""y_m"":19.295136402563834},{""id"":""simulator-slot-1"",""x_m"":20.128731786225504,""y_m"":16.73019306545612},{""id"":""simulator-slot-2"",""x_m"":20.780267506371338,""y_m"":27.45406514669147}]"
27,2.8000000000000003,12.882315590635669,21.19558466252999,2.302757501602173,-0.7592638584134548,0.9351574116973893,1.2045750252040954,1.1752232421395525,1.0,simulator-slot-0,7.139173945643121,3,"[{""id"":""simulator-slot-0"",""x_m"":19.746840515612003,""y_m"":19.23443648339405},{""id"":""simulator-slot-1"",""x_m"":20.111067797512028,""y_m"":16.669178666747094},{""id"":""simulator-slot-2"",""x_m"":20.752143910934574,""y_m"":27.411918681209485}]"
28,2.9000000000000004,12.7959775018528,21.282518282931484,2.402757406234741,-0.8633808878286864,0.8693362040149566,1.2252232421395641,1.3316890977335174,1.0,simulator-slot-0,7.267975088621308,3,"[{""id"":""simulator-slot-0"",""x_m"":19.751380694707258,""y_m"":19.174004988297106},{""id"":""simulator-slot-1"",""x_m"":20.093702171776762,""y_m"":16.6072665742953},{""id"":""simulator-slot-2"",""x_m"":20.722362355012375,""y_m"":27.370470305274093}]"
29,3.0,12.693671993806369,21.366754554444594,2.5027575492858887,-1.0230550804643102,0.8423627151310953,1.3252232421395524,1.4189873757379607,1.0,simulator-slot-0,7.412858592001928,3,"[{""id"":""simulator-slot-0"",""x_m"":19.755885336328344,""y_m"":19.11384194856717},{""id"":""simulator-slot-1"",""x_m"":20.076744462888865,""y_m"":16.54460304993287},{""id"":""simulator-slot-2"",""x_m"":20.6913301082727,""y_m"":27.32948534672979}]"
30,3.1,12.57515211035025,21.445910414144908,2.602757453918457,-1.1851988345611808,0.7915585970031458,1.4252232421395499,1.579155000747454,1.0,simulator-slot-0,7.572894057749562,3,"[{""id"":""simulator-slot-0"",""x_m"":19.76036110712088,""y_m"":19.053945514188168},{""id"":""simulator-slot-1"",""x_m"":20.06038076914547,""y_m"":16.48169653574656},{""id"":""simulator-slot-2"",""x_m"":20.65939443693534,""y_m"":27.288768313909976}]"
31,3.2,12.4404931279486,21.517534557017118,2.7027575969696045,-1.3465898240165153,0.7162414287220997,1.5252232421395577,1.7234478765128591,1.0,simulator-slot-0,7.746763015837229,3,"[{""id"":""simulator-slot-0"",""x_m"":19.764815353225213,""y_m"":18.9943141615973},{""id"":""simulator-slot-1"",""x_m"":20.04466334578219,""y_m"":16.418625444089454},{""id"":""simulator-slot-2"",""x_m"":20.62685193297714,""y_m"":27.248157105024823}]"
