# AI-GENERATED NEEDS-REVIEW
step,time_s,robot_x_m,robot_y_m,robot_heading_rad,executed_vx_m_s,executed_vy_m_s,executed_speed_m_s,commanded_linear_velocity_m_s,commanded_angular_velocity_rad_s,nearest_pedestrian_id,min_robot_ped_distance_m,pedestrian_count,pedestrian_positions_json
0,0.1,14.256720775725555,3.706027510052663,1.3696290254592896,0.010113111119114393,0.04896657006052685,0.0500000000000004,2.0,0.21883412383984258,simulator-slot-2,8.112717480842466,4,"[{""id"":""simulator-slot-0"",""x_m"":17.418874240809476,""y_m"":13.537857114620529},{""id"":""simulator-slot-1"",""x_m"":15.058753434454054,""y_m"":24.09903996364968},{""id"":""simulator-slot-2"",""x_m"":19.315194075648396,""y_m"":10.048584785941832},{""id"":""simulator-slot-3"",""x_m"":13.461246461617414,""y_m"":29.639977752091532}]"
1,0.2,14.259608510750788,3.7207469185470297,1.3845133781433105,0.028877350252329848,0.14719408494366704,0.14999999999999733,2.0,0.197688380087639,simulator-slot-2,8.058411932891268,4,"[{""id"":""simulator-slot-0"",""x_m"":17.439556393075737,""y_m"":13.486726878148646},{""id"":""simulator-slot-1"",""x_m"":15.073770738711193,""y_m"":24.045578986087655},{""id"":""simulator-slot-2"",""x_m"":19.317897915434756,""y_m"":9.99384114537212},{""id"":""simulator-slot-3"",""x_m"":13.476489063144891,""y_m"":29.5861323521703}]"
2,0.30000000000000004,14.263997000967796,3.7453587277778686,1.4041714668273926,0.043884902170088225,0.24611809230838944,0.24999999999999822,2.0,0.19547394546635388,simulator-slot-2,7.994417773569634,4,"[{""id"":""simulator-slot-0"",""x_m"":17.460927743760593,""y_m"":13.433901655206073},{""id"":""simulator-slot-1"",""x_m"":15.0893244831012,""y_m"":23.990228044126678},{""id"":""simulator-slot-2"",""x_m"":19.320619235018707,""y_m"":9.937392894388065},{""id"":""simulator-slot-3"",""x_m"":13.492315173975316,""y_m"":29.53025619913245}]"
3,0.4,14.269473873789767,3.7799275557026326,1.4231654405593872,0.05476872821970957,0.3456882792476401,0.3499999999999983,2.0,0.18440449312811946,simulator-slot-2,7.921336646446605,4,"[{""id"":""simulator-slot-0"",""x_m"":17.482849618026677,""y_m"":13.379722459565246},{""id"":""simulator-slot-1"",""x_m"":15.105306852922746,""y_m"":23.933366220766636},{""id"":""simulator-slot-2"",""x_m"":19.3233570980304,""y_m"":9.879586449614411},{""id"":""simulator-slot-3"",""x_m"":13.50860714724485,""y_m"":29.472760093988114}]"
4,0.5,14.275712477577105,3.8244930111898663,1.4402599334716797,0.06238603787338093,0.44565455487233674,0.44999999999999946,2.0,0.1574860416876822,simulator-slot-2,7.839707997156584,4,"[{""id"":""simulator-slot-0"",""x_m"":17.50521104705145,""y_m"":13.324462123055671},{""id"":""simulator-slot-1"",""x_m"":15.121631580510526,""y_m"":23.87529680167495},{""id"":""simulator-slot-2"",""x_m"":19.326111626723247,""y_m"":9.820699304754559},{""id"":""simulator-slot-3"",""x_m"":13.52527084101958,""y_m"":29.41397271122951}]"
5,0.6000000000000001,14.282457054968834,3.8790779053988595,1.4554564952850342,0.06744577391728512,0.5458489420899326,0.5500000000000002,2.0,0.14644322637382512,simulator-slot-2,7.750024939235078,4,"[{""id"":""simulator-slot-0"",""x_m"":17.527923231489716,""y_m"":13.26833892967162},{""id"":""simulator-slot-1"",""x_m"":15.138229639576938,""y_m"":23.816262428459233},{""id"":""simulator-slot-2"",""x_m"":19.32888376865058,""y_m"":9.760953795130376},{""id"":""simulator-slot-3"",""x_m"":13.5422309239076,""y_m"":29.35415699279061}]"
6,0.7000000000000001,14.289540496069199,3.9436907900440885,1.4677504301071167,0.07083441100364851,0.6461288464522896,0.6500000000000002,2.0,0.09943746593077663,simulator-slot-2,7.652731385474476,4,"[{""id"":""simulator-slot-0"",""x_m"":17.550915111141332,""y_m"":13.211527524833253},{""id"":""simulator-slot-1"",""x_m"":15.1550457999281,""y_m"":23.756457222621616},{""id"":""simulator-slot-2"",""x_m"":19.331675131506216,""y_m"":9.700528114161603},{""id"":""simulator-slot-3"",""x_m"":13.559427118187633,""y_m"":29.293523270673543}]"
7,0.8,14.296854425462053,4.018333314363918,1.478493571281433,0.07313929392854135,0.7464252431982965,0.7500000000000011,2.0,0.11542514548543492,simulator-slot-2,7.548244689030568,4,"[{""id"":""simulator-slot-0"",""x_m"":17.57412981986094,""y_m"":13.15416764394074},{""id"":""simulator-slot-1"",""x_m"":15.172035870630877,""y_m"":23.69603648578413},{""id"":""simulator-slot-2"",""x_m"":19.334487872466774,""y_m"":9.639565131243339},{""id"":""simulator-slot-3"",""x_m"":13.576811193227096,""y_m"":29.232239770917}]"
8,0.9,14.304236141421454,4.103012179906004,1.4891926050186157,0.07381715959400736,0.8467886554208626,0.8499999999999996,2.0,0.09855390530818653,simulator-slot-0,9.577376771788275,4,"[{""id"":""simulator-slot-0"",""x_m"":17.597521701269326,""y_m"":13.096366173277282},{""id"":""simulator-slot-1"",""x_m"":15.189164494062084,""y_m"":23.635124460711715},{""id"":""simulator-slot-2"",""x_m"":15.156687165562056,""y_m"":34.5914173314759},{""id"":""simulator-slot-3"",""x_m"":13.594344568314261,""y_m"":29.17044098899711}]"
9,1.0,14.311564848091288,4.197729074167522,1.4979580640792847,0.07328706669834872,0.947168942615173,0.9499999999999964,2.0,0.07675687123280905,simulator-slot-0,9.439644342680031,4,"[{""id"":""simulator-slot-0"",""x_m"":17.62105434963696,""y_m"":13.038213481452571},{""id"":""simulator-slot-1"",""x_m"":15.206403380760447,""y_m"":23.573820540798305},{""id"":""simulator-slot-2"",""x_m"":15.14833947833363,""y_m"":34.5272916012466},{""id"":""simulator-slot-3"",""x_m"":13.611996379026081,""y_m"":29.108234430541465}]"
