seed,fork_step,gamma,collision_weight,crash_discounted,wait_discounted,prefers_crash
225,42,0.95,-5.0,0.19577958790742156,0.442409717524591,False
225,42,0.95,-15.0,-3.389079636177996,0.442409717524591,False
225,42,0.95,-25.0,-6.973938860263413,0.442409717524591,False
225,42,0.99,-5.0,-1.2479155248553675,-0.5498181710504206,False
225,42,0.99,-15.0,-9.426984900827675,-0.5498181710504206,False
225,42,0.99,-25.0,-17.60605427679998,-0.5498181710504206,False
225,42,0.995,-5.0,-1.5426289229627765,-0.8337580466308799,False
225,42,0.995,-15.0,-10.588733725708952,-0.8337580466308799,False
225,42,0.995,-25.0,-19.634838528455127,-0.8337580466308799,False
226,39,0.95,-5.0,0.19309747564233137,0.5513813219096858,False
226,39,0.95,-15.0,-3.391761748443087,0.5513813219096858,False
226,39,0.95,-25.0,-6.976620972528504,0.5513813219096858,False
226,39,0.99,-5.0,-1.283808803439138,-0.3079043371365943,False
226,39,0.99,-15.0,-9.462878179411444,-0.3079043371365943,False
226,39,0.99,-25.0,-17.64194755538375,-0.3079043371365943,False
226,39,0.995,-5.0,-1.5847555900608041,-0.5592564020124555,False
226,39,0.995,-15.0,-10.63086039280698,-0.5592564020124555,False
226,39,0.995,-25.0,-19.676965195553155,-0.5592564020124555,False
227,37,0.95,-5.0,0.26841897388577807,0.5462929082813198,False
227,37,0.95,-15.0,-3.3164402501996397,0.5462929082813198,False
227,37,0.95,-25.0,-6.901299474285058,0.5462929082813198,False
227,37,0.99,-5.0,-1.1369412424511918,-0.31892802119278096,False
227,37,0.99,-15.0,-9.316010618423498,-0.31892802119278096,False
227,37,0.99,-25.0,-17.495079994395805,-0.31892802119278096,False
227,37,0.995,-5.0,-1.424981064103533,-0.5713689607822562,False
227,37,0.995,-15.0,-10.471085866849709,-0.5713689607822562,False
227,37,0.995,-25.0,-19.517190669595887,-0.5713689607822562,False
