# AI-GENERATED NEEDS-REVIEW
# distance_convention: surface_clearance
seed,contact_step,offset_before_contact,state_step,static_geometry_present,nearest_forward_obstacle_m,forward_obstacle_cells,ground_truth_clearance_before_m,canonical_actor_mean_v,canonical_actor_mean_omega,canonical_model_predict_v,canonical_model_predict_omega,canonical_critic_value,adapter_command_v,adapter_command_omega,native_action_linear_accel,native_action_angular_accel,executed_linear_speed_before,executed_linear_speed_after,executed_angular_speed_before,executed_angular_speed_after,adapter_forward_intent_preserved,geometry_zero_actor_mean_v,geometry_zero_actor_mean_omega,geometry_zero_model_predict_v,geometry_zero_model_predict_omega,geometry_zero_critic_value,actor_mean_v_delta_geometry_zero_minus_canonical,critic_delta_geometry_zero_minus_canonical,fallback_or_degraded
225,62,20,42,True,4.301162852820984,155,2.9491532966520477,3.0072195529937744,0.00023826491087675095,3.0,0.00023826491087675095,-11.30892562866211,2.0,0.00023826491087675095,0.0,-1.5069787669926882,2.0,2.0,0.15093614161014557,0.05093614161014556,True,1.8128327131271362,-0.6750239729881287,1.9074575901031494,-0.6498439908027649,10.643749237060547,-1.1943868398666382,21.952674865722656,False
225,62,10,52,True,2.370654275378022,133,1.3571505471302432,2.583496332168579,1.5900886058807373,2.583496332168579,1.0,-12.03024673461914,2.0,1.0,0.0,13.559884794056416,2.0,2.0,-0.3559884794056416,-0.2559884794056416,True,2.3422179222106934,0.1791740357875824,2.3422179222106934,0.1791740357875824,12.839826583862305,-0.24127840995788574,24.870073318481445,False
225,62,5,57,True,1.5556352789659593,337,0.5490138474507693,2.420063018798828,0.9225456714630127,2.420063018798828,0.9225456714630127,-13.672325134277344,2.0,0.9225456714630127,0.0,7.7853415086865425,2.0,2.0,0.1440115205943584,0.2440115205943584,True,1.8210984468460083,0.8413813710212708,1.8210984468460083,0.8413813710212708,14.299717903137207,-0.5989645719528198,27.97204303741455,False
225,62,1,61,True,1.0295629368113974,305,0.059831187068083436,1.8548345565795898,-0.02408234402537346,1.8548345565795898,-0.02408234402537346,-15.353869438171387,1.8548345565795898,-0.02408234402537346,0.5483455657959002,-5.680938646197318,1.7999999999999998,1.8548345565795898,0.5440115205943584,0.44401152059435844,True,1.1502089500427246,-0.6976238489151001,1.1502089500427246,-0.6976238489151001,11.27791976928711,-0.7046256065368652,26.631789207458496,False
226,59,20,39,True,4.527692847168013,240,2.929943096402872,3.281660795211792,0.006029519252479076,3.0,0.006029519252479076,-11.43143367767334,2.0,0.006029519252479076,0.0,-0.32683059759438027,2.0,2.0,0.0387125790119171,0.006029519252479076,True,3.023190498352051,-0.9788342714309692,2.8804261684417725,-0.6935867667198181,13.567831039428711,-0.2584702968597412,24.99926471710205,False
226,59,10,49,True,2.596151329708401,260,1.6180211462586747,2.256565570831299,0.17559117078781128,2.256565570831299,0.17559117078781128,-13.174843788146973,2.0,0.17559117078781128,0.0,-1.1104613542556763,2.0,2.0,0.2866373062133789,0.1866373062133789,True,2.2122855186462402,1.3484762907028198,2.2122855186462402,1.0,9.073232650756836,-0.044280052185058594,22.24807643890381,False
226,59,5,54,True,1.838477658480506,403,0.7408007460200867,1.6490905284881592,-1.7423460483551025,1.6490905284881592,-1.0,-14.189569473266602,1.6490905284881592,-1.0,-2.6064658164978027,-7.866373062133789,1.9097371101379395,1.8097371101379394,-0.21336269378662112,-0.3133626937866211,True,1.416294813156128,0.5598249435424805,1.416294813156128,0.5598249435424805,8.823369026184082,-0.23279571533203125,23.012938499450684,False
226,59,1,58,True,1.1401757766601592,306,0.1423537264403596,1.298597812652588,-0.4520663917064667,1.298597812652588,-0.4520663917064667,-14.481678009033203,1.298597812652588,-0.4520663917064667,-6.111392974853516,1.6129630208015444,1.9097371101379395,1.8097371101379394,-0.6133626937866211,-0.5133626937866211,True,1.0966390371322632,-0.8928858041763306,1.0966390371322632,-0.8928858041763306,11.260780334472656,-0.2019587755203247,25.74245834350586,False
227,57,20,37,True,2.9017234388879323,260,1.876143686093053,3.4696996212005615,0.29843538999557495,3.0,0.29843538999557495,-11.490489959716797,2.0,0.29843538999557495,0.0,5.623037219047546,2.0,2.0,-0.2638683319091797,-0.16386833190917968,True,3.1692185401916504,-1.5121862888336182,3.0,-1.0,14.082191467285156,-0.30048108100891113,25.572681427001953,False
227,57,10,47,True,2.9154761217096805,188,1.8798645485162826,3.324669361114502,-0.026531923562288284,3.0,-0.026531923562288284,-12.695280075073242,2.0,-0.026531923562288284,0.0,-3.626635916531087,2.0,2.0,0.3361316680908204,0.2361316680908204,True,3.0910892486572266,0.7384375929832458,3.0,0.7384375929832458,6.053797721862793,-0.2335801124572754,18.749077796936035,False
227,57,5,52,True,1.923538533988451,406,0.9247816801934394,3.2276391983032227,-0.16082118451595306,3.0,-0.16082118451595306,-13.734596252441406,2.0,-0.16082118451595306,0.0,-3.895498603582382,2.0,2.0,0.22872867584228515,0.12872867584228515,True,2.711458206176758,0.2840477526187897,2.711458206176758,0.2840477526187897,8.513299942016602,-0.5161809921264648,22.247896194458008,False
227,57,1,56,True,1.272792225101912,456,0.25978334866365227,2.5022292137145996,-3.176771640777588,2.5022292137145996,-1.0,-14.137529373168945,2.0,-1.0,0.0,-8.287286758422852,2.0,2.0,-0.17127132415771487,-0.2712713241577149,True,2.1548376083374023,-0.8813524842262268,2.1548376083374023,-0.8813524842262268,11.204633712768555,-0.34739160537719727,25.3421630859375,False
